ct_path,psnr_db,ssim
Case_00415_0000,22.2540,0.632266
Case_00418_0000,23.3366,0.739619
Case_00326_0000,24.8215,0.794477
Case_00561_0000,21.1036,0.589381
Case_00560_0000,22.6922,0.610093
Case_00721_0000,23.3601,0.705488
Case_00582_0000,21.3305,0.703648
Case_00569_0000,22.7399,0.600585
Case_00625_0000,20.6451,0.625554
Case_00952_0000,22.9110,0.707877
Case_01016_0000,23.5088,0.752600
Case_00483_0000,25.0690,0.803223
Case_00203_0000,24.2551,0.752785
Case_00291_0000,23.4525,0.678501
Case_00290_0000,23.1093,0.649469
Case_00211_0000,21.8299,0.653417
Case_00665_0000,22.6410,0.618029
Case_01011_0000,24.2632,0.773550
Case_00312_0000,25.2403,0.803584
Case_00762_0000,24.5325,0.745178
Case_00968_0000,22.7550,0.628329
Case_00330_0000,24.7119,0.744864
Case_00872_0000,25.3364,0.820809
Case_00782_0000,22.5927,0.621612
Case_00092_0000,24.6794,0.798288
Case_00099_0000,22.6481,0.627826
Case_00680_0000,26.2728,0.845434
Case_00504_0000,21.1619,0.682163
Case_00849_0000,25.7109,0.823101
Case_00640_0000,24.2353,0.780178
Case_00878_0000,24.1625,0.755205
Case_00531_0000,23.1442,0.646217
Case_00516_0000,21.5678,0.658919
Case_00802_0000,23.4690,0.772256
Case_00587_0000,19.9682,0.599077
Case_00432_0000,23.1890,0.730647
Case_00006_0000,21.7606,0.614194
Case_00696_0000,23.6453,0.687916
Case_00943_0000,22.3711,0.616736
Case_00035_0000,23.9272,0.780774
Case_00145_0000,25.1731,0.802005
Case_00977_0000,25.5113,0.780831
Case_00780_0000,22.4815,0.621842
Case_01050_0000,24.9777,0.754159
Case_00045_0000,24.9721,0.767224
Case_00887_0000,22.8722,0.753751
Case_00947_0000,22.3651,0.597287
Case_00064_0000,21.1888,0.619716
Case_00428_0000,22.1150,0.675359
Case_00343_0000,24.8278,0.786437
Case_00490_0000,24.8169,0.791365
Case_00376_0000,24.8498,0.796477
Case_00252_0000,21.3612,0.655575
Case_00051_0000,23.5086,0.718873
Case_00416_0000,24.3419,0.810469
Case_01023_0000,25.0447,0.766404
Case_00402_0000,24.0873,0.776430
Case_00821_0000,24.9544,0.783541
Case_00824_0000,24.8467,0.809666
Case_00018_0000,22.5163,0.676159
Case_00931_0000,22.6451,0.716718
Case_00194_0000,23.1615,0.666674
Case_00461_0000,23.4567,0.669674
Case_01059_0000,23.9720,0.795436
Case_00344_0000,22.6185,0.743281
Case_00618_0000,25.3877,0.821960
Case_00090_0000,25.2662,0.820810
Case_00933_0000,22.1460,0.592613
Case_00471_0000,23.6091,0.688592
Case_00534_0000,20.6492,0.655605
Case_00114_0000,24.8083,0.786715
Case_00602_0000,25.4818,0.841560
Case_00510_0000,22.1574,0.656470
Case_01030_0000,23.7442,0.727963
Case_01058_0000,24.2094,0.748212
Case_00728_0000,21.1166,0.623627
Case_00572_0000,21.2114,0.540450
Case_00807_0000,24.8608,0.759842
Case_00923_0000,24.1953,0.712698
Case_00505_0000,24.5084,0.774802
Case_00819_0000,24.7853,0.819125
Case_00732_0000,23.1774,0.632107
Case_00150_0000,24.8666,0.797092
Case_00488_0000,24.6576,0.788931
Case_00734_0000,24.1367,0.708127
Case_00784_0000,25.7659,0.809692
Case_00894_0000,24.1504,0.740673
Case_00846_0000,24.2022,0.786120
Case_00034_0000,25.8192,0.854555
Case_00028_0000,23.6771,0.661086
Case_00841_0000,24.0512,0.759364
Case_00660_0000,25.5190,0.830091
Case_00970_0000,22.7759,0.637369
Case_00492_0000,24.8495,0.790693
Case_00232_0000,25.0260,0.750155
Case_00578_0000,22.3318,0.723590
Case_00608_0000,24.8865,0.790252
Case_00967_0000,23.2831,0.636910
Case_00242_0000,23.3310,0.720516
Case_00158_0000,25.2307,0.811841
Case_00580_0000,22.2929,0.585835
Case_00196_0000,23.5621,0.731883
Case_00984_0000,24.8828,0.793187
Case_00214_0000,25.8298,0.822676
Case_00468_0000,24.2118,0.675742
Case_01044_0000,24.6270,0.771683
Case_00549_0000,23.9887,0.680805
Case_00080_0000,25.2882,0.839078
Case_00424_0000,24.1227,0.737200
Case_00077_0000,23.0016,0.666193
Case_00154_0000,24.5973,0.787896
Case_00054_0000,22.7624,0.671158
Case_00426_0000,22.9804,0.677363
