ct_path,psnr_db,ssim
Case_00415_0000,25.3103,0.758778
Case_00418_0000,28.9097,0.853682
Case_00326_0000,29.5293,0.899209
Case_00561_0000,25.0281,0.747104
Case_00560_0000,25.8758,0.759073
Case_00721_0000,26.8572,0.823996
Case_00582_0000,23.7698,0.815345
Case_00569_0000,26.5436,0.767273
Case_00625_0000,25.8488,0.790142
Case_00952_0000,26.8115,0.809498
Case_01016_0000,26.8660,0.864651
Case_00483_0000,28.9916,0.885940
Case_00203_0000,27.6302,0.833490
Case_00291_0000,28.0491,0.792040
Case_00290_0000,27.3569,0.777644
Case_00211_0000,27.2907,0.797608
Case_00665_0000,26.0447,0.750416
Case_01011_0000,28.4332,0.881336
Case_00312_0000,30.3289,0.888223
Case_00762_0000,29.5443,0.860397
Case_00968_0000,26.9594,0.778698
Case_00330_0000,28.5994,0.863339
Case_00872_0000,29.5645,0.902743
Case_00782_0000,25.6687,0.761952
Case_00092_0000,29.0066,0.883093
Case_00099_0000,26.7768,0.784592
Case_00680_0000,32.2259,0.923685
Case_00504_0000,27.4688,0.802326
Case_00849_0000,30.7943,0.918387
Case_00640_0000,28.0139,0.884957
Case_00878_0000,28.2654,0.854410
Case_00531_0000,27.2051,0.790586
Case_00516_0000,26.6822,0.808009
Case_00802_0000,29.1888,0.873094
Case_00587_0000,22.0802,0.705387
Case_00432_0000,27.5557,0.819385
Case_00006_0000,25.9424,0.768235
Case_00696_0000,27.3411,0.799272
Case_00943_0000,25.8438,0.767673
Case_00035_0000,28.8018,0.900586
Case_00145_0000,29.8559,0.891858
Case_00977_0000,30.9881,0.907480
Case_00780_0000,26.1393,0.781707
Case_01050_0000,30.1879,0.883661
Case_00045_0000,30.6038,0.893098
Case_00887_0000,27.4389,0.852979
Case_00947_0000,25.7215,0.746889
Case_00064_0000,24.5976,0.758252
Case_00428_0000,26.8369,0.802864
Case_00343_0000,29.7448,0.888819
Case_00490_0000,29.9878,0.889363
Case_00376_0000,29.1725,0.894015
Case_00252_0000,26.3380,0.795079
Case_00051_0000,28.3571,0.846772
Case_00416_0000,29.0764,0.922745
Case_01023_0000,29.9280,0.883745
Case_00402_0000,29.2536,0.864481
Case_00821_0000,29.5144,0.886305
Case_00824_0000,29.8264,0.897193
Case_00018_0000,27.1985,0.808823
Case_00931_0000,26.3540,0.819623
Case_00194_0000,27.6823,0.801154
Case_00461_0000,26.9466,0.790184
Case_01059_0000,27.8686,0.869662
Case_00344_0000,26.2927,0.844040
Case_00618_0000,30.0679,0.899455
Case_00090_0000,30.3416,0.909415
Case_00933_0000,26.7217,0.787172
Case_00471_0000,26.9760,0.812327
Case_00534_0000,26.0791,0.795969
Case_00114_0000,29.9502,0.884665
Case_00602_0000,30.4312,0.908955
Case_00510_0000,27.0985,0.807152
Case_01030_0000,28.5092,0.846141
Case_01058_0000,29.3933,0.879208
Case_00728_0000,26.0653,0.763997
Case_00572_0000,23.9910,0.695615
Case_00807_0000,29.3849,0.864525
Case_00923_0000,28.1838,0.853379
Case_00505_0000,29.2248,0.881274
Case_00819_0000,29.6057,0.902916
Case_00732_0000,27.7550,0.785003
Case_00150_0000,29.4632,0.883375
Case_00488_0000,28.5339,0.891402
Case_00734_0000,28.8134,0.836213
Case_00784_0000,31.4338,0.901908
Case_00894_0000,29.1083,0.871835
Case_00846_0000,29.1217,0.878091
Case_00034_0000,30.4908,0.919180
Case_00028_0000,27.2117,0.807340
Case_00841_0000,27.1956,0.864473
Case_00660_0000,30.8332,0.911114
Case_00970_0000,27.1381,0.774075
Case_00492_0000,29.0533,0.893126
Case_00232_0000,29.0467,0.858491
Case_00578_0000,26.1277,0.835815
Case_00608_0000,29.8023,0.907410
Case_00967_0000,26.7498,0.791174
Case_00242_0000,28.1393,0.842491
Case_00158_0000,30.4471,0.906052
Case_00580_0000,25.4233,0.756889
Case_00196_0000,26.7169,0.820834
Case_00984_0000,30.5249,0.896804
Case_00214_0000,31.0742,0.904653
Case_00468_0000,28.9032,0.793436
Case_01044_0000,29.5449,0.894748
Case_00549_0000,28.2697,0.796301
Case_00080_0000,30.3460,0.910116
Case_00424_0000,28.6903,0.847919
Case_00077_0000,26.5449,0.790724
Case_00154_0000,29.0776,0.884477
Case_00054_0000,28.3744,0.813089
Case_00426_0000,25.7496,0.774231
Case_00623_0000,25.9218,0.839421
Case_00964_0000,25.6167,0.807405
Case_00451_0000,29.2856,0.876863
Case_00885_0000,28.1848,0.881122
Case_00912_0000,29.0079,0.884604
Case_00334_0000,30.9800,0.921240
Case_00207_0000,26.2952,0.811763
Case_00829_0000,29.8978,0.889487
Case_00854_0000,30.1286,0.895105
Case_00398_0000,23.7702,0.750106
Case_00265_0000,25.8458,0.773617
Case_00961_0000,25.0760,0.775949
Case_00981_0000,25.9287,0.794099
Case_00019_0000,31.5848,0.914383
Case_00843_0000,30.1519,0.909341
Case_00302_0000,24.8522,0.770366
Case_00017_0000,23.1770,0.760886
Case_00030_0000,27.0785,0.836963
Case_00257_0000,26.3600,0.775145
Case_00978_0000,28.8938,0.866791
Case_00148_0000,30.1195,0.911766
Case_00727_0000,25.7192,0.755576
Case_00263_0000,24.9179,0.780102
Case_00757_0000,27.8355,0.805581
Case_00299_0000,27.0039,0.783602
Case_00877_0000,26.8817,0.844408
Case_00161_0000,30.1603,0.903769
Case_00797_0000,28.2647,0.889182
Case_00351_0000,30.1096,0.894136
Case_00201_0000,28.1245,0.836048
Case_00386_0000,29.8034,0.887801
Case_00982_0000,30.3765,0.895240
Case_00187_0000,29.5268,0.892276
Case_00996_0000,27.4583,0.864052
Case_00897_0000,28.2962,0.872702
Case_00496_0000,28.3283,0.885216
Case_00375_0000,28.6988,0.875676
Case_00137_0000,29.0849,0.891413
Case_00652_0000,28.1017,0.824454
Case_00382_0000,28.4889,0.895501
Case_00533_0000,26.9172,0.805718
Case_00093_0000,29.6380,0.886251
Case_00361_0000,29.5358,0.876542
Case_00990_0000,29.3364,0.889399
Case_00558_0000,27.0217,0.787148
