ct_path,psnr_db,ssim
Case_00415_0000,25.0130,0.752740
Case_00418_0000,26.1220,0.795339
Case_00326_0000,27.2556,0.853121
Case_00561_0000,24.1589,0.720890
Case_00560_0000,24.7360,0.730833
Case_00721_0000,25.6177,0.783943
Case_00582_0000,23.0954,0.759374
Case_00569_0000,24.9369,0.742041
Case_00625_0000,24.4027,0.748448
Case_00952_0000,25.3100,0.762268
Case_01016_0000,25.4475,0.821213
Case_00483_0000,27.2127,0.837724
Case_00203_0000,25.7350,0.783049
Case_00291_0000,26.3410,0.786049
Case_00290_0000,25.4796,0.769723
Case_00211_0000,24.8603,0.746268
Case_00665_0000,24.5970,0.745919
Case_01011_0000,26.5708,0.832421
Case_00312_0000,26.9708,0.826502
Case_00762_0000,26.3949,0.810238
Case_00968_0000,25.4942,0.749409
Case_00330_0000,26.7729,0.825484
Case_00872_0000,26.9833,0.843038
Case_00782_0000,24.5995,0.745137
Case_00092_0000,26.5836,0.831114
Case_00099_0000,25.5511,0.782523
Case_00680_0000,28.1817,0.868914
Case_00504_0000,25.0710,0.765057
Case_00849_0000,27.4119,0.859584
Case_00640_0000,26.5809,0.836883
Case_00878_0000,26.3297,0.811391
Case_00531_0000,25.6600,0.783453
Case_00516_0000,24.9968,0.765238
Case_00802_0000,26.6190,0.813862
Case_00587_0000,22.2044,0.690368
Case_00432_0000,26.1590,0.779778
Case_00006_0000,24.8821,0.751383
Case_00696_0000,25.5460,0.751962
Case_00943_0000,24.4821,0.732982
Case_00035_0000,26.7959,0.851225
Case_00145_0000,27.4387,0.844160
Case_00977_0000,27.6263,0.855537
Case_00780_0000,24.8178,0.755941
Case_01050_0000,27.2588,0.849907
Case_00045_0000,27.5483,0.850156
Case_00887_0000,25.8103,0.800219
Case_00947_0000,24.4972,0.724862
Case_00064_0000,24.0671,0.726985
Case_00428_0000,24.8807,0.742461
Case_00343_0000,26.8454,0.833151
Case_00490_0000,27.0767,0.828057
Case_00376_0000,26.4995,0.836712
Case_00252_0000,24.8813,0.756907
Case_00051_0000,26.6843,0.813329
Case_00416_0000,26.7441,0.871870
Case_01023_0000,27.3397,0.851447
Case_00402_0000,26.7376,0.803837
Case_00821_0000,26.8064,0.832351
Case_00824_0000,26.9696,0.845918
Case_00018_0000,25.3792,0.767850
Case_00931_0000,25.0078,0.772375
Case_00194_0000,26.0875,0.779760
Case_00461_0000,25.3822,0.756564
Case_01059_0000,25.9579,0.818388
Case_00344_0000,24.5784,0.788188
Case_00618_0000,27.1351,0.836134
Case_00090_0000,27.2922,0.853439
Case_00933_0000,25.0993,0.768933
Case_00471_0000,25.5113,0.781039
Case_00534_0000,24.4038,0.744885
Case_00114_0000,27.0165,0.820948
Case_00602_0000,27.4921,0.854895
Case_00510_0000,24.9514,0.762684
Case_01030_0000,25.9092,0.793821
Case_01058_0000,26.7816,0.835512
Case_00728_0000,24.4726,0.737889
Case_00572_0000,23.6488,0.714928
Case_00807_0000,27.0421,0.821550
Case_00923_0000,26.3651,0.843479
Case_00505_0000,26.7579,0.832263
Case_00819_0000,26.9986,0.847923
Case_00732_0000,25.6980,0.774837
Case_00150_0000,26.8069,0.826477
Case_00488_0000,26.6921,0.840585
Case_00734_0000,26.8229,0.801771
Case_00784_0000,28.2039,0.862502
Case_00894_0000,26.6890,0.851908
Case_00846_0000,26.5198,0.815505
Case_00034_0000,27.5365,0.865955
Case_00028_0000,25.5163,0.788073
Case_00841_0000,25.6486,0.812597
Case_00660_0000,27.7982,0.861863
Case_00970_0000,25.7430,0.758619
Case_00492_0000,26.9915,0.841950
Case_00232_0000,26.7102,0.816338
Case_00578_0000,24.8008,0.777280
Case_00608_0000,27.2236,0.856001
Case_00967_0000,25.2573,0.759958
Case_00242_0000,26.0028,0.785918
Case_00158_0000,27.4704,0.849133
Case_00580_0000,25.0084,0.772978
Case_00196_0000,25.2575,0.775776
Case_00984_0000,27.2986,0.839126
Case_00214_0000,27.4786,0.862428
Case_00468_0000,26.8665,0.792740
Case_01044_0000,27.0086,0.858405
Case_00549_0000,26.4366,0.765413
Case_00080_0000,27.2405,0.848680
Case_00424_0000,26.1188,0.806324
Case_00077_0000,24.9067,0.749161
Case_00154_0000,26.6149,0.833465
Case_00054_0000,26.0298,0.776110
Case_00426_0000,24.7549,0.761721
Case_00623_0000,24.3796,0.778193
Case_00964_0000,24.9749,0.785784
Case_00451_0000,26.7951,0.816059
Case_00885_0000,26.0870,0.827464
Case_00912_0000,26.6577,0.848285
Case_00334_0000,27.6419,0.861635
Case_00207_0000,24.8009,0.768582
Case_00829_0000,26.9301,0.829339
Case_00854_0000,27.3115,0.841843
Case_00398_0000,23.0970,0.722501
Case_00265_0000,24.5305,0.742239
Case_00961_0000,24.3132,0.753303
Case_00981_0000,24.1144,0.753606
Case_00019_0000,27.9768,0.851471
Case_00843_0000,27.4598,0.853203
Case_00302_0000,23.8590,0.736191
Case_00017_0000,22.0468,0.721892
Case_00030_0000,26.0236,0.805193
Case_00257_0000,24.4605,0.738579
Case_00978_0000,26.8836,0.827761
Case_00148_0000,27.3321,0.862180
Case_00727_0000,24.7465,0.742526
Case_00263_0000,24.1350,0.746782
Case_00757_0000,25.3585,0.750646
Case_00299_0000,25.1987,0.748480
Case_00877_0000,25.3529,0.799590
Case_00161_0000,27.2262,0.843057
Case_00797_0000,26.1878,0.836822
Case_00351_0000,27.2095,0.835655
Case_00201_0000,26.4685,0.801837
Case_00386_0000,26.7082,0.824851
Case_00982_0000,27.1045,0.839619
Case_00187_0000,27.2446,0.840022
Case_00996_0000,26.1514,0.816502
Case_00897_0000,26.0092,0.820922
Case_00496_0000,26.2001,0.829348
Case_00375_0000,26.5044,0.817856
Case_00137_0000,26.8179,0.833606
Case_00652_0000,26.1709,0.783509
Case_00382_0000,26.4731,0.840779
Case_00533_0000,24.8306,0.760324
Case_00093_0000,27.1027,0.838005
Case_00361_0000,26.7209,0.817674
Case_00990_0000,27.0367,0.843561
Case_00558_0000,25.3551,0.749257
