ct_path,psnr_db,ssim
Case_00415_0000,25.9203,0.766158
Case_00418_0000,28.3213,0.838764
Case_00326_0000,28.7159,0.894529
Case_00561_0000,25.2108,0.735063
Case_00560_0000,26.6028,0.732848
Case_00721_0000,27.7088,0.818409
Case_00582_0000,25.3295,0.825789
Case_00569_0000,26.8231,0.734078
Case_00625_0000,25.2679,0.761650
Case_00952_0000,26.9319,0.819880
Case_01016_0000,26.6345,0.849601
Case_00483_0000,29.0952,0.890691
Case_00203_0000,28.1287,0.838180
Case_00291_0000,28.0766,0.794872
Case_00290_0000,27.8695,0.781024
Case_00211_0000,26.0450,0.773245
Case_00665_0000,26.6281,0.741546
Case_01011_0000,28.4077,0.862024
Case_00312_0000,29.1404,0.880428
Case_00762_0000,29.4523,0.847092
Case_00968_0000,27.5211,0.757146
Case_00330_0000,28.5761,0.845109
Case_00872_0000,28.6689,0.902247
Case_00782_0000,26.5153,0.738286
Case_00092_0000,28.0753,0.885532
Case_00099_0000,27.1393,0.759061
Case_00680_0000,29.8331,0.918376
Case_00504_0000,26.6324,0.788245
Case_00849_0000,29.1791,0.917121
Case_00640_0000,27.8406,0.884827
Case_00878_0000,28.6675,0.856399
Case_00531_0000,27.5373,0.770962
Case_00516_0000,25.9977,0.782260
Case_00802_0000,28.4291,0.873918
Case_00587_0000,22.3298,0.707806
Case_00432_0000,27.0745,0.826339
Case_00006_0000,26.3188,0.765760
Case_00696_0000,27.1274,0.796297
Case_00943_0000,26.7550,0.730580
Case_00035_0000,27.7416,0.885324
Case_00145_0000,29.1044,0.886090
Case_00977_0000,29.1761,0.893266
Case_00780_0000,26.5567,0.749317
Case_01050_0000,28.6398,0.866859
Case_00045_0000,28.9539,0.883105
Case_00887_0000,27.7295,0.856099
Case_00947_0000,25.8714,0.728631
Case_00064_0000,24.5685,0.722643
Case_00428_0000,25.8378,0.786276
Case_00343_0000,28.4482,0.875462
Case_00490_0000,28.7412,0.874438
Case_00376_0000,28.0427,0.880798
Case_00252_0000,26.0804,0.784720
Case_00051_0000,28.1609,0.837050
Case_00416_0000,28.5437,0.917536
Case_01023_0000,28.1568,0.869872
Case_00402_0000,28.5041,0.860322
Case_00821_0000,28.9300,0.877931
Case_00824_0000,28.4368,0.897611
Case_00018_0000,26.4616,0.794950
Case_00931_0000,26.4663,0.818866
Case_00194_0000,27.3843,0.794428
Case_00461_0000,27.5840,0.771457
Case_01059_0000,27.5939,0.878787
Case_00344_0000,26.1019,0.841511
Case_00618_0000,29.3411,0.896052
Case_00090_0000,28.8016,0.901461
Case_00933_0000,26.5567,0.740344
Case_00471_0000,27.3291,0.784117
Case_00534_0000,25.4580,0.775974
Case_00114_0000,28.8202,0.876267
Case_00602_0000,28.9171,0.911492
Case_00510_0000,26.6668,0.791155
Case_01030_0000,28.6225,0.838136
Case_01058_0000,28.0762,0.862064
Case_00728_0000,25.6277,0.754699
Case_00572_0000,24.1883,0.669638
Case_00807_0000,28.4833,0.856294
Case_00923_0000,27.4939,0.815956
Case_00505_0000,28.4219,0.862546
Case_00819_0000,28.6696,0.902212
Case_00732_0000,27.5562,0.766615
Case_00150_0000,28.6104,0.879312
Case_00488_0000,28.1206,0.886226
Case_00734_0000,28.8878,0.825532
Case_00784_0000,29.2685,0.876910
Case_00894_0000,27.2828,0.838435
Case_00846_0000,29.5926,0.878593
Case_00034_0000,29.9590,0.926293
Case_00028_0000,27.9767,0.781334
Case_00841_0000,26.4465,0.852897
Case_00660_0000,29.4822,0.914630
Case_00970_0000,27.8024,0.761792
Case_00492_0000,28.1427,0.896726
Case_00232_0000,28.7161,0.837410
Case_00578_0000,25.7973,0.827823
Case_00608_0000,28.6348,0.881247
Case_00967_0000,26.8397,0.745606
Case_00242_0000,27.9641,0.830262
Case_00158_0000,28.9002,0.895267
Case_00580_0000,26.6318,0.729958
Case_00196_0000,27.6665,0.830645
Case_00984_0000,28.7220,0.885515
Case_00214_0000,29.5757,0.907445
Case_00468_0000,29.0872,0.791660
Case_01044_0000,28.4136,0.876897
Case_00549_0000,28.2306,0.791613
Case_00080_0000,29.2950,0.909436
Case_00424_0000,28.4972,0.836878
Case_00077_0000,26.9823,0.778543
Case_00154_0000,28.4947,0.870963
Case_00054_0000,27.6877,0.789745
