ct_path,psnr_db,ssim
Case_00415_0000,23.6437,0.726989
Case_00418_0000,25.1336,0.691827
Case_00326_0000,24.0839,0.542624
Case_00561_0000,23.1279,0.703345
Case_00560_0000,24.5342,0.756594
Case_00721_0000,25.0676,0.801707
Case_00582_0000,23.3189,0.761396
Case_00569_0000,24.2080,0.730537
Case_00625_0000,22.4832,0.731861
Case_00952_0000,24.8438,0.792181
Case_01016_0000,24.5165,0.672464
Case_00483_0000,26.1263,0.784894
Case_00203_0000,25.3242,0.675709
Case_00291_0000,24.7331,0.725851
Case_00290_0000,25.0980,0.744335
Case_00211_0000,23.5475,0.727727
Case_00665_0000,24.6134,0.722087
Case_01011_0000,25.2858,0.687918
Case_00312_0000,25.9868,0.701017
Case_00762_0000,25.8006,0.717411
Case_00968_0000,24.6388,0.727125
Case_00330_0000,25.2996,0.640405
Case_00872_0000,24.9903,0.629470
Case_00782_0000,24.5485,0.709526
Case_00092_0000,24.3419,0.563048
Case_00099_0000,24.5415,0.739696
Case_00680_0000,24.3169,0.565059
Case_00504_0000,23.5825,0.758281
Case_00849_0000,24.3396,0.582031
Case_00640_0000,24.0874,0.564058
Case_00878_0000,25.6132,0.729000
Case_00531_0000,24.8982,0.732157
Case_00516_0000,23.4182,0.745502
Case_00802_0000,25.0646,0.699532
Case_00587_0000,21.2951,0.686380
Case_00432_0000,24.6492,0.792852
Case_00006_0000,24.0687,0.736648
Case_00696_0000,24.5860,0.728564
Case_00943_0000,24.2854,0.743964
Case_00035_0000,23.4803,0.533349
Case_00145_0000,25.7406,0.685172
Case_00977_0000,24.4078,0.564596
Case_00780_0000,24.2338,0.737435
Case_01050_0000,24.7250,0.582353
Case_00045_0000,24.5000,0.567392
Case_00887_0000,24.0538,0.670891
Case_00947_0000,23.9220,0.707882
Case_00064_0000,23.6129,0.707758
Case_00428_0000,23.8793,0.734346
Case_00343_0000,25.3211,0.656511
Case_00490_0000,25.7746,0.715718
Case_00376_0000,24.7784,0.612036
Case_00252_0000,23.1193,0.734703
Case_00051_0000,25.3936,0.810538
Case_00416_0000,23.1311,0.545713
Case_01023_0000,23.6470,0.526734
