ct_path,psnr_db,ssim
Case_00415_0000,29.7248,0.872234
Case_00418_0000,33.2880,0.905737
Case_00326_0000,34.5287,0.915280
Case_00561_0000,29.6090,0.863462
Case_00560_0000,29.2247,0.849969
Case_00721_0000,30.2652,0.878085
Case_00582_0000,27.8165,0.870699
Case_00569_0000,30.0054,0.870612
Case_00625_0000,30.7500,0.871773
Case_00952_0000,29.8118,0.857918
Case_01016_0000,30.5115,0.919386
Case_00483_0000,33.9142,0.913928
Case_00203_0000,30.9930,0.886262
Case_00291_0000,33.4191,0.920723
Case_00290_0000,31.6419,0.913905
Case_00211_0000,31.0762,0.874628
Case_00665_0000,29.9095,0.887406
Case_01011_0000,33.1769,0.914143
Case_00312_0000,33.8687,0.914817
Case_00762_0000,33.1204,0.918685
Case_00968_0000,31.3676,0.885557
Case_00330_0000,33.2306,0.917885
Case_00872_0000,33.7195,0.916294
Case_00782_0000,29.7184,0.876143
Case_00092_0000,32.8224,0.912778
Case_00099_0000,31.5780,0.900140
Case_00680_0000,36.6117,0.928584
Case_00504_0000,32.2215,0.893307
Case_00849_0000,34.8527,0.919717
Case_00640_0000,33.4234,0.915048
Case_00878_0000,31.9980,0.912156
Case_00531_0000,31.5946,0.905931
Case_00516_0000,31.3914,0.893996
Case_00802_0000,33.6934,0.911049
Case_00587_0000,26.0748,0.821155
Case_00432_0000,31.7060,0.879489
Case_00006_0000,29.9552,0.878508
Case_00696_0000,31.0184,0.880086
Case_00943_0000,30.1666,0.865586
Case_00035_0000,33.6648,0.926070
Case_00145_0000,34.2466,0.922689
Case_00977_0000,35.4845,0.928587
Case_00780_0000,30.4848,0.866373
Case_01050_0000,34.2255,0.932156
Case_00045_0000,35.7370,0.934850
Case_00887_0000,31.6473,0.900262
Case_00947_0000,29.3158,0.860282
Case_00064_0000,28.9147,0.853393
Case_00428_0000,31.0945,0.873481
Case_00343_0000,34.1880,0.919355
Case_00490_0000,33.5776,0.913095
Case_00376_0000,33.4673,0.917547
Case_00252_0000,30.6996,0.885209
Case_00051_0000,32.4752,0.909093
