ct_path,psnr_db,ssim
amos_0165,26.0251,0.849758
amos_0384,25.6005,0.799271
amos_0046,26.3940,0.841167
amos_0157,26.2094,0.834321
amos_0054,25.7602,0.842082
amos_0073,25.4468,0.817247
amos_0316,25.7892,0.815674
amos_0210,24.3872,0.787896
amos_0075,25.7630,0.825225
amos_0334,24.8245,0.806619
amos_0404,26.0118,0.852858
amos_0416,26.2220,0.833412
amos_0093,24.1730,0.772063
amos_0216,26.7094,0.824265
amos_0480,26.2769,0.817271
amos_0060,25.9068,0.820730
amos_0369,24.7385,0.790286
amos_0164,25.9077,0.829968
amos_0211,26.2266,0.812446
amos_0252,25.4142,0.813191
amos_0444,24.5130,0.802540
amos_0321,26.0333,0.806812
amos_0290,25.8111,0.811981
amos_0390,26.0256,0.844258
amos_0008,25.7543,0.834569
amos_0463,26.2234,0.835116
amos_0250,25.0716,0.795959
amos_0229,26.5295,0.841830
amos_0246,26.2598,0.843471
amos_0212,27.0196,0.841880
amos_0130,25.6400,0.842311
amos_0163,26.6486,0.837720
amos_0224,25.9483,0.812027
amos_0042,26.0723,0.831597
amos_0279,26.3001,0.810037
amos_0022,26.7240,0.863734
amos_0435,26.6274,0.836524
amos_0069,26.5054,0.847444
amos_0228,25.9372,0.797258
amos_0152,25.1311,0.809592
amos_0370,25.9369,0.851053
amos_0218,25.2768,0.816649
amos_0155,25.6295,0.820955
amos_0178,25.2950,0.811758
amos_0398,24.9397,0.813433
amos_0140,26.0892,0.848876
amos_0142,26.8752,0.860724
amos_0327,26.0184,0.836492
amos_0176,25.5757,0.830226
amos_0171,25.2806,0.804984
amos_0089,23.1928,0.757812
amos_0097,25.2909,0.831457
amos_0440,25.6033,0.801509
amos_0304,26.0100,0.820477
amos_0051,25.7323,0.813662
amos_0200,25.8164,0.819760
amos_0298,26.1674,0.819239
amos_0132,24.4483,0.814450
amos_0121,25.7561,0.828057
amos_0359,24.1094,0.803266
amos_0181,24.9528,0.818990
amos_0371,25.8437,0.836515
amos_0038,26.2293,0.841587
amos_0161,24.8499,0.821102
amos_0005,25.4044,0.814663
amos_0094,26.3709,0.838226
amos_0305,26.5312,0.844742
amos_0189,24.6582,0.798881
amos_0375,26.1174,0.827982
amos_0454,25.4104,0.839493
amos_0095,25.9166,0.839774
amos_0469,26.2935,0.826891
amos_0293,24.5780,0.758542
amos_0341,25.5728,0.834183
amos_0408,26.0054,0.838543
