ct_path,psnr_db,ssim
amos_0165,28.2269,0.711845
amos_0384,27.6897,0.752579
amos_0046,27.4851,0.729036
amos_0157,27.5489,0.769747
amos_0054,27.4883,0.710160
amos_0073,27.3981,0.787952
amos_0316,27.7209,0.769617
amos_0210,26.0666,0.744769
amos_0075,27.4552,0.772932
amos_0334,26.2196,0.827390
amos_0404,27.7815,0.735804
amos_0416,27.7380,0.833004
amos_0093,25.1823,0.671541
amos_0216,28.6524,0.812206
amos_0480,27.7972,0.848719
amos_0060,27.7419,0.750541
amos_0369,26.1935,0.739113
amos_0164,27.0805,0.712471
amos_0211,28.2326,0.789209
amos_0252,26.8343,0.800962
amos_0444,25.8102,0.836790
amos_0321,27.8570,0.773847
amos_0290,27.2894,0.785852
amos_0390,27.6842,0.736681
amos_0008,27.8185,0.711102
amos_0463,27.4778,0.796905
amos_0250,26.8647,0.817073
amos_0229,29.4849,0.830733
amos_0246,28.1406,0.847024
amos_0212,28.3413,0.835647
amos_0130,27.3489,0.690293
amos_0163,27.4631,0.744541
amos_0224,28.4747,0.810218
amos_0042,28.0611,0.800914
amos_0279,28.4664,0.848779
amos_0022,28.2717,0.714058
amos_0435,28.6450,0.815434
amos_0069,27.9253,0.788129
amos_0228,27.8436,0.774722
amos_0152,27.4061,0.761440
amos_0370,27.7348,0.730978
amos_0218,27.0668,0.798619
amos_0155,27.7967,0.769015
amos_0178,26.5158,0.767132
amos_0398,26.4364,0.739305
amos_0140,27.8826,0.742392
amos_0142,28.4790,0.719679
amos_0327,28.0206,0.826794
amos_0176,26.9473,0.774011
amos_0171,26.4816,0.759235
amos_0089,23.8628,0.666566
amos_0097,26.7839,0.658575
amos_0440,26.7790,0.799642
amos_0304,27.8875,0.811965
amos_0051,27.4083,0.742411
amos_0200,27.1118,0.739342
amos_0298,28.0334,0.776479
amos_0132,25.5860,0.641559
amos_0121,27.0327,0.705695
amos_0359,25.3673,0.812874
amos_0181,26.3558,0.701699
amos_0371,27.5728,0.772124
amos_0038,27.5861,0.773923
amos_0161,25.3994,0.699718
amos_0005,26.9356,0.709133
amos_0094,27.5457,0.751462
amos_0305,28.6833,0.825437
amos_0189,25.7708,0.737811
amos_0375,27.5645,0.760073
amos_0454,27.0261,0.891187
amos_0095,26.7470,0.733652
amos_0469,27.4311,0.853676
amos_0293,26.8910,0.790928
amos_0341,26.9057,0.808412
amos_0408,28.0774,0.734613
