ct_path,psnr_db,ssim
amos_0165,25.6413,0.640216
amos_0384,25.3942,0.679789
amos_0046,25.3230,0.661874
amos_0157,24.8024,0.698690
amos_0054,24.9240,0.630898
amos_0073,25.4207,0.743526
amos_0316,25.0991,0.700073
amos_0210,24.4145,0.680503
amos_0075,25.5794,0.700670
amos_0334,24.3628,0.774741
amos_0404,25.2517,0.654812
amos_0416,25.1283,0.762002
amos_0093,22.6452,0.609137
amos_0216,26.0243,0.749771
amos_0480,25.8399,0.799198
amos_0060,25.3613,0.704558
amos_0369,24.2766,0.659265
amos_0164,25.0346,0.676235
amos_0211,25.7230,0.732634
amos_0252,24.5279,0.747059
amos_0444,24.5691,0.769188
amos_0321,25.0180,0.703075
amos_0290,24.9882,0.724427
amos_0390,25.3150,0.665472
amos_0008,25.3740,0.647371
amos_0463,24.9583,0.724251
amos_0250,25.0693,0.755797
amos_0229,26.4604,0.765904
amos_0246,25.4989,0.777103
amos_0212,26.0894,0.794162
amos_0130,24.9428,0.607437
amos_0163,24.6888,0.690083
amos_0224,26.0357,0.751067
amos_0042,25.9877,0.744924
amos_0279,26.0554,0.782515
amos_0022,25.5976,0.645336
amos_0435,25.9838,0.749197
amos_0069,26.0876,0.736885
amos_0228,25.6646,0.728635
amos_0152,24.8197,0.670132
amos_0370,25.4611,0.678933
amos_0218,25.0151,0.730110
amos_0155,25.0723,0.702796
amos_0178,25.1707,0.705810
amos_0398,23.6895,0.684809
amos_0140,25.3878,0.666189
amos_0142,25.9030,0.653565
amos_0327,25.4827,0.773672
amos_0176,24.8341,0.702409
amos_0171,23.9321,0.714012
amos_0089,22.7202,0.631254
amos_0097,24.8848,0.580927
amos_0440,25.3150,0.758722
amos_0304,24.9704,0.725316
amos_0051,25.0386,0.686328
amos_0200,24.5988,0.693318
amos_0298,25.4557,0.713156
amos_0132,24.2267,0.566882
amos_0121,25.2136,0.656719
amos_0359,23.2587,0.743575
amos_0181,24.9479,0.637402
amos_0371,25.4043,0.707340
amos_0038,25.9518,0.729247
amos_0161,23.6150,0.618411
amos_0005,24.8972,0.640418
amos_0094,25.7211,0.712526
amos_0305,26.1069,0.754244
amos_0189,24.1400,0.659222
amos_0375,24.6505,0.714875
amos_0454,25.0963,0.844939
amos_0095,24.9589,0.697499
amos_0469,26.1986,0.822769
amos_0293,24.5376,0.727329
amos_0341,24.6770,0.729749
amos_0408,25.3737,0.673570
