ct_path,psnr_db,ssim
amos_0165,25.7737,0.826942
amos_0384,25.6410,0.744966
amos_0046,25.5492,0.810934
amos_0157,24.9261,0.780311
amos_0054,25.2409,0.810499
amos_0073,25.5487,0.797196
amos_0316,25.2849,0.795213
amos_0210,24.2263,0.730481
amos_0075,25.5771,0.780281
amos_0334,24.4716,0.653088
amos_0404,25.3954,0.804952
amos_0416,25.2563,0.695670
amos_0093,22.8433,0.734927
amos_0216,26.1854,0.753897
amos_0480,25.8529,0.765309
amos_0060,25.5972,0.807969
amos_0369,24.1496,0.685226
amos_0164,24.9864,0.809651
amos_0211,25.8527,0.760580
amos_0252,24.5079,0.657574
amos_0444,24.0709,0.514327
amos_0321,24.8182,0.753169
amos_0290,25.0842,0.683142
amos_0390,25.4067,0.814457
amos_0008,25.4919,0.821584
amos_0463,24.9747,0.703769
amos_0250,25.0082,0.706780
amos_0229,26.6605,0.813851
amos_0246,25.5240,0.713507
amos_0212,26.1661,0.669622
amos_0130,24.8782,0.805497
amos_0163,24.9716,0.807062
amos_0224,26.2551,0.783497
amos_0042,25.7384,0.803779
amos_0279,26.2788,0.740137
amos_0022,25.6507,0.826587
amos_0435,26.0339,0.765201
amos_0069,26.0435,0.811582
amos_0228,25.8517,0.749317
amos_0152,24.5216,0.768927
amos_0370,25.5573,0.836319
amos_0218,24.9700,0.760789
amos_0155,24.9654,0.793742
amos_0178,25.3644,0.769340
amos_0398,23.9686,0.790922
amos_0140,25.5213,0.815936
amos_0142,26.0419,0.828209
amos_0327,25.5341,0.730650
amos_0176,25.1254,0.778137
amos_0171,24.1793,0.804161
amos_0089,22.6610,0.746036
amos_0097,25.1048,0.813015
amos_0440,25.5354,0.762805
amos_0304,25.0213,0.669960
amos_0051,24.9854,0.769931
amos_0200,24.5153,0.797593
amos_0298,25.4907,0.795039
amos_0132,23.8828,0.790971
amos_0121,25.2612,0.812805
amos_0359,23.3915,0.659840
amos_0181,24.8716,0.810329
amos_0371,25.4606,0.798898
amos_0038,25.8045,0.805983
amos_0161,23.8817,0.785589
amos_0005,24.7975,0.779643
amos_0094,25.8402,0.815113
amos_0305,26.3178,0.782853
amos_0189,23.9849,0.737758
amos_0375,24.8389,0.815487
amos_0454,25.4800,0.462871
amos_0095,25.0321,0.782988
amos_0469,26.2331,0.779518
amos_0293,24.6857,0.719109
amos_0341,24.7972,0.718852
amos_0408,25.5330,0.818735
