ct_path,psnr_db,ssim
amos_0165,32.5233,0.905523
amos_0384,30.2426,0.856270
amos_0046,31.0953,0.894907
amos_0157,31.1014,0.904164
amos_0054,30.7597,0.892631
amos_0073,30.9505,0.902862
amos_0316,31.2112,0.894774
amos_0210,28.4673,0.872144
amos_0075,30.8929,0.900598
amos_0334,30.0492,0.895912
amos_0404,31.5414,0.908039
amos_0416,32.3298,0.922140
amos_0093,27.8845,0.847569
amos_0216,32.0113,0.902772
amos_0480,31.4610,0.908512
amos_0060,31.7318,0.899257
amos_0369,30.2507,0.876832
amos_0164,30.2996,0.897497
amos_0211,31.2308,0.889171
amos_0252,31.0932,0.910092
amos_0444,29.6876,0.905688
amos_0321,31.0041,0.885118
amos_0290,30.5820,0.896807
amos_0390,31.3107,0.904207
amos_0008,31.6807,0.902860
amos_0463,31.2173,0.910143
amos_0250,30.1615,0.892560
amos_0229,32.6872,0.922594
amos_0246,32.0157,0.923643
amos_0212,32.5497,0.918221
amos_0130,30.7305,0.890006
amos_0163,31.4313,0.893021
amos_0224,31.3892,0.900804
amos_0042,31.2436,0.905372
amos_0279,31.6729,0.902046
amos_0022,32.2355,0.909552
amos_0435,31.7953,0.909702
amos_0069,31.6811,0.914879
amos_0228,30.7758,0.879980
amos_0152,30.2678,0.893273
amos_0370,30.9390,0.908228
amos_0218,29.6385,0.896692
amos_0155,30.8615,0.892729
amos_0178,30.7379,0.903225
amos_0398,30.7024,0.897692
amos_0140,31.3565,0.902736
amos_0142,32.5784,0.908519
amos_0327,32.5175,0.924534
amos_0176,30.2588,0.910411
amos_0171,29.9370,0.886170
amos_0089,24.7231,0.831028
amos_0097,30.9024,0.894274
amos_0440,29.6631,0.881392
amos_0304,31.3179,0.908564
amos_0051,31.2723,0.900916
amos_0200,30.1340,0.885086
amos_0298,31.8451,0.892563
amos_0132,29.4058,0.887231
amos_0121,30.3297,0.886073
amos_0359,29.1929,0.897804
amos_0181,29.9103,0.894073
amos_0371,31.2309,0.897508
amos_0038,31.1679,0.908870
amos_0161,29.8041,0.895246
amos_0005,30.4306,0.880278
amos_0094,31.2956,0.909848
amos_0305,31.7260,0.917303
amos_0189,28.4993,0.847122
amos_0375,31.5912,0.899616
amos_0454,32.8984,0.933396
amos_0095,30.8592,0.909909
amos_0469,31.0606,0.911380
amos_0293,29.3493,0.860492
amos_0341,31.1473,0.917572
amos_0408,30.9489,0.895854
