ct_path,psnr_db,ssim
amos_0165,33.1341,0.946125
amos_0384,31.4682,0.921257
amos_0046,31.6909,0.924813
amos_0157,33.1796,0.928148
amos_0054,31.4369,0.931675
amos_0073,31.3116,0.918106
amos_0316,31.7486,0.920181
amos_0210,29.1426,0.902360
amos_0075,31.5737,0.919718
amos_0334,30.8214,0.903969
amos_0404,32.3493,0.940926
amos_0416,33.1496,0.939650
amos_0093,28.4928,0.869656
amos_0216,32.6100,0.921926
amos_0480,31.6658,0.913673
amos_0060,32.8593,0.928548
amos_0369,31.5039,0.918615
amos_0164,31.7163,0.923720
amos_0211,31.7711,0.911962
amos_0252,31.8973,0.929527
amos_0444,29.5263,0.892277
amos_0321,31.6862,0.912919
amos_0290,31.6385,0.923895
amos_0390,32.2089,0.935828
amos_0008,31.8867,0.931477
amos_0463,32.5821,0.936706
amos_0250,30.5819,0.910908
amos_0229,33.3234,0.936888
amos_0246,32.6275,0.942892
amos_0212,33.1421,0.936969
amos_0130,31.4773,0.932837
amos_0163,32.6405,0.923112
amos_0224,31.9715,0.922736
amos_0042,32.0678,0.922837
amos_0279,31.8051,0.910592
amos_0022,32.7496,0.941735
amos_0435,32.3427,0.928429
amos_0069,32.5107,0.932782
amos_0228,31.3771,0.900166
amos_0152,30.8367,0.915321
amos_0370,31.3387,0.935603
amos_0218,30.1063,0.916276
amos_0155,31.7961,0.917236
amos_0178,31.7869,0.919798
amos_0398,32.1782,0.926215
amos_0140,31.8473,0.932798
amos_0142,32.9932,0.936345
amos_0327,33.1434,0.938893
amos_0176,32.1666,0.931614
amos_0171,31.5231,0.915329
amos_0089,27.0802,0.878541
amos_0097,31.4127,0.917717
amos_0440,30.2029,0.896460
amos_0304,31.5125,0.925339
amos_0051,32.1072,0.917817
amos_0200,31.6075,0.912836
amos_0298,32.2174,0.919016
amos_0132,30.3224,0.915929
amos_0121,31.0159,0.911049
amos_0359,30.7499,0.922257
amos_0181,31.0357,0.920256
amos_0371,32.0251,0.935516
amos_0038,31.9627,0.928840
amos_0161,30.6387,0.917631
amos_0005,30.6928,0.911277
amos_0094,32.4929,0.931849
amos_0305,32.4976,0.939662
amos_0189,29.3568,0.900420
amos_0375,33.3953,0.930931
amos_0454,33.9003,0.918383
amos_0095,33.1109,0.945769
amos_0469,31.1235,0.912697
amos_0293,30.1243,0.893971
amos_0341,32.0602,0.935766
amos_0408,31.4851,0.922072
