ct_path,psnr_db,ssim
CQ500CT437,27.3675,0.903045
CQ500CT256,26.8219,0.891964
CQ500CT68,27.3371,0.906843
CQ500CT215,27.3430,0.918755
CQ500CT26,26.5321,0.909471
CQ500CT337,26.6593,0.873018
CQ500CT395,27.7231,0.918657
CQ500CT0,27.0515,0.906786
CQ500CT400,25.7163,0.841882
CQ500CT420,26.7668,0.868528
CQ500CT9,26.7659,0.890631
CQ500CT44,27.9919,0.943849
CQ500CT291,26.6535,0.887664
CQ500CT444,25.9064,0.871330
CQ500CT142,26.8022,0.862826
CQ500CT104,27.8298,0.930102
CQ500CT362,26.0420,0.900917
CQ500CT486,26.8514,0.905867
CQ500CT128,26.8550,0.883266
CQ500CT224,25.8107,0.817366
CQ500CT35,27.1214,0.883464
CQ500CT311,28.2448,0.926418
CQ500CT87,25.8049,0.760861
CQ500CT364,27.3606,0.876189
CQ500CT198,27.3479,0.907993
CQ500CT407,26.0104,0.870985
CQ500CT394,26.8573,0.907555
CQ500CT251,25.7481,0.883025
CQ500CT308,27.3904,0.923475
CQ500CT270,26.4812,0.897350
CQ500CT146,27.9035,0.930046
CQ500CT368,27.1462,0.900044
CQ500CT326,25.6073,0.780937
CQ500CT259,27.5492,0.942960
CQ500CT428,27.1712,0.911816
CQ500CT65,26.3855,0.841603
CQ500CT133,25.1083,0.771105
CQ500CT449,25.9257,0.867410
CQ500CT145,27.3511,0.921535
CQ500CT249,27.6476,0.878888
CQ500CT17,26.2213,0.829746
CQ500CT390,27.3271,0.928274
CQ500CT488,27.6468,0.899917
CQ500CT438,26.8868,0.854899
CQ500CT355,24.1854,0.840710
CQ500CT219,26.3724,0.872983
CQ500CT483,27.1637,0.906473
CQ500CT398,26.8947,0.804060
CQ500CT143,26.9313,0.938840
CQ500CT462,27.0814,0.901441
CQ500CT82,25.4292,0.835470
CQ500CT235,25.7742,0.872346
CQ500CT166,24.8856,0.860503
CQ500CT342,28.1567,0.885086
CQ500CT203,26.8497,0.862216
CQ500CT379,28.0380,0.895115
CQ500CT272,27.1502,0.906868
CQ500CT329,27.9007,0.915646
CQ500CT246,27.3224,0.904461
CQ500CT55,25.7449,0.866650
CQ500CT476,25.7029,0.859962
CQ500CT294,26.3137,0.906832
CQ500CT332,25.8068,0.873236
CQ500CT345,16.0572,0.390741
CQ500CT223,26.5713,0.913978
CQ500CT116,27.5917,0.938533
CQ500CT301,26.2462,0.887900
CQ500CT84,26.5779,0.895637
CQ500CT464,26.9976,0.899325
CQ500CT285,26.4428,0.867600
CQ500CT62,22.2892,0.741664
