ct_path,psnr_db,ssim
CQ500CT437,30.2915,0.957897
CQ500CT256,28.4279,0.950601
CQ500CT68,30.3013,0.960566
CQ500CT215,30.6234,0.967897
CQ500CT26,29.8355,0.955093
CQ500CT337,29.5467,0.951266
CQ500CT395,31.4358,0.963192
CQ500CT0,29.5144,0.946260
CQ500CT400,27.3440,0.919170
CQ500CT420,29.7509,0.940573
CQ500CT9,30.0002,0.951962
CQ500CT44,30.0546,0.960387
CQ500CT291,30.7111,0.962576
CQ500CT444,28.4085,0.937185
CQ500CT142,29.0262,0.938657
CQ500CT104,30.4357,0.958322
CQ500CT362,29.2416,0.957629
CQ500CT486,30.1887,0.949825
CQ500CT128,30.5348,0.958292
CQ500CT224,29.1496,0.902037
CQ500CT35,29.1938,0.957084
CQ500CT311,32.4473,0.969459
CQ500CT87,28.8448,0.852082
CQ500CT364,30.8532,0.935390
CQ500CT198,31.3539,0.966527
CQ500CT407,28.1729,0.941299
CQ500CT394,30.4247,0.961156
CQ500CT251,27.5645,0.932063
CQ500CT308,31.0575,0.966341
CQ500CT270,29.8760,0.960352
CQ500CT146,31.7026,0.966921
CQ500CT368,30.3395,0.964474
CQ500CT326,29.7864,0.872979
CQ500CT259,30.0967,0.962601
CQ500CT428,29.6734,0.956002
CQ500CT65,30.1048,0.923150
CQ500CT133,27.3999,0.846180
CQ500CT449,28.1593,0.942381
CQ500CT145,31.2701,0.960564
CQ500CT249,30.2794,0.944103
CQ500CT17,28.9406,0.907768
CQ500CT390,30.7848,0.952800
CQ500CT488,30.4458,0.956501
CQ500CT438,29.6743,0.929951
CQ500CT355,26.1903,0.870067
CQ500CT219,28.9691,0.943260
CQ500CT483,31.1162,0.961644
CQ500CT398,29.5676,0.882940
CQ500CT143,30.9795,0.961468
CQ500CT462,29.5233,0.950629
CQ500CT82,28.4623,0.910715
CQ500CT235,28.5447,0.932182
CQ500CT166,28.0547,0.933978
CQ500CT342,30.9818,0.944402
CQ500CT203,29.4458,0.934834
CQ500CT379,31.5473,0.961579
CQ500CT272,30.6045,0.939991
CQ500CT329,31.4050,0.965273
CQ500CT246,29.9852,0.962878
CQ500CT55,28.7604,0.939633
CQ500CT476,29.3305,0.930606
CQ500CT294,30.8545,0.963977
CQ500CT332,27.7183,0.929822
CQ500CT345,16.3147,0.462722
CQ500CT223,29.6536,0.964868
CQ500CT116,29.9176,0.961976
CQ500CT301,30.5249,0.963202
CQ500CT84,30.4337,0.962078
CQ500CT464,30.3743,0.960732
CQ500CT285,28.0000,0.933288
CQ500CT62,23.2616,0.811689
