ct_path,psnr_db,ssim
CQ500CT437,31.0874,0.964115
CQ500CT256,29.6115,0.964720
CQ500CT68,30.6277,0.967665
CQ500CT215,32.6359,0.973621
CQ500CT26,31.5610,0.963575
CQ500CT337,30.5746,0.956275
CQ500CT395,31.9110,0.970966
CQ500CT0,30.5383,0.952170
CQ500CT400,29.4720,0.939440
CQ500CT420,30.6688,0.959718
CQ500CT9,31.2175,0.955613
CQ500CT44,33.0915,0.965398
CQ500CT291,31.6707,0.969824
CQ500CT444,29.8109,0.947570
CQ500CT142,30.8391,0.960023
CQ500CT104,31.9815,0.967961
CQ500CT362,30.3677,0.960973
CQ500CT486,31.3086,0.956974
CQ500CT128,31.8708,0.972439
CQ500CT224,30.9809,0.932127
CQ500CT35,30.1870,0.964989
CQ500CT311,32.5004,0.975991
CQ500CT87,31.1061,0.952714
CQ500CT364,32.1899,0.953356
CQ500CT198,33.9273,0.974480
CQ500CT407,30.2296,0.959450
CQ500CT394,30.7637,0.963257
CQ500CT251,28.7172,0.944899
CQ500CT308,31.9351,0.971479
CQ500CT270,30.7283,0.970299
CQ500CT146,32.2254,0.975314
CQ500CT368,31.1328,0.972615
CQ500CT326,29.8844,0.941618
CQ500CT259,32.9295,0.967389
CQ500CT428,30.7581,0.964989
CQ500CT65,32.6676,0.954059
CQ500CT133,29.2067,0.925591
CQ500CT449,29.2003,0.953329
CQ500CT145,31.5496,0.974790
CQ500CT249,32.0024,0.969041
CQ500CT17,29.9880,0.948602
CQ500CT390,32.3885,0.978109
CQ500CT488,31.4754,0.964560
CQ500CT438,31.0064,0.945930
CQ500CT355,28.0018,0.952883
CQ500CT219,29.6858,0.959958
CQ500CT483,33.1502,0.968762
CQ500CT398,30.6922,0.949939
CQ500CT143,32.3889,0.972241
CQ500CT462,30.1865,0.958096
CQ500CT82,29.0070,0.947244
CQ500CT235,29.7000,0.951614
CQ500CT166,28.5805,0.946249
CQ500CT342,32.0799,0.963606
CQ500CT203,30.9036,0.958560
CQ500CT379,32.6871,0.970278
CQ500CT272,30.9371,0.956386
CQ500CT329,31.9411,0.969291
CQ500CT246,31.2004,0.971249
CQ500CT55,30.0674,0.953223
CQ500CT476,30.8455,0.961064
CQ500CT294,32.2360,0.966739
CQ500CT332,28.9935,0.945384
CQ500CT345,21.4734,0.685750
CQ500CT223,31.1467,0.971599
CQ500CT116,32.7397,0.967132
CQ500CT301,32.0160,0.971144
CQ500CT84,31.3568,0.969526
CQ500CT464,31.8715,0.970048
CQ500CT285,30.2932,0.953947
CQ500CT62,26.0837,0.892058
