ct_path,psnr_db,ssim
CQ500CT437,26.0080,0.877158
CQ500CT256,25.6840,0.862924
CQ500CT68,25.8436,0.848828
CQ500CT215,26.2690,0.868490
CQ500CT26,25.8538,0.833486
CQ500CT337,25.5828,0.859469
CQ500CT395,26.2919,0.859598
CQ500CT0,26.1289,0.852437
CQ500CT400,25.3187,0.841073
CQ500CT420,25.9103,0.844323
CQ500CT9,25.7928,0.856604
CQ500CT44,26.4323,0.759041
CQ500CT291,26.1502,0.875096
CQ500CT444,25.4438,0.854704
CQ500CT142,25.9692,0.833697
CQ500CT104,26.3088,0.889483
CQ500CT362,26.2070,0.869041
CQ500CT486,26.4257,0.874718
CQ500CT128,26.1216,0.863958
CQ500CT224,25.2237,0.806821
CQ500CT35,25.7910,0.856673
CQ500CT311,26.5551,0.840987
CQ500CT87,25.5717,0.757079
CQ500CT364,25.7460,0.837983
CQ500CT198,26.5258,0.866726
CQ500CT407,25.3998,0.853903
CQ500CT394,26.0252,0.847200
CQ500CT251,25.4145,0.858655
CQ500CT308,26.3051,0.873333
CQ500CT270,25.7158,0.871622
CQ500CT146,26.4144,0.845357
CQ500CT368,25.9430,0.878514
CQ500CT326,25.9772,0.786354
CQ500CT259,26.6906,0.833268
CQ500CT428,25.9108,0.868392
CQ500CT65,26.3510,0.841472
CQ500CT133,25.2217,0.761375
CQ500CT449,25.3737,0.848846
CQ500CT145,26.4835,0.772009
CQ500CT249,26.1925,0.849863
CQ500CT17,25.6301,0.821688
CQ500CT390,26.3578,0.831529
CQ500CT488,26.0857,0.875090
CQ500CT438,25.7604,0.825831
CQ500CT355,22.2844,0.752556
CQ500CT219,25.6390,0.856275
CQ500CT483,26.5317,0.870109
CQ500CT398,25.7043,0.782051
CQ500CT143,26.3041,0.800599
CQ500CT462,26.0352,0.876419
CQ500CT82,25.0555,0.805425
CQ500CT235,25.2239,0.833019
CQ500CT166,24.9404,0.848290
CQ500CT342,26.4828,0.856829
CQ500CT203,25.9970,0.829153
CQ500CT379,26.3484,0.864220
CQ500CT272,26.2775,0.820109
CQ500CT329,26.4005,0.868906
CQ500CT246,25.8605,0.861121
CQ500CT55,25.0462,0.850560
CQ500CT476,25.5605,0.827065
CQ500CT294,26.3323,0.867399
CQ500CT332,25.1999,0.853798
CQ500CT345,15.8281,0.431368
CQ500CT223,25.8380,0.867783
CQ500CT116,26.4076,0.820933
CQ500CT301,26.1076,0.879751
CQ500CT84,26.0163,0.882081
CQ500CT464,26.0203,0.875718
CQ500CT285,25.6230,0.843448
CQ500CT62,23.4801,0.749296
