ct_path,psnr_db,ssim
CQ500CT437,25.3153,0.829883
CQ500CT256,25.1008,0.825275
CQ500CT68,25.1958,0.777928
CQ500CT215,24.5681,0.786872
CQ500CT26,23.8966,0.765727
CQ500CT337,24.9011,0.818691
CQ500CT395,25.8920,0.792881
CQ500CT0,25.6907,0.765206
CQ500CT400,25.0410,0.802550
CQ500CT420,25.4518,0.825188
CQ500CT9,25.2070,0.763450
CQ500CT44,26.0035,0.889381
CQ500CT291,25.6351,0.835249
CQ500CT444,24.8024,0.797917
CQ500CT142,25.3673,0.787640
CQ500CT104,25.8306,0.808659
CQ500CT362,25.5450,0.809863
CQ500CT486,26.0366,0.795407
CQ500CT128,25.5146,0.830225
CQ500CT224,24.5147,0.810127
CQ500CT35,25.2847,0.812024
CQ500CT311,25.5230,0.757985
CQ500CT87,25.2245,0.835550
CQ500CT364,25.2524,0.790111
CQ500CT198,26.1428,0.810168
CQ500CT407,25.1183,0.833164
CQ500CT394,25.3752,0.771565
CQ500CT251,24.6305,0.755315
CQ500CT308,25.6122,0.788013
CQ500CT270,24.8533,0.816617
CQ500CT146,25.9019,0.777467
CQ500CT368,25.2568,0.826056
CQ500CT326,25.6552,0.822845
CQ500CT259,25.9492,0.900855
CQ500CT428,25.4426,0.790973
CQ500CT65,25.9391,0.823441
CQ500CT133,25.0478,0.817924
CQ500CT449,24.9413,0.831367
CQ500CT145,26.0146,0.822393
CQ500CT249,25.6325,0.824981
CQ500CT17,25.1552,0.827698
CQ500CT390,24.9550,0.782086
CQ500CT488,25.5823,0.831216
CQ500CT438,24.9805,0.791215
CQ500CT355,18.2527,0.788030
CQ500CT219,25.0601,0.804984
CQ500CT483,25.8891,0.813919
CQ500CT398,25.2111,0.818159
CQ500CT143,25.8625,0.879947
CQ500CT462,25.7300,0.839904
CQ500CT82,24.5058,0.744361
CQ500CT235,24.6716,0.725948
CQ500CT166,23.9889,0.783475
CQ500CT342,25.9279,0.812507
CQ500CT203,25.2325,0.823114
CQ500CT379,25.6536,0.822540
CQ500CT272,24.8774,0.751939
CQ500CT329,25.8087,0.777356
CQ500CT246,25.3088,0.796686
CQ500CT55,24.3979,0.785221
CQ500CT476,24.8509,0.754774
CQ500CT294,25.7134,0.791228
CQ500CT332,24.7448,0.785957
CQ500CT345,15.5262,0.384855
CQ500CT223,25.3205,0.841023
CQ500CT116,25.9229,0.898891
CQ500CT301,25.7006,0.839457
CQ500CT84,25.4704,0.819108
CQ500CT464,24.4782,0.803840
CQ500CT285,25.1646,0.802157
CQ500CT62,22.3491,0.638204
