ct_path,psnr_db,ssim
CQ500CT437,27.6309,0.907272
CQ500CT256,26.8881,0.900687
CQ500CT68,27.0870,0.900839
CQ500CT215,27.5093,0.910687
CQ500CT26,27.1072,0.902127
CQ500CT337,27.3858,0.895053
CQ500CT395,27.5754,0.907663
CQ500CT0,27.1596,0.891503
CQ500CT400,26.9407,0.875348
CQ500CT420,27.0348,0.890479
CQ500CT9,26.9057,0.891191
CQ500CT44,27.9719,0.928462
CQ500CT291,27.3740,0.904555
CQ500CT444,26.6702,0.880864
CQ500CT142,27.2593,0.892471
CQ500CT104,27.3328,0.902708
CQ500CT362,27.2069,0.902471
CQ500CT486,27.5645,0.896040
CQ500CT128,27.2640,0.902500
CQ500CT224,27.3752,0.870268
CQ500CT35,26.7773,0.900430
CQ500CT311,27.8369,0.900496
CQ500CT87,27.6569,0.864735
CQ500CT364,27.7912,0.879276
CQ500CT198,27.7507,0.907290
CQ500CT407,26.9187,0.892256
CQ500CT394,27.1376,0.901161
CQ500CT251,26.4028,0.886144
CQ500CT308,27.4836,0.909911
CQ500CT270,27.1155,0.906771
CQ500CT146,27.5404,0.906125
CQ500CT368,27.0422,0.905913
CQ500CT326,27.9664,0.873599
CQ500CT259,27.9291,0.927301
CQ500CT428,26.8017,0.894501
CQ500CT65,28.0395,0.894918
CQ500CT133,27.1362,0.851692
CQ500CT449,26.7185,0.891942
CQ500CT145,28.4260,0.919429
CQ500CT249,27.3649,0.897556
CQ500CT17,27.0151,0.881880
CQ500CT390,27.7320,0.904952
CQ500CT488,27.4092,0.905267
CQ500CT438,27.4385,0.872833
CQ500CT355,25.8213,0.882453
CQ500CT219,26.8476,0.889248
CQ500CT483,27.5415,0.903102
CQ500CT398,27.4843,0.868418
CQ500CT143,27.8541,0.923621
CQ500CT462,27.1218,0.892671
CQ500CT82,26.6736,0.865830
CQ500CT235,26.4343,0.879462
CQ500CT166,26.3963,0.880352
CQ500CT342,27.5044,0.893542
CQ500CT203,27.8573,0.893932
CQ500CT379,27.8463,0.910202
CQ500CT272,27.7469,0.878322
CQ500CT329,27.4309,0.905721
CQ500CT246,27.0941,0.906735
CQ500CT55,26.3191,0.879394
CQ500CT476,27.1447,0.879943
CQ500CT294,27.3525,0.904168
CQ500CT332,25.9784,0.870645
CQ500CT345,16.3671,0.490209
CQ500CT223,26.9074,0.909581
CQ500CT116,27.9069,0.926332
CQ500CT301,27.3600,0.901681
CQ500CT84,27.1998,0.898620
CQ500CT464,27.4659,0.907696
CQ500CT285,26.9505,0.888820
CQ500CT62,25.1579,0.805489
