ct_path,psnr_db,ssim
valid_1007_a_1,23.2025,0.639119
valid_1007_a_2,24.4598,0.694028
valid_1010_a_1,22.6977,0.609581
valid_1010_a_2,22.9787,0.653189
valid_1016_a_1,24.1444,0.650623
valid_1016_a_2,24.7980,0.675985
valid_1016_b_1,24.3011,0.610151
valid_1016_b_2,24.8198,0.631938
valid_1016_c_1,24.5604,0.620439
valid_1016_c_2,24.3151,0.608498
valid_1016_d_1,24.3721,0.620348
valid_1016_d_2,24.1794,0.615634
valid_1016_e_1,23.8930,0.562900
valid_1016_e_2,23.7484,0.559039
valid_1016_f_1,24.0105,0.533290
valid_1016_f_2,23.9431,0.533593
valid_1017_a_1,24.4650,0.675757
valid_1020_a_1,24.1009,0.603320
valid_1020_a_2,24.3825,0.612816
valid_1025_a_1,23.3830,0.666714
valid_1025_a_2,24.0943,0.728083
valid_1025_b_1,23.5808,0.710855
valid_1025_b_2,23.5211,0.696336
valid_1025_c_1,21.9946,0.626657
valid_1025_c_2,23.0425,0.652454
valid_1030_a_1,23.4109,0.655814
valid_1030_a_2,23.9141,0.698030
valid_1037_a_1,22.9884,0.553379
valid_1037_a_2,22.9213,0.586796
valid_1039_a_1,23.8853,0.668223
valid_1040_a_1,24.3043,0.718717
valid_1040_a_2,24.1209,0.697668
valid_1044_a_1,24.0591,0.634176
valid_1044_a_2,24.6305,0.693004
valid_1046_a_1,22.8967,0.594005
valid_1046_a_2,24.1941,0.648951
valid_1052_a_1,23.4903,0.668049
valid_1058_a_1,24.0931,0.555344
valid_1058_a_2,24.5382,0.610327
valid_1060_a_1,23.6114,0.672950
valid_1060_a_2,23.4911,0.653338
valid_1068_a_1,23.9391,0.597587
valid_1068_a_2,24.6978,0.664048
valid_1070_a_1,22.9819,0.649489
valid_1070_a_2,22.9938,0.625637
valid_1072_a_1,23.3408,0.674619
valid_1073_a_1,21.9972,0.519608
valid_1076_a_1,20.3657,0.536808
valid_1076_a_2,20.6312,0.628634
valid_1089_a_1,23.8229,0.672017
valid_1089_a_2,24.3120,0.730092
valid_1098_a_1,22.1950,0.559384
valid_1098_a_2,22.5675,0.594208
valid_1099_a_1,23.3710,0.653389
valid_1099_a_2,24.6699,0.735897
valid_1102_a_1,23.3422,0.661954
valid_1102_a_2,23.7493,0.715241
valid_1109_a_1,23.3694,0.603316
valid_1109_a_2,22.4961,0.573836
valid_1112_a_1,22.0372,0.279523
valid_1112_a_2,22.0724,0.279904
valid_1112_a_3,22.9860,0.661983
valid_1112_a_4,22.0652,0.287079
valid_1112_a_5,23.2600,0.718076
valid_1114_a_1,24.6821,0.653729
valid_1114_a_2,23.5331,0.607117
valid_1115_a_1,24.5270,0.670421
valid_1116_a_1,20.8090,0.542897
valid_1116_a_2,21.5662,0.685078
valid_1118_a_1,21.7143,0.617860
valid_1118_a_2,22.9169,0.500797
valid_1119_a_1,23.3471,0.544238
valid_1119_a_2,23.2023,0.543479
valid_1122_a_1,24.2999,0.647610
valid_1122_a_2,24.7142,0.695449
valid_1124_a_1,21.9939,0.706757
valid_1124_a_2,21.9145,0.682246
valid_1126_a_1,23.0475,0.668478
valid_1126_a_2,21.7022,0.517911
valid_1126_b_1,20.4731,0.592601
valid_1126_b_2,21.1752,0.636650
valid_1126_c_1,21.3926,0.608093
valid_1126_c_2,22.0032,0.656075
valid_1127_a_1,22.0926,0.593236
valid_1127_a_2,22.5962,0.677395
valid_112_a_1,22.2420,0.629345
valid_112_a_2,22.6798,0.680829
valid_1131_a_1,21.0194,0.579000
valid_1131_a_2,21.7066,0.691068
valid_1131_b_1,23.1125,0.662026
