ct_path,psnr_db,ssim
valid_1007_a_1,26.2714,0.822634
valid_1007_a_2,28.4818,0.883857
valid_1010_a_1,26.2726,0.775807
valid_1010_a_2,27.0416,0.837000
valid_1016_a_1,26.7150,0.809419
valid_1016_a_2,28.2711,0.866004
valid_1016_b_1,26.9042,0.830333
valid_1016_b_2,28.4433,0.881986
valid_1016_c_1,28.2590,0.869170
valid_1016_c_2,27.8787,0.846183
valid_1016_d_1,28.3383,0.886860
valid_1016_d_2,27.8737,0.864103
valid_1016_e_1,27.5710,0.882253
valid_1016_e_2,27.0455,0.862469
valid_1016_f_1,28.1453,0.884075
valid_1016_f_2,27.8059,0.863960
valid_1017_a_1,28.2354,0.856910
valid_1020_a_1,27.7623,0.859267
valid_1020_a_2,28.5384,0.894691
valid_1025_a_1,26.9629,0.792173
valid_1025_a_2,28.1589,0.883915
valid_1025_b_1,27.6519,0.861516
valid_1025_b_2,27.2149,0.827046
valid_1025_c_1,25.5963,0.816044
valid_1025_c_2,27.3884,0.874928
valid_1030_a_1,26.4268,0.811113
valid_1030_a_2,27.5709,0.871130
valid_1037_a_1,27.2909,0.816263
valid_1037_a_2,28.6636,0.902159
valid_1039_a_1,27.8937,0.850982
valid_1040_a_1,28.7283,0.865442
valid_1040_a_2,27.9469,0.832108
valid_1044_a_1,27.9162,0.822014
valid_1044_a_2,29.2795,0.897095
valid_1046_a_1,26.5891,0.811037
valid_1046_a_2,28.9581,0.884610
valid_1052_a_1,27.6268,0.817280
valid_1058_a_1,28.3267,0.812286
valid_1058_a_2,29.6992,0.897750
valid_1060_a_1,26.8096,0.814439
valid_1060_a_2,26.5692,0.788880
valid_1068_a_1,27.9984,0.811383
valid_1068_a_2,29.4018,0.890044
valid_1070_a_1,28.4629,0.883416
valid_1070_a_2,27.9900,0.843839
valid_1072_a_1,27.5160,0.817177
valid_1073_a_1,26.7163,0.871516
valid_1076_a_1,23.2847,0.638846
valid_1076_a_2,24.8030,0.770764
valid_1089_a_1,26.9193,0.792870
valid_1089_a_2,28.2408,0.870513
valid_1098_a_1,24.7378,0.789546
valid_1098_a_2,25.2897,0.834279
valid_1099_a_1,27.4600,0.779169
valid_1099_a_2,29.0251,0.875961
valid_1102_a_1,26.5687,0.772164
valid_1102_a_2,27.5918,0.854031
valid_1109_a_1,27.2561,0.855999
valid_1109_a_2,25.8833,0.818970
valid_1112_a_1,26.8597,0.924099
valid_1112_a_2,27.0142,0.923710
valid_1112_a_3,25.3420,0.776064
valid_1112_a_4,26.4239,0.928290
valid_1112_a_5,26.0199,0.843809
valid_1114_a_1,28.8393,0.883951
valid_1114_a_2,26.9693,0.829306
valid_1115_a_1,28.6273,0.845380
valid_1116_a_1,24.8181,0.655454
valid_1116_a_2,26.2933,0.815761
valid_1118_a_1,24.6656,0.805370
valid_1118_a_2,26.8302,0.885343
valid_1119_a_1,26.2008,0.864294
valid_1119_a_2,25.8737,0.838225
valid_1122_a_1,27.1382,0.806347
valid_1122_a_2,28.0569,0.872879
valid_1124_a_1,25.2992,0.807669
valid_1124_a_2,24.8570,0.765178
valid_1126_a_1,26.7503,0.835314
valid_1126_a_2,24.2969,0.641793
valid_1126_b_1,23.7968,0.790145
valid_1126_b_2,24.9261,0.852355
valid_1126_c_1,24.9826,0.798117
valid_1126_c_2,26.0811,0.863766
valid_1127_a_1,26.1527,0.731507
valid_1127_a_2,26.6623,0.829116
valid_112_a_1,25.2929,0.787346
valid_112_a_2,26.1542,0.855202
valid_1131_a_1,25.7369,0.703377
valid_1131_a_2,27.0102,0.828510
valid_1131_b_1,27.7964,0.865169
valid_1131_b_2,27.0616,0.823977
valid_1133_a_1,27.7542,0.843265
valid_1133_a_2,28.5655,0.896494
valid_1135_a_1,27.8002,0.801511
valid_1135_a_2,29.3209,0.892610
valid_113_a_1,27.5594,0.833939
valid_113_a_2,28.5987,0.894775
valid_114_a_1,25.9525,0.852785
valid_114_a_2,27.2993,0.890331
valid_114_b_1,26.5484,0.867538
valid_114_b_2,28.2268,0.902424
valid_1152_a_1,28.1066,0.895636
valid_1152_a_2,26.6596,0.865591
valid_1160_a_1,26.0970,0.810912
valid_1160_a_2,28.0760,0.869679
valid_1164_a_1,28.7521,0.869438
valid_1165_a_1,28.9669,0.889792
valid_1165_a_2,28.1157,0.853446
valid_1167_a_1,26.1196,0.853864
valid_1167_a_2,25.7664,0.833985
valid_116_a_1,27.6418,0.844807
valid_116_a_2,28.4401,0.886830
valid_1190_a_1,26.0426,0.707569
valid_1190_a_2,28.6584,0.875592
valid_1197_a_1,28.5405,0.859383
valid_1197_a_2,29.6626,0.911443
valid_1199_a_1,26.9847,0.795499
valid_1199_a_2,28.3452,0.881606
valid_1205_a_1,26.8198,0.773629
valid_1205_a_2,28.1726,0.862912
valid_1206_a_1,26.9252,0.811736
valid_1206_a_2,27.9777,0.875954
valid_1208_a_1,28.0443,0.865179
valid_1208_a_2,26.2994,0.822205
valid_1211_a_1,26.0247,0.805072
valid_1211_a_2,26.8642,0.859718
valid_1212_a_1,26.8531,0.831657
valid_1212_a_2,25.3711,0.759744
valid_1215_a_1,27.5681,0.883466
valid_1215_a_2,26.0511,0.847937
valid_1221_a_1,29.1216,0.890127
valid_1221_a_2,28.5697,0.861096
valid_1249_a_1,29.2569,0.880649
valid_1249_a_2,26.9607,0.748003
valid_1253_a_1,26.6185,0.840721
valid_1253_a_2,26.3021,0.801574
valid_1261_a_1,27.7832,0.826620
valid_1261_a_2,29.0388,0.898172
valid_1270_a_1,27.6927,0.845999
valid_1272_a_1,26.8651,0.874842
valid_1272_a_2,26.5645,0.846065
valid_1274_a_1,27.0977,0.810457
valid_1274_a_2,28.2862,0.876898
valid_1282_a_1,28.4662,0.852463
valid_1282_a_2,29.6102,0.909720
valid_1289_a_1,26.2635,0.817995
valid_12_a_1,25.7458,0.796100
valid_12_a_2,25.5867,0.764409
valid_133_a_1,28.5257,0.879783
valid_133_a_2,27.9293,0.842649
valid_141_a_1,28.3449,0.881180
valid_141_a_2,26.3126,0.829070
valid_143_a_1,24.1505,0.724441
valid_143_a_2,24.9400,0.806189
valid_145_a_1,28.2082,0.866881
valid_145_a_2,26.6435,0.821943
valid_14_a_1,23.8502,0.669500
valid_14_a_2,24.6237,0.780507
valid_151_a_1,25.9802,0.743396
valid_151_a_2,27.2753,0.846070
valid_151_b_1,27.1244,0.799405
valid_151_b_2,28.2517,0.874272
valid_151_c_1,25.6551,0.812095
valid_151_c_2,27.3486,0.870021
valid_153_a_1,24.5859,0.743515
valid_153_a_2,26.5732,0.843567
valid_155_a_1,27.3994,0.776405
valid_155_a_2,28.6343,0.861374
valid_156_a_1,27.2983,0.819713
valid_156_a_2,28.9395,0.894167
valid_159_a_1,28.2056,0.839352
valid_159_a_2,29.5038,0.906047
valid_165_a_1,25.3604,0.697338
valid_165_a_2,26.7805,0.852455
valid_167_a_1,26.6325,0.846001
valid_167_a_2,26.3165,0.824778
valid_173_a_1,26.1250,0.749053
valid_173_a_2,27.5240,0.856949
valid_175_a_1,27.7613,0.796645
valid_175_a_2,29.0302,0.882759
valid_180_a_1,26.6452,0.825811
valid_180_a_2,25.6565,0.774790
valid_180_b_1,26.7791,0.827851
valid_180_b_2,26.3290,0.785327
valid_181_a_1,26.4177,0.759914
valid_181_a_2,27.3666,0.847108
valid_18_a_1,29.8844,0.900459
valid_18_a_2,28.1795,0.854870
valid_192_a_1,27.4239,0.827554
valid_192_a_2,28.3202,0.894671
valid_1_a_1,26.9332,0.815625
valid_1_a_2,28.1263,0.884917
valid_203_a_1,27.5640,0.798102
valid_203_a_2,28.7356,0.885076
valid_210_a_1,26.4525,0.753797
valid_210_a_2,28.4774,0.854017
valid_210_b_1,27.2512,0.810103
valid_216_a_1,27.6123,0.844515
valid_216_a_2,28.7311,0.898447
valid_217_a_1,25.3278,0.744317
valid_217_a_2,26.3869,0.843990
valid_224_a_1,27.1925,0.778081
valid_224_a_2,28.9659,0.882310
valid_228_a_1,25.8515,0.760276
valid_232_a_1,27.7130,0.839612
valid_232_a_2,28.5695,0.892536
valid_234_a_1,28.8954,0.891412
valid_234_a_2,28.1173,0.852947
valid_241_a_1,27.6473,0.827597
valid_241_a_2,28.6916,0.890100
valid_248_a_1,26.7266,0.794356
valid_248_a_2,27.6776,0.867009
valid_252_a_1,28.5698,0.887149
valid_252_a_2,27.0458,0.846542
valid_253_a_1,28.4148,0.839059
valid_254_a_1,23.4167,0.807751
valid_254_a_2,23.9763,0.825454
valid_256_a_1,25.2862,0.796578
valid_256_a_2,24.3239,0.742248
valid_25_a_1,24.6733,0.766629
valid_25_a_2,26.8501,0.849729
valid_260_a_1,25.4468,0.814653
valid_260_a_2,26.5642,0.869400
valid_265_a_1,27.6034,0.875698
valid_265_a_2,27.3282,0.839856
valid_268_a_1,27.8716,0.860955
valid_268_a_2,26.2210,0.755084
valid_269_a_1,27.4212,0.819712
valid_26_a_1,26.8778,0.841165
valid_26_a_2,29.1417,0.895797
valid_270_a_1,27.1927,0.784614
valid_270_a_2,28.4091,0.873664
valid_291_a_1,25.3922,0.703850
valid_291_a_2,26.1847,0.816443
valid_293_a_1,22.6575,0.608834
valid_293_a_2,23.9244,0.789015
valid_307_a_1,28.5745,0.876686
valid_307_a_2,26.9611,0.811650
valid_314_a_1,24.0423,0.676770
valid_314_a_2,24.7250,0.792885
valid_318_a_1,28.8654,0.880413
valid_318_a_2,27.3797,0.809037
valid_319_a_1,27.2976,0.766211
valid_319_a_2,28.7080,0.866586
valid_31_a_1,26.6427,0.827621
valid_31_a_2,27.5249,0.879638
valid_320_a_1,28.1011,0.880962
valid_320_a_2,27.5299,0.857448
valid_322_a_1,25.6790,0.833066
valid_322_a_2,27.2827,0.877292
valid_325_a_1,27.5142,0.858354
valid_325_a_2,25.1212,0.782075
valid_326_a_1,28.5210,0.860733
valid_326_a_2,26.6206,0.736653
valid_327_a_1,26.9339,0.763959
valid_327_a_2,28.3245,0.858340
valid_345_a_1,27.2018,0.786788
valid_345_a_2,28.2958,0.865605
valid_352_a_1,25.4260,0.691000
valid_352_a_2,27.8678,0.858989
valid_360_a_1,26.4826,0.832670
valid_360_a_2,27.9510,0.883013
valid_361_a_1,29.4259,0.888016
valid_361_a_2,27.8656,0.842413
valid_363_a_1,26.7881,0.844162
valid_363_a_2,27.6313,0.893137
valid_366_a_1,26.9493,0.843134
valid_366_a_2,27.9037,0.900529
valid_371_a_1,27.2130,0.822543
valid_371_a_2,28.3347,0.881720
valid_374_a_1,28.3017,0.834341
valid_374_a_2,29.7809,0.910325
valid_376_a_1,26.4362,0.860305
valid_376_a_2,28.1059,0.892956
valid_381_a_1,25.3758,0.747506
valid_381_a_2,26.1956,0.829830
valid_389_a_1,26.9462,0.842017
valid_389_a_2,27.8152,0.884670
valid_389_b_1,26.0033,0.782605
valid_389_b_2,26.8432,0.844419
valid_391_a_1,24.5212,0.718734
valid_391_a_2,24.9712,0.812954
valid_393_a_1,25.6460,0.749018
valid_393_a_2,27.2272,0.856640
valid_398_a_1,27.1432,0.818460
valid_39_a_1,29.1819,0.904319
valid_39_a_2,27.7020,0.848537
valid_400_a_1,29.2461,0.891062
valid_400_a_2,27.5704,0.852649
valid_40_a_1,26.0258,0.760098
valid_40_a_2,26.7891,0.849589
valid_410_a_1,26.1573,0.853290
valid_410_a_2,25.8708,0.835371
valid_410_b_1,24.5395,0.809085
valid_410_b_2,25.8853,0.845813
valid_410_c_1,25.6799,0.816116
valid_410_c_2,26.9477,0.853193
valid_412_a_1,25.9646,0.743566
valid_412_a_2,27.1273,0.846478
valid_426_a_1,28.6247,0.850149
valid_426_a_2,30.0128,0.910391
valid_430_a_1,29.4491,0.889956
valid_430_a_2,27.7015,0.798296
valid_433_a_1,27.9885,0.855187
valid_433_a_2,26.9711,0.809945
valid_438_a_1,28.7990,0.850692
valid_438_a_2,29.8567,0.905285
valid_440_a_1,27.1123,0.869861
valid_442_a_1,28.4379,0.864390
valid_442_a_2,27.7859,0.818916
valid_448_a_1,28.4996,0.873303
valid_448_a_2,27.5800,0.818298
valid_456_a_1,29.2096,0.885130
valid_456_a_2,28.6689,0.833253
valid_456_b_1,24.5445,0.806483
valid_456_b_2,24.7438,0.796757
valid_45_a_1,25.8631,0.787760
valid_45_a_2,28.0794,0.875960
valid_489_a_1,24.7351,0.767761
valid_489_a_2,25.3806,0.814322
valid_491_a_1,27.9256,0.865141
valid_491_a_2,27.1925,0.816311
valid_493_a_1,24.8716,0.791130
valid_493_a_2,25.6042,0.810008
valid_493_b_1,24.4129,0.780216
valid_493_b_2,26.1837,0.840621
valid_493_c_1,24.6852,0.792043
valid_493_c_2,26.1134,0.843117
valid_495_a_1,25.6076,0.722812
valid_495_a_2,26.7393,0.839907
valid_496_a_1,29.1663,0.906436
valid_496_a_2,28.6363,0.877994
valid_502_a_1,25.6120,0.816194
valid_502_a_2,27.1904,0.866330
valid_505_a_1,27.5834,0.778713
valid_505_a_2,29.0514,0.883244
valid_508_a_1,28.9927,0.893646
valid_515_a_1,27.9948,0.818277
valid_515_a_2,29.2990,0.891736
valid_519_a_1,26.4870,0.741310
valid_519_a_2,27.8484,0.847426
valid_524_a_1,27.2022,0.834969
valid_524_a_2,28.3281,0.894317
valid_535_a_1,27.4325,0.785603
valid_535_a_2,28.8307,0.881933
valid_535_b_1,27.7164,0.828308
valid_535_c_1,26.5913,0.856495
valid_535_c_2,26.1459,0.811633
valid_539_a_1,26.3337,0.827404
valid_539_a_2,28.2481,0.869983
valid_53_a_1,26.7054,0.767905
valid_53_a_2,28.1143,0.873355
valid_53_b_1,26.9152,0.747139
valid_53_b_2,28.4614,0.860089
valid_54_a_1,24.9163,0.777847
valid_54_a_2,27.0740,0.865576
valid_555_a_1,25.7624,0.723144
valid_555_a_2,26.9824,0.827583
valid_558_a_1,27.8781,0.854525
valid_558_a_2,27.0534,0.807660
valid_560_a_1,27.8549,0.851672
valid_560_a_2,27.2588,0.800840
valid_567_a_1,28.1374,0.867921
valid_567_a_2,27.5746,0.842751
valid_569_a_1,28.3366,0.870485
valid_569_a_2,26.8628,0.820360
valid_569_b_1,25.1512,0.923881
valid_569_b_2,25.0643,0.921523
