ct_path,psnr_db,ssim
valid_1007_a_1,27.9071,0.852409
valid_1007_a_2,30.3561,0.907995
valid_1010_a_1,29.0002,0.829912
valid_1010_a_2,30.5153,0.891615
valid_1016_a_1,28.4053,0.848099
valid_1016_a_2,30.5409,0.900961
valid_1016_b_1,28.4587,0.862107
valid_1016_b_2,30.4237,0.908151
valid_1016_c_1,29.9247,0.894740
valid_1016_c_2,29.3154,0.870512
valid_1016_d_1,30.2133,0.910341
valid_1016_d_2,29.5069,0.888999
valid_1016_e_1,29.4996,0.907016
valid_1016_e_2,28.8814,0.886613
valid_1016_f_1,29.7486,0.909100
valid_1016_f_2,29.2622,0.887265
valid_1017_a_1,30.2294,0.893405
valid_1020_a_1,29.9117,0.890570
valid_1020_a_2,31.4489,0.929215
valid_1025_a_1,28.8999,0.826837
valid_1025_a_2,30.8130,0.915480
valid_1025_b_1,29.6192,0.893205
valid_1025_b_2,28.8070,0.854010
valid_1025_c_1,27.2402,0.848042
valid_1025_c_2,29.6893,0.905764
valid_1030_a_1,28.4539,0.844406
valid_1030_a_2,30.1904,0.907773
valid_1037_a_1,29.4114,0.862262
valid_1037_a_2,31.8058,0.936641
valid_1039_a_1,29.8343,0.885754
valid_1040_a_1,30.2110,0.897199
valid_1040_a_2,29.1219,0.857348
valid_1044_a_1,29.4416,0.848606
valid_1044_a_2,31.4059,0.924545
valid_1046_a_1,28.1083,0.841575
valid_1046_a_2,30.8892,0.910314
valid_1052_a_1,30.2456,0.861656
valid_1058_a_1,29.7784,0.847974
valid_1058_a_2,31.7362,0.926532
valid_1060_a_1,28.5183,0.846504
valid_1060_a_2,28.1320,0.818303
valid_1068_a_1,29.3335,0.837653
valid_1068_a_2,31.2620,0.915034
valid_1070_a_1,30.3764,0.909442
valid_1070_a_2,29.5578,0.868732
valid_1072_a_1,29.5412,0.855140
valid_1073_a_1,29.9887,0.917370
valid_1076_a_1,26.4543,0.716843
valid_1076_a_2,27.7937,0.839066
valid_1089_a_1,29.2072,0.833551
valid_1089_a_2,31.2661,0.913339
valid_1098_a_1,27.3855,0.841539
valid_1098_a_2,28.2664,0.887618
valid_1099_a_1,28.8186,0.806430
valid_1099_a_2,30.8811,0.904488
valid_1102_a_1,28.1893,0.809585
valid_1102_a_2,29.8575,0.890053
valid_1109_a_1,30.8990,0.919110
valid_1109_a_2,28.5748,0.884128
