ct_path,psnr_db,ssim
valid_1007_a_1,24.2119,0.752372
valid_1007_a_2,25.7884,0.812917
valid_1010_a_1,24.9565,0.731057
valid_1010_a_2,25.5390,0.789324
valid_1016_a_1,25.0659,0.755585
valid_1016_a_2,26.2923,0.814010
valid_1016_b_1,25.2920,0.774804
valid_1016_b_2,26.3593,0.823243
valid_1016_c_1,25.8245,0.799571
valid_1016_c_2,25.5188,0.779628
valid_1016_d_1,25.7988,0.812773
valid_1016_d_2,25.3998,0.799416
valid_1016_e_1,25.4921,0.811150
valid_1016_e_2,25.0612,0.795843
valid_1016_f_1,25.8210,0.817501
valid_1016_f_2,25.6308,0.802456
valid_1017_a_1,25.9025,0.800870
valid_1020_a_1,25.6450,0.798979
valid_1020_a_2,26.2022,0.826021
valid_1025_a_1,24.9770,0.733091
valid_1025_a_2,25.8258,0.819878
valid_1025_b_1,25.1239,0.790187
valid_1025_b_2,24.6908,0.757925
valid_1025_c_1,23.6165,0.749482
valid_1025_c_2,25.2778,0.805981
valid_1030_a_1,24.7523,0.755118
valid_1030_a_2,25.6060,0.814759
valid_1037_a_1,25.1955,0.769078
valid_1037_a_2,25.9850,0.837506
valid_1039_a_1,25.4312,0.784916
valid_1040_a_1,25.3097,0.789015
valid_1040_a_2,24.8286,0.756278
valid_1044_a_1,25.3136,0.753887
valid_1044_a_2,26.1848,0.826239
valid_1046_a_1,24.2217,0.745228
valid_1046_a_2,26.0170,0.821172
valid_1052_a_1,25.9656,0.768564
valid_1058_a_1,25.7830,0.757288
valid_1058_a_2,26.5610,0.839908
valid_1060_a_1,25.1034,0.757053
valid_1060_a_2,24.9098,0.731823
valid_1068_a_1,25.3295,0.743274
valid_1068_a_2,26.3250,0.820350
valid_1070_a_1,25.3449,0.811995
valid_1070_a_2,25.0590,0.775831
valid_1072_a_1,25.6000,0.755857
valid_1073_a_1,24.6937,0.805312
valid_1076_a_1,22.5454,0.606995
valid_1076_a_2,23.5447,0.721752
valid_1089_a_1,25.0770,0.743735
valid_1089_a_2,26.0280,0.816977
valid_1098_a_1,24.0217,0.744260
valid_1098_a_2,24.4493,0.784434
valid_1099_a_1,25.1186,0.718892
valid_1099_a_2,26.1199,0.810514
valid_1102_a_1,24.6774,0.719608
valid_1102_a_2,25.4315,0.790016
valid_1109_a_1,25.5599,0.803248
valid_1109_a_2,24.0737,0.752755
valid_1112_a_1,25.3201,0.871216
valid_1112_a_2,25.4451,0.871440
valid_1112_a_3,24.5202,0.739983
valid_1112_a_4,24.8977,0.870965
valid_1112_a_5,25.1152,0.808501
valid_1114_a_1,26.2636,0.827264
valid_1114_a_2,24.9389,0.771633
valid_1115_a_1,25.7249,0.777672
valid_1116_a_1,23.7255,0.621202
valid_1116_a_2,24.7878,0.765505
valid_1118_a_1,23.5370,0.751265
valid_1118_a_2,25.3651,0.831100
valid_1119_a_1,25.0294,0.807953
valid_1119_a_2,24.7904,0.787180
valid_1122_a_1,25.2427,0.749802
valid_1122_a_2,25.9368,0.809933
valid_1124_a_1,23.6290,0.743634
valid_1124_a_2,23.1833,0.708494
valid_1126_a_1,25.4781,0.788020
valid_1126_a_2,23.6902,0.602709
valid_1126_b_1,22.5977,0.728584
valid_1126_b_2,23.6567,0.788645
valid_1126_c_1,23.4273,0.731954
valid_1126_c_2,24.5129,0.793012
valid_1127_a_1,24.9234,0.689908
valid_1127_a_2,25.4428,0.787788
valid_112_a_1,24.0138,0.731017
valid_112_a_2,24.8375,0.801018
valid_1131_a_1,23.9359,0.652185
valid_1131_a_2,24.7729,0.768268
