ct_path,psnr_db,ssim
valid_1007_a_1,26.8197,0.824634
valid_1007_a_2,28.9334,0.876076
valid_1010_a_1,26.8366,0.774030
valid_1010_a_2,27.5669,0.815017
valid_1016_a_1,27.6559,0.811660
valid_1016_a_2,28.9756,0.853192
valid_1016_b_1,27.5784,0.827653
valid_1016_b_2,28.7123,0.866136
valid_1016_c_1,28.8840,0.866947
valid_1016_c_2,28.4235,0.845323
valid_1016_d_1,28.7506,0.878650
valid_1016_d_2,28.1526,0.860064
valid_1016_e_1,28.4623,0.880454
valid_1016_e_2,27.8004,0.857158
valid_1016_f_1,28.3193,0.875515
valid_1016_f_2,28.0513,0.855070
valid_1017_a_1,28.0261,0.841602
valid_1020_a_1,28.1439,0.852280
valid_1020_a_2,28.8635,0.888565
valid_1025_a_1,27.8703,0.787456
valid_1025_a_2,29.0187,0.866339
valid_1025_b_1,28.4208,0.850263
valid_1025_b_2,27.8619,0.819772
valid_1025_c_1,26.2209,0.807872
valid_1025_c_2,28.2767,0.862609
valid_1030_a_1,26.8447,0.800427
valid_1030_a_2,27.8705,0.851742
valid_1037_a_1,27.1607,0.808718
valid_1037_a_2,27.7242,0.878117
valid_1039_a_1,28.3438,0.844687
valid_1040_a_1,28.9843,0.838083
valid_1040_a_2,28.0835,0.794732
valid_1044_a_1,28.0782,0.812037
valid_1044_a_2,29.3374,0.889807
valid_1046_a_1,26.5108,0.804713
valid_1046_a_2,28.7134,0.869883
valid_1052_a_1,27.4391,0.796467
valid_1058_a_1,27.7350,0.804795
valid_1058_a_2,29.0024,0.885779
valid_1060_a_1,27.6308,0.807932
valid_1060_a_2,27.3403,0.788692
valid_1068_a_1,28.3890,0.807457
valid_1068_a_2,29.6943,0.885240
valid_1070_a_1,27.8274,0.851657
valid_1070_a_2,27.4790,0.819256
valid_1072_a_1,27.4778,0.802973
valid_1073_a_1,26.0745,0.839418
valid_1076_a_1,23.1324,0.652003
valid_1076_a_2,24.1567,0.754318
valid_1089_a_1,27.9190,0.791801
valid_1089_a_2,29.1446,0.853722
valid_1098_a_1,25.8684,0.800967
