ct_path,psnr_db,ssim
valid_1007_a_1,24.4841,0.779493
valid_1007_a_2,25.8190,0.834621
valid_1010_a_1,24.6185,0.749351
valid_1010_a_2,24.9883,0.794795
valid_1016_a_1,25.2907,0.782798
valid_1016_a_2,26.1705,0.829559
valid_1016_b_1,25.4168,0.789395
valid_1016_b_2,26.2197,0.828257
valid_1016_c_1,25.9264,0.806411
valid_1016_c_2,25.7684,0.788018
valid_1016_d_1,25.9634,0.798814
valid_1016_d_2,25.7530,0.788750
valid_1016_e_1,25.4988,0.773204
valid_1016_e_2,25.3473,0.761875
valid_1016_f_1,25.8058,0.767041
valid_1016_f_2,25.6894,0.750293
valid_1017_a_1,25.7616,0.817625
valid_1020_a_1,25.6231,0.796288
valid_1020_a_2,26.0599,0.826571
valid_1025_a_1,24.7882,0.748358
valid_1025_a_2,26.0258,0.843199
valid_1025_b_1,25.5384,0.818573
valid_1025_b_2,25.2800,0.790897
valid_1025_c_1,24.0470,0.770152
valid_1025_c_2,25.4714,0.823032
valid_1030_a_1,24.8136,0.780833
valid_1030_a_2,25.4730,0.828073
valid_1037_a_1,24.7605,0.752924
valid_1037_a_2,24.6782,0.801213
valid_1039_a_1,25.3538,0.796352
valid_1040_a_1,25.8539,0.804787
valid_1040_a_2,25.3830,0.772781
valid_1044_a_1,25.2820,0.769831
valid_1044_a_2,26.1198,0.843925
valid_1046_a_1,24.3014,0.741809
valid_1046_a_2,25.8287,0.802628
valid_1052_a_1,24.6647,0.768293
valid_1058_a_1,25.1428,0.689241
valid_1058_a_2,25.7958,0.768414
valid_1060_a_1,24.8220,0.777395
valid_1060_a_2,24.6378,0.756277
valid_1068_a_1,25.3492,0.751420
valid_1068_a_2,26.2313,0.830902
valid_1070_a_1,25.2808,0.798467
valid_1070_a_2,24.4695,0.759921
valid_1072_a_1,24.1703,0.761059
valid_1073_a_1,24.2958,0.793399
valid_1076_a_1,22.2548,0.639225
valid_1076_a_2,22.9600,0.733329
valid_1089_a_1,25.0813,0.765400
valid_1089_a_2,25.7159,0.828121
valid_1098_a_1,24.1869,0.741189
valid_1098_a_2,24.5704,0.780625
valid_1099_a_1,24.1815,0.730251
valid_1099_a_2,25.7829,0.825333
valid_1102_a_1,24.7942,0.737106
valid_1102_a_2,25.4168,0.804578
valid_1109_a_1,25.2776,0.769297
valid_1109_a_2,24.2423,0.734157
valid_1112_a_1,17.1222,0.568783
valid_1112_a_2,17.1965,0.574454
valid_1112_a_3,24.2973,0.753960
valid_1112_a_4,17.1422,0.574553
valid_1112_a_5,24.8085,0.811601
valid_1114_a_1,25.9255,0.816464
valid_1114_a_2,24.8423,0.764151
valid_1115_a_1,25.7356,0.804795
valid_1116_a_1,22.5435,0.623230
valid_1116_a_2,23.8357,0.766510
valid_1118_a_1,23.4596,0.728272
valid_1118_a_2,21.2496,0.610234
valid_1119_a_1,25.0822,0.792750
valid_1119_a_2,24.7908,0.775160
