ct_path,psnr_db,ssim
liver_139,22.0958,0.659478
hepaticvessel_182,25.1097,0.778650
colon_209,22.4274,0.696305
pancreas_237,24.1265,0.779045
pancreas_352,25.6602,0.784619
pancreas_042,25.3311,0.790596
liver_63,23.8921,0.749772
pancreas_273,25.7067,0.812328
lung_048,22.8010,0.658707
spleen_61,23.7604,0.719281
hepaticvessel_026,25.5494,0.807392
pancreas_004,25.0999,0.793093
colon_039,24.0369,0.791635
pancreas_006,25.7056,0.805802
pancreas_284,25.4978,0.733466
colon_118,22.8399,0.614821
lung_081,21.6165,0.648629
colon_037,23.1175,0.686398
colon_157,23.8971,0.673736
lung_079,20.4651,0.609330
pancreas_105,23.6538,0.650129
pancreas_335,24.6368,0.783664
hepaticvessel_359,25.6729,0.813569
hepaticvessel_400,25.2324,0.691106
hepaticvessel_181,22.9906,0.755521
pancreas_345,25.6322,0.713858
pancreas_044,25.3380,0.783095
pancreas_092,22.6128,0.670924
pancreas_391,25.2939,0.771799
pancreas_037,25.3631,0.686979
lung_024,23.0065,0.697039
hepaticvessel_318,25.5675,0.739745
hepaticvessel_196,25.8198,0.788207
hepaticvessel_228,25.6905,0.689215
hepaticvessel_384,25.9353,0.821435
pancreas_188,25.2159,0.738487
colon_011,23.3100,0.753988
lung_017,21.8303,0.642585
hepaticvessel_001,25.2422,0.786665
hepaticvessel_055,25.3788,0.687336
lung_061,22.3282,0.698248
lung_006,19.7870,0.622903
pancreas_226,24.7826,0.800974
hepaticvessel_195,25.7439,0.705338
pancreas_080,25.8711,0.820642
pancreas_223,24.5760,0.795429
hepaticvessel_180,24.0356,0.799225
colon_019,24.0339,0.784719
colon_025,24.3416,0.765621
pancreas_033,23.7793,0.703607
hepaticvessel_185,23.3582,0.761427
colon_155,22.9228,0.633177
hepaticvessel_192,24.5656,0.726739
pancreas_325,26.3397,0.824615
hepaticvessel_160,25.8641,0.699054
colon_168,24.5111,0.785786
hepaticvessel_395,25.6439,0.784050
hepaticvessel_019,25.2466,0.750276
pancreas_283,24.5684,0.806989
hepaticvessel_431,26.1766,0.808739
pancreas_121,25.2489,0.761028
pancreas_269,24.8279,0.795440
hepaticvessel_349,25.9028,0.806668
pancreas_028,25.5643,0.691411
pancreas_057,25.4831,0.705846
hepaticvessel_234,25.3839,0.786457
colon_217,22.1731,0.599960
colon_127,22.7392,0.678575
hepaticvessel_047,25.5889,0.680295
spleen_49,23.6194,0.757853
pancreas_256,25.3744,0.768964
