ct_path,psnr_db,ssim
liver_139,27.0943,0.757989
hepaticvessel_182,30.6350,0.897498
colon_209,26.4081,0.808720
pancreas_237,29.3755,0.875346
pancreas_352,29.7695,0.903102
pancreas_042,29.1038,0.867336
liver_63,28.8956,0.853094
pancreas_273,30.2014,0.887718
lung_048,25.7229,0.776669
spleen_61,27.1987,0.808899
hepaticvessel_026,30.4890,0.882892
pancreas_004,29.0001,0.861265
colon_039,28.8438,0.875552
pancreas_006,29.9897,0.878751
pancreas_284,30.2468,0.901078
colon_118,26.1124,0.714874
lung_081,25.1839,0.768996
colon_037,27.1790,0.800972
colon_157,26.5324,0.879432
lung_079,23.7765,0.740170
pancreas_105,27.2566,0.735025
pancreas_335,28.2801,0.868092
hepaticvessel_359,30.2737,0.904841
hepaticvessel_400,31.0117,0.910673
hepaticvessel_181,26.1564,0.845286
pancreas_345,30.3173,0.889812
pancreas_044,30.5710,0.898936
pancreas_092,26.4768,0.781766
pancreas_391,30.4414,0.887620
pancreas_037,31.4177,0.929985
lung_024,26.2696,0.796696
hepaticvessel_318,30.3113,0.889874
hepaticvessel_196,30.0837,0.900168
hepaticvessel_228,31.2336,0.901491
hepaticvessel_384,30.6311,0.897087
pancreas_188,29.5754,0.902802
colon_011,28.1768,0.860839
lung_017,25.0229,0.770617
hepaticvessel_001,30.5462,0.885281
hepaticvessel_055,30.0702,0.890824
lung_061,25.2068,0.796639
lung_006,23.9355,0.746745
pancreas_226,29.4758,0.887230
hepaticvessel_195,30.7024,0.914956
pancreas_080,30.0385,0.891039
pancreas_223,28.5780,0.868882
hepaticvessel_180,27.4639,0.879082
colon_019,28.8923,0.866785
colon_025,27.9254,0.839749
pancreas_033,27.9546,0.804171
hepaticvessel_185,27.3365,0.872319
colon_155,26.4496,0.723171
hepaticvessel_192,28.3869,0.884975
pancreas_325,30.1834,0.899527
hepaticvessel_160,31.7164,0.916513
colon_168,28.2608,0.862245
hepaticvessel_395,30.3515,0.867355
hepaticvessel_019,30.1396,0.859458
pancreas_283,28.5026,0.879594
hepaticvessel_431,31.3926,0.889450
pancreas_121,29.9196,0.868278
pancreas_269,29.6859,0.871870
hepaticvessel_349,30.7976,0.908416
pancreas_028,30.3966,0.891936
pancreas_057,29.7982,0.864382
hepaticvessel_234,30.5407,0.878822
colon_217,26.2176,0.738371
colon_127,25.7452,0.788738
hepaticvessel_047,31.8209,0.908307
spleen_49,27.1823,0.845720
pancreas_256,29.9613,0.896539
pancreas_016,29.8005,0.893301
pancreas_170,30.0554,0.877537
hepaticvessel_282,30.1809,0.902374
colon_112,26.2569,0.776312
colon_192,26.8949,0.756710
hepaticvessel_110,29.9564,0.879593
liver_17,27.9935,0.801186
colon_200,28.1039,0.881324
liver_76,28.8163,0.828027
liver_130,25.6902,0.760939
pancreas_349,29.1447,0.880556
hepaticvessel_214,28.5668,0.884733
lung_093,25.1565,0.775566
lung_013,26.0917,0.769399
colon_148,27.0585,0.783757
colon_060,29.9479,0.886416
liver_19,26.6725,0.752689
colon_083,27.7882,0.783049
hepaticvessel_284,30.8150,0.896999
spleen_40,26.6827,0.750262
hepaticvessel_003,30.8452,0.909732
liver_112,25.6073,0.802349
colon_119,27.1135,0.780976
pancreas_212,26.4421,0.849831
pancreas_209,28.0296,0.870381
pancreas_036,31.3606,0.908631
liver_75,27.3556,0.762666
hepaticvessel_406,31.0875,0.891696
colon_179,25.8170,0.759695
hepaticvessel_122,28.9212,0.860371
lung_083,25.3108,0.792299
liver_18,27.2665,0.756352
pancreas_252,29.5105,0.891030
pancreas_136,30.0399,0.885937
liver_24,26.8959,0.768912
pancreas_257,30.7878,0.907743
pancreas_262,30.8491,0.896557
pancreas_337,29.5866,0.894114
hepaticvessel_200,31.3253,0.946747
hepaticvessel_199,30.2559,0.904132
hepaticvessel_279,30.7004,0.885468
colon_214,29.6482,0.864625
hepaticvessel_127,26.9272,0.770340
hepaticvessel_251,31.0582,0.910052
colon_147,27.4569,0.775478
pancreas_030,26.8222,0.784207
pancreas_086,29.5759,0.917790
pancreas_151,24.6020,0.726170
hepaticvessel_455,26.8547,0.857575
hepaticvessel_315,30.5132,0.914023
lung_066,24.8667,0.782682
pancreas_045,31.2857,0.903114
hepaticvessel_126,26.0389,0.760088
hepaticvessel_161,31.6235,0.929985
pancreas_110,28.9755,0.881012
pancreas_243,30.3696,0.893631
hepaticvessel_438,30.0522,0.889299
colon_005,26.7034,0.832215
colon_156,25.0455,0.791002
pancreas_194,29.2952,0.882522
hepaticvessel_425,30.9115,0.912274
hepaticvessel_380,29.4515,0.883155
colon_070,28.1056,0.857062
pancreas_347,28.3656,0.866184
pancreas_009,28.6255,0.889553
hepaticvessel_025,28.7452,0.868547
hepaticvessel_444,29.9762,0.913998
lung_041,24.3188,0.772583
pancreas_416,25.4519,0.758724
hepaticvessel_460,29.6949,0.894268
hepaticvessel_297,30.4477,0.869035
liver_118,25.6761,0.746512
pancreas_249,26.7442,0.828783
lung_068,24.6551,0.762264
pancreas_314,28.8281,0.860402
pancreas_091,29.9389,0.906810
liver_178,25.7691,0.723150
pancreas_350,30.1970,0.894657
pancreas_064,30.0188,0.879322
lung_036,24.1559,0.736059
colon_126,26.5120,0.817040
liver_174,26.9351,0.817256
hepaticvessel_441,30.6560,0.896702
pancreas_346,28.8449,0.861474
colon_038,29.6143,0.898978
pancreas_401,28.2740,0.845131
colon_010,27.5345,0.820055
colon_133,28.6289,0.819950
liver_103,25.6275,0.740489
hepaticvessel_243,29.6498,0.912926
pancreas_342,29.4745,0.858397
pancreas_060,30.6724,0.908646
colon_186,25.8871,0.780941
pancreas_330,30.4858,0.887065
pancreas_227,28.8096,0.882263
hepaticvessel_210,30.4004,0.884055
colon_059,29.2590,0.864190
pancreas_038,29.8889,0.896951
colon_069,27.5353,0.801467
pancreas_128,30.0887,0.904586
hepaticvessel_348,30.8129,0.920664
liver_166,24.6229,0.768254
hepaticvessel_170,28.9657,0.828494
hepaticvessel_388,28.6950,0.877464
liver_59,27.1854,0.755591
hepaticvessel_368,29.6497,0.902175
pancreas_308,27.9035,0.847225
hepaticvessel_050,30.1740,0.905944
pancreas_076,30.2598,0.894753
liver_113,25.1372,0.750788
hepaticvessel_448,30.7934,0.897724
hepaticvessel_178,29.4252,0.874009
pancreas_070,29.0648,0.870858
pancreas_371,27.3411,0.842957
colon_207,25.8147,0.733150
liver_32,26.0703,0.868325
pancreas_229,26.8940,0.868415
pancreas_405,29.3680,0.877520
liver_159,26.9193,0.768534
hepaticvessel_215,28.6048,0.866279
pancreas_310,30.5869,0.904176
hepaticvessel_397,28.6395,0.858057
colon_117,25.1463,0.715124
pancreas_124,28.6485,0.871533
lung_040,23.8086,0.724985
pancreas_329,27.9056,0.882329
pancreas_236,27.1259,0.880732
liver_121,25.1107,0.697189
lung_015,23.4628,0.725779
hepaticvessel_032,28.3551,0.855655
hepaticvessel_386,31.2963,0.926320
pancreas_179,30.2685,0.890116
pancreas_413,30.1505,0.891952
colon_134,25.9551,0.742240
hepaticvessel_187,29.8981,0.882923
colon_048,26.0683,0.765970
pancreas_214,29.0443,0.860393
hepaticvessel_084,27.9942,0.856727
