ct_path,psnr_db,ssim
liver_139,29.7973,0.869535
hepaticvessel_182,32.2618,0.907919
colon_209,28.3344,0.817064
pancreas_237,31.0681,0.874517
pancreas_352,31.0893,0.880476
pancreas_042,30.9154,0.882879
liver_63,30.7554,0.857014
pancreas_273,31.8349,0.885907
lung_048,27.5595,0.820278
spleen_61,28.2857,0.836821
hepaticvessel_026,32.0908,0.893617
pancreas_004,30.5240,0.869687
colon_039,30.7551,0.875037
pancreas_006,31.7618,0.882501
pancreas_284,32.1047,0.892076
colon_118,28.4691,0.842759
lung_081,26.6186,0.794332
colon_037,28.7422,0.834627
colon_157,27.7849,0.877191
lung_079,25.3288,0.769361
pancreas_105,30.5548,0.877929
pancreas_335,30.8543,0.871882
hepaticvessel_359,31.9863,0.907912
hepaticvessel_400,32.3853,0.901762
hepaticvessel_181,27.1788,0.861526
pancreas_345,31.6575,0.895911
pancreas_044,31.8530,0.882383
pancreas_092,29.2910,0.852502
pancreas_391,32.1182,0.900830
pancreas_037,33.7130,0.892256
lung_024,27.6003,0.822270
hepaticvessel_318,31.7220,0.899292
hepaticvessel_196,31.7586,0.895108
hepaticvessel_228,33.5489,0.908536
hepaticvessel_384,32.2573,0.888438
pancreas_188,30.8828,0.880636
colon_011,30.2237,0.883996
lung_017,26.8948,0.821206
hepaticvessel_001,32.6999,0.910353
hepaticvessel_055,31.8723,0.899752
lung_061,26.1867,0.795473
lung_006,27.5405,0.813539
pancreas_226,31.6228,0.892847
hepaticvessel_195,32.6369,0.900857
pancreas_080,31.9034,0.886739
pancreas_223,30.8431,0.876829
hepaticvessel_180,28.1495,0.870091
colon_019,31.0958,0.876205
colon_025,29.6862,0.855827
pancreas_033,29.2143,0.846599
hepaticvessel_185,28.4631,0.882712
colon_155,28.1166,0.853380
hepaticvessel_192,30.4123,0.874557
pancreas_325,32.5799,0.892469
hepaticvessel_160,33.8646,0.896495
colon_168,30.0425,0.861606
hepaticvessel_395,32.5731,0.907653
hepaticvessel_019,32.8078,0.910465
pancreas_283,29.6082,0.883118
hepaticvessel_431,33.4150,0.910723
pancreas_121,31.7106,0.904197
pancreas_269,31.1209,0.883640
hepaticvessel_349,33.0816,0.902075
pancreas_028,32.5390,0.904205
pancreas_057,31.4405,0.885650
hepaticvessel_234,32.1428,0.894832
colon_217,27.7689,0.868611
colon_127,27.3651,0.834212
hepaticvessel_047,34.5522,0.914051
spleen_49,29.0412,0.866065
pancreas_256,32.2200,0.903257
pancreas_016,31.2417,0.884041
pancreas_170,32.2406,0.890305
hepaticvessel_282,32.0984,0.900359
colon_112,28.2720,0.850523
colon_192,28.8169,0.862931
hepaticvessel_110,31.7982,0.896310
liver_17,28.8287,0.834031
colon_200,29.6428,0.880686
liver_76,30.5976,0.862632
liver_130,27.3310,0.841639
pancreas_349,30.4459,0.880585
hepaticvessel_214,29.8680,0.877100
lung_093,26.4357,0.772490
lung_013,27.9954,0.845930
colon_148,29.3785,0.867311
colon_060,32.3087,0.910431
liver_19,29.6443,0.840550
colon_083,29.9258,0.873178
hepaticvessel_284,33.3220,0.918155
spleen_40,28.3897,0.855870
hepaticvessel_003,32.8081,0.901313
liver_112,27.3713,0.820651
colon_119,30.6059,0.859672
pancreas_212,27.2502,0.834722
pancreas_209,30.0825,0.866385
pancreas_036,32.7501,0.898716
liver_75,28.7848,0.861859
hepaticvessel_406,33.2555,0.904831
colon_179,28.5120,0.837806
hepaticvessel_122,30.3572,0.884453
lung_083,26.8234,0.818923
liver_18,28.3901,0.843683
pancreas_252,31.5698,0.881779
pancreas_136,31.3332,0.900250
liver_24,28.3602,0.842346
pancreas_257,33.0085,0.903419
pancreas_262,33.8732,0.909225
pancreas_337,30.6802,0.875810
hepaticvessel_200,33.1856,0.903919
hepaticvessel_199,32.0769,0.887468
hepaticvessel_279,32.5150,0.888429
colon_214,32.4591,0.908959
hepaticvessel_127,29.6720,0.875029
hepaticvessel_251,31.9064,0.893922
colon_147,29.7318,0.869215
pancreas_030,28.2275,0.858757
pancreas_086,32.4009,0.892486
pancreas_151,26.4329,0.809087
hepaticvessel_455,30.8949,0.869514
hepaticvessel_315,32.8903,0.898332
lung_066,26.8129,0.808968
pancreas_045,32.8277,0.904259
hepaticvessel_126,27.5939,0.808030
hepaticvessel_161,33.7214,0.910469
pancreas_110,31.0727,0.886908
pancreas_243,32.2801,0.895812
hepaticvessel_438,31.5541,0.885965
colon_005,29.3016,0.874683
colon_156,27.2836,0.842405
pancreas_194,30.4160,0.883386
hepaticvessel_425,33.0617,0.894163
hepaticvessel_380,30.9286,0.881228
colon_070,29.9457,0.853131
pancreas_347,29.5436,0.886709
pancreas_009,29.5034,0.879051
hepaticvessel_025,30.3238,0.877144
hepaticvessel_444,31.1824,0.893007
lung_041,25.9322,0.782638
pancreas_416,26.6550,0.831748
hepaticvessel_460,31.1242,0.890363
hepaticvessel_297,32.2204,0.910367
liver_118,29.2027,0.849048
pancreas_249,28.5525,0.856608
lung_068,25.7012,0.780418
pancreas_314,29.7765,0.847178
pancreas_091,31.1300,0.886098
liver_178,27.8961,0.862042
pancreas_350,31.6298,0.882760
pancreas_064,31.9110,0.890717
lung_036,25.2900,0.747897
colon_126,28.1451,0.787820
liver_174,29.5777,0.861358
hepaticvessel_441,32.4215,0.894275
pancreas_346,30.2625,0.875332
colon_038,31.6484,0.897733
pancreas_401,30.1602,0.853018
colon_010,30.6343,0.885457
colon_133,30.7635,0.877783
liver_103,26.9867,0.795885
hepaticvessel_243,32.9955,0.894981
pancreas_342,30.7028,0.877724
pancreas_060,32.2061,0.887347
colon_186,29.1041,0.806052
pancreas_330,31.6002,0.885557
pancreas_227,31.5764,0.881697
hepaticvessel_210,31.0814,0.875343
colon_059,30.3549,0.887637
pancreas_038,31.8252,0.889907
colon_069,29.1848,0.865864
pancreas_128,31.4617,0.879020
hepaticvessel_348,33.2847,0.898833
liver_166,25.2884,0.802323
hepaticvessel_170,30.1870,0.881359
hepaticvessel_388,29.6738,0.890937
liver_59,29.1926,0.843156
hepaticvessel_368,30.8931,0.882921
pancreas_308,30.0330,0.871349
hepaticvessel_050,31.9533,0.899078
pancreas_076,32.4604,0.897503
liver_113,27.3058,0.802237
hepaticvessel_448,32.5068,0.886736
hepaticvessel_178,31.4066,0.904980
pancreas_070,30.5553,0.877191
pancreas_371,28.4710,0.864797
colon_207,28.8994,0.856365
liver_32,29.1940,0.855786
pancreas_229,28.9977,0.856275
pancreas_405,31.0710,0.899193
liver_159,28.7366,0.837308
hepaticvessel_215,30.0232,0.889084
pancreas_310,32.0231,0.903765
hepaticvessel_397,29.9981,0.875187
