ct_path,psnr_db,ssim
liver_139,26.8306,0.757909
hepaticvessel_182,29.8956,0.905368
colon_209,27.0916,0.816871
pancreas_237,29.5019,0.878197
pancreas_352,29.7269,0.912729
pancreas_042,29.3712,0.870737
liver_63,28.8238,0.858852
pancreas_273,30.2492,0.896074
lung_048,25.3172,0.758565
spleen_61,28.0037,0.820398
hepaticvessel_026,30.3174,0.887459
pancreas_004,29.4761,0.876469
colon_039,28.9951,0.887262
pancreas_006,30.0027,0.886406
pancreas_284,29.6597,0.903246
colon_118,26.6961,0.734335
lung_081,24.5103,0.755457
colon_037,27.7488,0.821659
colon_157,26.2000,0.859213
lung_079,23.5607,0.726213
pancreas_105,27.9669,0.758996
pancreas_335,28.1152,0.876851
hepaticvessel_359,29.4741,0.904647
hepaticvessel_400,30.0599,0.915820
hepaticvessel_181,26.0665,0.841106
pancreas_345,29.9576,0.892699
pancreas_044,29.8240,0.901594
pancreas_092,27.0149,0.791244
pancreas_391,29.9912,0.873791
pancreas_037,30.2847,0.932347
lung_024,24.7923,0.777421
hepaticvessel_318,29.9208,0.898449
hepaticvessel_196,30.1805,0.912023
hepaticvessel_228,30.5384,0.902961
hepaticvessel_384,29.9207,0.903566
pancreas_188,29.2717,0.910389
colon_011,28.3657,0.863635
lung_017,23.7883,0.739406
hepaticvessel_001,29.9761,0.874519
hepaticvessel_055,29.6689,0.899676
lung_061,24.6066,0.785463
lung_006,22.5238,0.725983
pancreas_226,29.7055,0.890559
hepaticvessel_195,30.3947,0.925696
pancreas_080,30.1580,0.899561
pancreas_223,29.4181,0.877255
hepaticvessel_180,27.1406,0.884736
colon_019,28.7311,0.878111
colon_025,28.7149,0.855734
pancreas_033,27.8614,0.803082
hepaticvessel_185,27.3655,0.866041
colon_155,26.7866,0.750467
hepaticvessel_192,28.3401,0.884865
pancreas_325,30.2530,0.909394
hepaticvessel_160,30.1919,0.919402
colon_168,28.2963,0.875960
hepaticvessel_395,30.0851,0.862565
hepaticvessel_019,29.9830,0.862640
pancreas_283,29.1911,0.891469
hepaticvessel_431,30.8512,0.895795
pancreas_121,29.6447,0.855769
pancreas_269,29.4057,0.879353
hepaticvessel_349,30.1527,0.909047
pancreas_028,29.7433,0.893319
pancreas_057,29.6078,0.868499
hepaticvessel_234,29.9851,0.872769
colon_217,25.9949,0.733719
colon_127,26.2944,0.789228
hepaticvessel_047,30.7274,0.915667
spleen_49,28.1018,0.851899
pancreas_256,29.4911,0.894740
pancreas_016,29.5898,0.900139
pancreas_170,30.1579,0.887577
hepaticvessel_282,29.2278,0.895449
colon_112,25.6305,0.777479
colon_192,27.2375,0.769441
hepaticvessel_110,29.7630,0.874889
liver_17,27.4785,0.812908
colon_200,28.2023,0.875663
liver_76,28.9529,0.842768
liver_130,26.3876,0.722395
pancreas_349,29.3564,0.892216
hepaticvessel_214,28.1665,0.881589
lung_093,24.8518,0.780983
lung_013,24.6003,0.719902
colon_148,27.3433,0.791736
colon_060,29.2399,0.872449
liver_19,27.2237,0.742342
colon_083,28.0776,0.774540
hepaticvessel_284,30.3557,0.894711
spleen_40,27.1692,0.757371
hepaticvessel_003,29.8974,0.908350
liver_112,26.2074,0.831054
colon_119,27.7456,0.793115
pancreas_212,26.6147,0.852763
pancreas_209,28.1496,0.867179
pancreas_036,30.1469,0.907476
liver_75,26.7218,0.738712
hepaticvessel_406,30.1454,0.890597
colon_179,26.6650,0.770347
hepaticvessel_122,28.5945,0.859456
lung_083,25.1537,0.790305
liver_18,26.6072,0.748142
pancreas_252,28.9340,0.885778
pancreas_136,29.3552,0.872235
liver_24,27.4324,0.769619
pancreas_257,30.0823,0.905179
pancreas_262,29.6475,0.899081
pancreas_337,29.5706,0.904186
hepaticvessel_200,29.7403,0.930750
hepaticvessel_199,29.9178,0.907407
hepaticvessel_279,30.4998,0.889893
colon_214,29.4893,0.863245
hepaticvessel_127,25.7927,0.766325
hepaticvessel_251,29.0944,0.893662
colon_147,27.1344,0.771827
pancreas_030,27.0853,0.780546
pancreas_086,28.7947,0.900462
pancreas_151,25.2206,0.737504
hepaticvessel_455,27.0884,0.857516
hepaticvessel_315,29.9257,0.921331
lung_066,24.9871,0.775678
pancreas_045,30.1525,0.898708
hepaticvessel_126,26.7217,0.777477
hepaticvessel_161,30.5038,0.935031
pancreas_110,28.0306,0.872244
pancreas_243,30.1654,0.899687
hepaticvessel_438,29.9166,0.896426
colon_005,27.2771,0.823873
colon_156,25.3115,0.796647
pancreas_194,29.4219,0.897926
hepaticvessel_425,30.5959,0.912929
hepaticvessel_380,29.5071,0.890744
colon_070,28.7463,0.881110
pancreas_347,28.2303,0.873902
pancreas_009,28.6374,0.899564
hepaticvessel_025,28.5475,0.872532
hepaticvessel_444,29.6031,0.913499
lung_041,24.2321,0.775789
pancreas_416,24.7300,0.733472
hepaticvessel_460,29.1930,0.899328
hepaticvessel_297,30.0281,0.862119
liver_118,26.0832,0.750591
pancreas_249,26.9749,0.811789
lung_068,23.8165,0.728407
pancreas_314,28.8702,0.861436
pancreas_091,29.4081,0.906097
liver_178,25.0909,0.701908
pancreas_350,29.8307,0.901420
pancreas_064,29.8242,0.875997
lung_036,23.3674,0.724497
colon_126,27.2285,0.825631
liver_174,26.7967,0.820834
hepaticvessel_441,30.0484,0.896268
pancreas_346,29.0096,0.860518
colon_038,28.1260,0.876979
pancreas_401,28.9134,0.865393
colon_010,27.7001,0.816666
colon_133,28.8312,0.808932
liver_103,26.4112,0.741137
hepaticvessel_243,29.2340,0.918538
pancreas_342,29.2384,0.864181
pancreas_060,30.0759,0.913684
colon_186,26.4469,0.791135
pancreas_330,29.6502,0.891864
pancreas_227,28.0047,0.871250
hepaticvessel_210,30.2351,0.889300
colon_059,29.1029,0.844043
pancreas_038,29.3403,0.890485
colon_069,28.1100,0.810474
pancreas_128,29.1706,0.908246
hepaticvessel_348,29.9241,0.927123
liver_166,25.2014,0.792160
hepaticvessel_170,29.3878,0.836185
hepaticvessel_388,28.6025,0.879380
liver_59,27.6807,0.762434
hepaticvessel_368,29.3914,0.905045
pancreas_308,27.8049,0.837626
hepaticvessel_050,29.7400,0.900380
pancreas_076,30.0478,0.898637
liver_113,25.0662,0.766533
hepaticvessel_448,30.3542,0.903361
hepaticvessel_178,29.3798,0.874603
pancreas_070,29.2552,0.871440
pancreas_371,27.8406,0.850262
colon_207,25.9211,0.757227
liver_32,25.1324,0.857199
pancreas_229,27.3702,0.863430
pancreas_405,29.0267,0.877160
liver_159,27.2795,0.758461
hepaticvessel_215,28.6584,0.843231
pancreas_310,29.8437,0.899610
hepaticvessel_397,29.1554,0.876762
colon_117,25.8398,0.732317
pancreas_124,28.5301,0.873053
lung_040,22.8540,0.710865
pancreas_329,27.7704,0.880705
pancreas_236,26.4840,0.857483
liver_121,25.6761,0.711522
lung_015,23.0298,0.711390
hepaticvessel_032,28.1623,0.852787
hepaticvessel_386,30.4210,0.923856
pancreas_179,29.7666,0.895310
pancreas_413,29.9506,0.897475
colon_134,26.6297,0.727620
hepaticvessel_187,29.1879,0.868986
colon_048,26.5808,0.736340
pancreas_214,29.3043,0.867269
hepaticvessel_084,28.4532,0.861266
