ct_path,psnr_db,ssim
liver_139,24.4153,0.777712
hepaticvessel_182,26.2373,0.837008
colon_209,24.3412,0.785687
pancreas_237,25.8129,0.823926
pancreas_352,26.4706,0.844045
pancreas_042,26.1111,0.828900
liver_63,25.4428,0.831069
pancreas_273,26.4662,0.841562
lung_048,24.3732,0.742265
spleen_61,25.5996,0.814988
hepaticvessel_026,26.5079,0.827697
pancreas_004,26.2981,0.829779
colon_039,25.9143,0.843691
pancreas_006,26.0924,0.841114
pancreas_284,26.5905,0.831706
colon_118,24.6989,0.728607
lung_081,23.0816,0.718453
colon_037,25.1942,0.789754
colon_157,24.1317,0.788116
lung_079,22.1871,0.690924
pancreas_105,25.5223,0.745780
pancreas_335,25.5100,0.816442
hepaticvessel_359,26.2195,0.850410
hepaticvessel_400,26.7902,0.833658
hepaticvessel_181,24.0658,0.795747
pancreas_345,26.5009,0.819026
pancreas_044,26.4160,0.840555
pancreas_092,24.0229,0.748401
pancreas_391,26.4052,0.837994
pancreas_037,26.5491,0.794847
lung_024,24.4010,0.755846
hepaticvessel_318,26.4248,0.809275
hepaticvessel_196,26.7404,0.844653
hepaticvessel_228,26.6343,0.814720
hepaticvessel_384,26.3563,0.831531
pancreas_188,26.4252,0.821502
colon_011,24.8716,0.835736
lung_017,23.3945,0.726400
hepaticvessel_001,26.2785,0.835426
hepaticvessel_055,26.5307,0.824324
lung_061,23.3732,0.755688
lung_006,22.1314,0.698293
pancreas_226,26.1251,0.837287
hepaticvessel_195,26.8614,0.830659
pancreas_080,26.4737,0.840862
pancreas_223,25.9633,0.835977
hepaticvessel_180,25.3803,0.821251
colon_019,25.8072,0.838213
colon_025,25.7320,0.828067
pancreas_033,25.2955,0.769434
hepaticvessel_185,24.8119,0.806742
colon_155,25.0549,0.727484
hepaticvessel_192,25.4733,0.808127
pancreas_325,26.7339,0.856191
hepaticvessel_160,27.1209,0.845968
colon_168,26.1267,0.851792
hepaticvessel_395,26.2645,0.825225
hepaticvessel_019,26.5522,0.818871
pancreas_283,25.7410,0.835490
hepaticvessel_431,26.8630,0.839719
pancreas_121,26.4544,0.825604
pancreas_269,25.9834,0.829502
hepaticvessel_349,26.6268,0.848570
pancreas_028,26.4810,0.813968
pancreas_057,26.3489,0.794172
hepaticvessel_234,26.3307,0.836609
colon_217,24.3267,0.750053
colon_127,24.5327,0.784813
hepaticvessel_047,26.7293,0.801236
spleen_49,25.0809,0.802122
pancreas_256,26.0331,0.826514
pancreas_016,26.4277,0.833229
pancreas_170,26.0737,0.831390
hepaticvessel_282,26.2338,0.824695
colon_112,24.3121,0.731432
colon_192,24.8770,0.747464
hepaticvessel_110,26.4762,0.834442
liver_17,25.3103,0.799020
colon_200,25.0409,0.805803
liver_76,25.7753,0.794748
liver_130,24.1984,0.760685
pancreas_349,26.1106,0.836962
hepaticvessel_214,25.8242,0.835687
lung_093,23.3783,0.737451
lung_013,24.0855,0.760040
colon_148,24.5009,0.771949
colon_060,26.2127,0.832545
liver_19,24.9038,0.738960
colon_083,25.6926,0.781326
hepaticvessel_284,26.3953,0.826936
spleen_40,25.0318,0.747647
hepaticvessel_003,26.5307,0.830368
liver_112,24.9191,0.801887
colon_119,24.9949,0.757249
pancreas_212,24.3322,0.784527
pancreas_209,24.8577,0.805046
pancreas_036,26.9173,0.839681
liver_75,24.6449,0.770536
hepaticvessel_406,26.7235,0.845330
colon_179,24.8203,0.750909
hepaticvessel_122,25.0283,0.809488
lung_083,23.8761,0.760504
liver_18,25.2478,0.774956
pancreas_252,25.9467,0.831851
pancreas_136,26.1488,0.844966
liver_24,25.1374,0.730664
pancreas_257,26.6505,0.861199
pancreas_262,26.2237,0.785915
pancreas_337,26.2954,0.854090
hepaticvessel_200,26.4859,0.772325
hepaticvessel_199,26.5677,0.864584
hepaticvessel_279,26.5977,0.829713
colon_214,26.5361,0.815129
hepaticvessel_127,23.4331,0.697908
hepaticvessel_251,26.5669,0.808585
colon_147,24.8387,0.754481
pancreas_030,24.9196,0.776648
pancreas_086,26.3342,0.758947
pancreas_151,23.7380,0.726564
hepaticvessel_455,24.9431,0.823032
hepaticvessel_315,26.4152,0.812471
lung_066,23.4596,0.739714
pancreas_045,26.6525,0.814338
hepaticvessel_126,24.6028,0.771487
hepaticvessel_161,26.8246,0.814651
pancreas_110,24.9941,0.808471
pancreas_243,26.4636,0.842911
hepaticvessel_438,26.1356,0.841140
colon_005,24.8072,0.809612
colon_156,23.3877,0.769536
pancreas_194,26.1859,0.848292
hepaticvessel_425,26.5790,0.860462
hepaticvessel_380,26.0030,0.833945
colon_070,25.9955,0.818561
pancreas_347,25.8547,0.793724
pancreas_009,25.7389,0.816383
hepaticvessel_025,25.6993,0.826183
hepaticvessel_444,25.9314,0.835800
lung_041,22.6720,0.725823
pancreas_416,23.5378,0.729330
hepaticvessel_460,25.9156,0.830706
hepaticvessel_297,26.3665,0.830555
liver_118,24.3356,0.740888
pancreas_249,24.6564,0.789317
lung_068,23.5028,0.712618
pancreas_314,25.4263,0.824351
pancreas_091,26.5109,0.813121
liver_178,23.7619,0.762296
pancreas_350,26.5533,0.841850
pancreas_064,26.4339,0.828958
lung_036,22.4824,0.681949
colon_126,24.6850,0.777355
liver_174,24.7773,0.769821
hepaticvessel_441,26.2858,0.846396
pancreas_346,25.9018,0.824443
colon_038,26.0456,0.837433
pancreas_401,25.8216,0.834681
colon_010,25.2859,0.789679
colon_133,25.9413,0.820447
liver_103,24.7071,0.757665
hepaticvessel_243,26.1641,0.823724
pancreas_342,25.6574,0.812703
pancreas_060,26.6694,0.859236
colon_186,24.3973,0.765535
pancreas_330,26.5868,0.840936
pancreas_227,25.6287,0.828520
hepaticvessel_210,26.4502,0.831366
colon_059,26.2651,0.834157
pancreas_038,26.3290,0.840326
colon_069,25.2847,0.774115
pancreas_128,26.1393,0.776896
hepaticvessel_348,26.6263,0.797878
liver_166,23.7283,0.765362
hepaticvessel_170,25.8964,0.807746
hepaticvessel_388,25.7822,0.815584
liver_59,25.3479,0.743684
hepaticvessel_368,26.0628,0.836410
pancreas_308,25.2990,0.796970
hepaticvessel_050,25.9104,0.825188
pancreas_076,26.4048,0.836607
liver_113,22.9310,0.731462
hepaticvessel_448,26.6287,0.851433
hepaticvessel_178,26.1447,0.808885
pancreas_070,25.7418,0.824607
pancreas_371,25.1974,0.798446
colon_207,24.3115,0.733249
liver_32,23.7638,0.726885
pancreas_229,25.0906,0.798890
pancreas_405,25.8437,0.804070
liver_159,24.5335,0.769072
hepaticvessel_215,25.7629,0.823702
pancreas_310,26.5227,0.831828
hepaticvessel_397,25.9309,0.833254
colon_117,24.0330,0.718992
pancreas_124,25.4962,0.811791
lung_040,21.8276,0.666385
pancreas_329,25.4667,0.815406
pancreas_236,25.2588,0.812078
liver_121,24.1198,0.701015
lung_015,21.8732,0.700398
hepaticvessel_032,25.5992,0.806399
hepaticvessel_386,26.6199,0.847363
pancreas_179,26.3565,0.825824
pancreas_413,26.5790,0.835543
colon_134,24.4753,0.752896
hepaticvessel_187,25.9830,0.825814
colon_048,24.7324,0.790573
pancreas_214,25.9390,0.817421
hepaticvessel_084,25.6394,0.807784
