ct_path,psnr_db,ssim
liver_139,27.4204,0.801940
hepaticvessel_182,28.3177,0.820387
colon_209,26.8568,0.800385
pancreas_237,27.6756,0.823666
pancreas_352,27.7241,0.810555
pancreas_042,27.9573,0.834317
liver_63,28.1394,0.822243
pancreas_273,28.1043,0.838147
lung_048,25.8958,0.771231
spleen_61,27.5025,0.797087
hepaticvessel_026,28.1457,0.835307
pancreas_004,27.5968,0.806192
colon_039,27.9698,0.809212
pancreas_006,27.8696,0.817653
pancreas_284,27.8853,0.810836
colon_118,26.1988,0.758995
lung_081,24.9902,0.741532
colon_037,27.2847,0.805891
colon_157,25.8066,0.801788
lung_079,24.5310,0.732498
pancreas_105,27.4611,0.787335
pancreas_335,27.4046,0.829934
hepaticvessel_359,27.8516,0.831699
hepaticvessel_400,28.0755,0.799285
hepaticvessel_181,26.3031,0.825799
pancreas_345,27.9887,0.818118
pancreas_044,27.7742,0.810038
pancreas_092,27.3641,0.811046
pancreas_391,27.9014,0.838137
pancreas_037,28.5364,0.764071
lung_024,25.7464,0.747324
hepaticvessel_318,27.6837,0.806640
hepaticvessel_196,28.2365,0.828420
hepaticvessel_228,28.5348,0.812164
hepaticvessel_384,27.8368,0.815965
pancreas_188,27.7006,0.791975
colon_011,27.5124,0.813980
lung_017,25.7098,0.761785
hepaticvessel_001,27.9657,0.842074
hepaticvessel_055,28.2139,0.804359
lung_061,24.9632,0.755330
lung_006,25.3720,0.757508
pancreas_226,27.3624,0.830260
hepaticvessel_195,28.6469,0.793649
pancreas_080,27.8869,0.833250
pancreas_223,27.9903,0.827911
hepaticvessel_180,27.1305,0.805328
colon_019,27.6701,0.801740
colon_025,27.4090,0.798987
pancreas_033,26.8590,0.775860
hepaticvessel_185,27.0741,0.840707
colon_155,27.0147,0.777027
hepaticvessel_192,27.4848,0.825438
pancreas_325,28.0280,0.824065
hepaticvessel_160,28.5635,0.816495
colon_168,27.6568,0.819115
hepaticvessel_395,27.7654,0.825189
hepaticvessel_019,28.0927,0.821957
pancreas_283,27.1974,0.803816
hepaticvessel_431,28.5327,0.837112
pancreas_121,28.1161,0.835799
pancreas_269,27.4644,0.808195
hepaticvessel_349,28.2497,0.843047
pancreas_028,28.0663,0.810254
pancreas_057,27.7896,0.801121
hepaticvessel_234,28.0940,0.832963
colon_217,26.4730,0.785468
colon_127,26.4996,0.808372
hepaticvessel_047,28.5920,0.787609
spleen_49,26.7148,0.810042
pancreas_256,27.7977,0.820900
pancreas_016,27.8036,0.809221
pancreas_170,28.1039,0.823390
hepaticvessel_282,28.3940,0.836771
colon_112,26.2477,0.762450
colon_192,27.3700,0.800211
hepaticvessel_110,27.8324,0.837039
liver_17,27.2606,0.779342
colon_200,27.5989,0.838323
liver_76,27.8811,0.801944
liver_130,26.3394,0.780633
pancreas_349,27.4511,0.819828
hepaticvessel_214,27.3958,0.836664
lung_093,25.1528,0.724952
lung_013,25.7633,0.777179
colon_148,26.8299,0.787311
colon_060,28.0430,0.832986
liver_19,26.8706,0.790051
colon_083,27.5399,0.821016
hepaticvessel_284,28.1841,0.833613
spleen_40,27.3289,0.802535
hepaticvessel_003,28.3233,0.820453
liver_112,26.2810,0.754828
colon_119,27.3611,0.790353
pancreas_212,26.2105,0.808049
pancreas_209,27.2728,0.830086
pancreas_036,28.1816,0.819310
liver_75,26.6376,0.794973
hepaticvessel_406,28.6980,0.852591
colon_179,26.3049,0.784968
hepaticvessel_122,26.9579,0.822047
lung_083,25.6459,0.759844
liver_18,26.8055,0.786248
pancreas_252,27.8592,0.838033
pancreas_136,27.9305,0.842709
liver_24,26.8983,0.777788
pancreas_257,27.9897,0.842621
pancreas_262,28.2602,0.779864
pancreas_337,27.7175,0.816504
hepaticvessel_200,28.3215,0.730825
hepaticvessel_199,28.1664,0.835016
hepaticvessel_279,27.8140,0.823187
colon_214,28.4114,0.836000
hepaticvessel_127,26.5945,0.770211
hepaticvessel_251,27.9733,0.788837
colon_147,27.1409,0.787204
pancreas_030,26.9007,0.812990
pancreas_086,28.0407,0.716424
pancreas_151,26.2368,0.773873
hepaticvessel_455,27.4303,0.831973
hepaticvessel_315,28.2681,0.789972
lung_066,25.1479,0.753410
pancreas_045,28.4096,0.818539
hepaticvessel_126,26.4462,0.754473
hepaticvessel_161,28.5166,0.781561
pancreas_110,27.7062,0.838904
pancreas_243,28.1727,0.831503
hepaticvessel_438,28.0517,0.836876
colon_005,26.9126,0.823395
colon_156,25.8926,0.809597
pancreas_194,27.5886,0.813532
hepaticvessel_425,28.5516,0.841608
hepaticvessel_380,27.6225,0.825942
colon_070,27.5580,0.787830
pancreas_347,27.5919,0.794869
pancreas_009,27.1199,0.785895
hepaticvessel_025,27.5898,0.827743
hepaticvessel_444,27.5930,0.820245
lung_041,24.4392,0.734538
pancreas_416,26.0065,0.792209
hepaticvessel_460,27.8571,0.811809
hepaticvessel_297,28.1179,0.838145
liver_118,26.9349,0.795628
pancreas_249,26.4171,0.810602
lung_068,24.7298,0.732952
pancreas_314,27.7229,0.812849
pancreas_091,28.1635,0.795025
liver_178,25.6562,0.778833
pancreas_350,27.8809,0.806723
pancreas_064,27.5923,0.824594
lung_036,24.1926,0.696704
colon_126,26.7829,0.784034
liver_174,26.4004,0.778311
hepaticvessel_441,28.1078,0.837993
pancreas_346,27.2189,0.818915
colon_038,28.0036,0.846869
pancreas_401,27.8847,0.808611
colon_010,27.4365,0.804130
colon_133,27.7433,0.823388
liver_103,26.1091,0.768109
hepaticvessel_243,28.4347,0.807809
pancreas_342,27.3041,0.814324
pancreas_060,27.9535,0.821513
colon_186,27.8174,0.823786
pancreas_330,27.9729,0.822512
pancreas_227,27.8493,0.842299
hepaticvessel_210,27.7454,0.824346
colon_059,27.8949,0.830244
pancreas_038,27.8909,0.837065
colon_069,26.6424,0.783593
pancreas_128,27.8661,0.762376
hepaticvessel_348,28.2670,0.786815
liver_166,25.4989,0.757228
hepaticvessel_170,27.8651,0.824280
hepaticvessel_388,26.9638,0.817142
liver_59,27.4247,0.782569
hepaticvessel_368,27.7196,0.820620
pancreas_308,27.2153,0.824708
hepaticvessel_050,28.4077,0.839494
pancreas_076,28.0876,0.837331
liver_113,25.8150,0.757432
hepaticvessel_448,28.1421,0.828591
hepaticvessel_178,27.7855,0.826871
pancreas_070,27.3294,0.824425
pancreas_371,26.3097,0.802567
colon_207,26.4889,0.783940
liver_32,25.9886,0.707972
pancreas_229,26.5968,0.811515
pancreas_405,27.5369,0.810726
liver_159,26.7069,0.797443
hepaticvessel_215,27.3523,0.835213
pancreas_310,28.0032,0.835015
hepaticvessel_397,27.4563,0.807626
colon_117,25.9866,0.768316
pancreas_124,27.7902,0.817590
lung_040,24.9252,0.725181
pancreas_329,27.2198,0.821107
pancreas_236,26.7351,0.814479
liver_121,25.9241,0.749251
lung_015,23.9087,0.720834
hepaticvessel_032,27.7497,0.829549
hepaticvessel_386,28.4611,0.830855
pancreas_179,27.7850,0.818586
pancreas_413,27.7347,0.808975
colon_134,26.7544,0.799698
hepaticvessel_187,27.9407,0.853195
colon_048,26.6425,0.813887
pancreas_214,27.2751,0.816489
hepaticvessel_084,27.8735,0.837452
