ct_path,psnr_db,ssim
ToothFairy3S_0049_0000,24.4293,0.875741
ToothFairy3F_051_0000,20.8755,0.738234
ToothFairy3P_216_0000,23.4636,0.860845
ToothFairy3P_331_0000,23.7728,0.851234
ToothFairy3P_523_0000,24.5654,0.861019
ToothFairy3P_010_0000,23.9951,0.845975
ToothFairy3P_470_0000,23.9136,0.864490
ToothFairy3P_064_0000,23.8071,0.852772
ToothFairy3P_054_0000,24.8966,0.878461
ToothFairy3P_343_0000,25.1489,0.878138
ToothFairy3S_0040_0000,24.5895,0.877374
ToothFairy3F_036_0000,20.7821,0.733056
ToothFairy3P_509_0000,24.6155,0.874049
ToothFairy3P_415_0000,24.5738,0.850698
ToothFairy3P_114_0000,23.8946,0.855473
ToothFairy3P_429_0000,24.9829,0.870480
ToothFairy3P_066_0000,24.4434,0.865868
ToothFairy3P_118_0000,24.3512,0.850921
ToothFairy3P_508_0000,24.8822,0.893151
ToothFairy3P_485_0000,24.1452,0.864550
ToothFairy3P_249_0000,24.9269,0.858175
ToothFairy3P_366_0000,25.0389,0.880026
ToothFairy3F_001_0000,19.6410,0.638430
ToothFairy3P_373_0000,24.6346,0.875052
ToothFairy3P_397_0000,25.0267,0.880018
ToothFairy3P_459_0000,25.0413,0.873609
ToothFairy3P_482_0000,24.4729,0.867912
ToothFairy3P_419_0000,24.5959,0.882150
ToothFairy3P_190_0000,24.9637,0.883136
ToothFairy3S_0050_0000,24.6879,0.867425
ToothFairy3P_424_0000,24.1093,0.861083
ToothFairy3F_052_0000,21.1215,0.734868
ToothFairy3F_008_0000,20.9638,0.732547
ToothFairy3P_536_0000,24.4024,0.854177
ToothFairy3P_333_0000,23.7112,0.841630
ToothFairy3P_538_0000,24.3643,0.863030
ToothFairy3P_471_0000,24.8621,0.880487
ToothFairy3F_034_0000,20.9768,0.732272
ToothFairy3P_081_0000,23.4761,0.860769
ToothFairy3P_507_0000,25.4010,0.885745
ToothFairy3P_213_0000,24.8314,0.843621
ToothFairy3P_241_0000,25.0035,0.882458
ToothFairy3P_335_0000,24.2140,0.866813
ToothFairy3S_0014_0000,24.7268,0.864398
ToothFairy3P_042_0000,24.2667,0.846287
ToothFairy3P_535_0000,24.4763,0.870407
ToothFairy3P_382_0000,24.2048,0.871663
ToothFairy3P_365_0000,24.4826,0.864119
ToothFairy3P_109_0000,25.0392,0.875002
ToothFairy3P_209_0000,25.0707,0.874314
ToothFairy3P_129_0000,24.9802,0.875921
ToothFairy3F_056_0000,20.7454,0.737204
ToothFairy3P_339_0000,24.8814,0.882484
ToothFairy3P_238_0000,24.2042,0.841503
ToothFairy3P_405_0000,25.2486,0.889227
ToothFairy3P_499_0000,25.2373,0.885356
ToothFairy3P_526_0000,24.4768,0.849409
ToothFairy3P_013_0000,25.3197,0.891486
ToothFairy3P_039_0000,24.8914,0.871339
ToothFairy3P_370_0000,24.3705,0.857102
ToothFairy3P_098_0000,24.9112,0.882952
ToothFairy3P_253_0000,24.3996,0.862287
ToothFairy3P_035_0000,24.6711,0.878889
ToothFairy3P_091_0000,24.4879,0.863866
ToothFairy3P_341_0000,24.7658,0.892051
ToothFairy3P_090_0000,24.8906,0.879459
ToothFairy3S_0036_0000,24.0422,0.836594
ToothFairy3P_210_0000,24.7176,0.875625
ToothFairy3P_422_0000,23.9256,0.866465
ToothFairy3S_0008_0000,25.0227,0.871458
ToothFairy3P_363_0000,25.0400,0.881647
ToothFairy3P_473_0000,23.5230,0.850283
ToothFairy3S_0017_0000,25.6484,0.892752
ToothFairy3S_0043_0000,24.1957,0.877185
ToothFairy3F_046_0000,21.2448,0.736250
ToothFairy3P_493_0000,24.9909,0.872290
ToothFairy3P_451_0000,24.9521,0.878265
