ct_path,psnr_db,ssim
ToothFairy3S_0049_0000,30.5069,0.963661
ToothFairy3F_051_0000,28.4565,0.924738
ToothFairy3P_216_0000,31.6019,0.963214
ToothFairy3P_331_0000,32.1499,0.949496
ToothFairy3P_523_0000,29.7022,0.956046
ToothFairy3P_010_0000,31.1902,0.948366
ToothFairy3P_470_0000,31.4212,0.961401
ToothFairy3P_064_0000,28.3842,0.940719
ToothFairy3P_054_0000,30.9715,0.959205
ToothFairy3P_343_0000,32.6925,0.969024
ToothFairy3S_0040_0000,31.0754,0.966150
ToothFairy3F_036_0000,28.6982,0.925978
ToothFairy3P_509_0000,32.0531,0.963505
ToothFairy3P_415_0000,31.9674,0.954522
ToothFairy3P_114_0000,29.0714,0.950718
ToothFairy3P_429_0000,32.2343,0.964925
ToothFairy3P_066_0000,30.7480,0.959832
ToothFairy3P_118_0000,29.9667,0.946177
ToothFairy3P_508_0000,30.5564,0.956947
ToothFairy3P_485_0000,32.3176,0.963912
ToothFairy3P_249_0000,31.3868,0.963375
ToothFairy3P_366_0000,31.8323,0.962723
ToothFairy3F_001_0000,25.7759,0.882571
ToothFairy3P_373_0000,32.0202,0.963943
ToothFairy3P_397_0000,31.9109,0.964039
ToothFairy3P_459_0000,31.6745,0.963335
ToothFairy3P_482_0000,31.4680,0.961653
ToothFairy3P_419_0000,30.6119,0.960340
ToothFairy3P_190_0000,31.5790,0.957080
ToothFairy3S_0050_0000,31.3014,0.966769
ToothFairy3P_424_0000,30.3141,0.952596
ToothFairy3F_052_0000,27.6630,0.914918
ToothFairy3F_008_0000,28.3875,0.929238
ToothFairy3P_536_0000,29.8880,0.951560
ToothFairy3P_333_0000,30.6821,0.954124
ToothFairy3P_538_0000,30.3557,0.955694
ToothFairy3P_471_0000,30.3232,0.957692
ToothFairy3F_034_0000,28.0572,0.920154
ToothFairy3P_081_0000,30.4284,0.956175
ToothFairy3P_507_0000,32.7231,0.967127
ToothFairy3P_213_0000,31.5504,0.962060
ToothFairy3P_241_0000,33.4792,0.967729
ToothFairy3P_335_0000,30.1456,0.954508
ToothFairy3S_0014_0000,32.1262,0.967059
ToothFairy3P_042_0000,30.1143,0.942113
ToothFairy3P_535_0000,30.8156,0.962673
ToothFairy3P_382_0000,30.3702,0.950207
ToothFairy3P_365_0000,31.2430,0.961281
ToothFairy3P_109_0000,31.2920,0.960599
ToothFairy3P_209_0000,32.9685,0.967206
ToothFairy3P_129_0000,31.8830,0.965627
ToothFairy3F_056_0000,27.7754,0.912321
ToothFairy3P_339_0000,30.6914,0.958175
ToothFairy3P_238_0000,29.9294,0.934031
ToothFairy3P_405_0000,32.7625,0.966403
ToothFairy3P_499_0000,32.7316,0.965008
ToothFairy3P_526_0000,31.8733,0.955198
ToothFairy3P_013_0000,32.9072,0.972208
ToothFairy3P_039_0000,32.3454,0.965430
ToothFairy3P_370_0000,32.0284,0.958755
ToothFairy3P_098_0000,29.7357,0.955873
ToothFairy3P_253_0000,31.1238,0.960315
ToothFairy3P_035_0000,31.1200,0.959479
ToothFairy3P_091_0000,31.5952,0.963526
ToothFairy3P_341_0000,30.5948,0.955686
ToothFairy3P_090_0000,31.7306,0.962298
ToothFairy3S_0036_0000,29.7604,0.953052
ToothFairy3P_210_0000,29.0585,0.946254
ToothFairy3P_422_0000,31.0788,0.961011
ToothFairy3S_0008_0000,32.3920,0.970871
ToothFairy3P_363_0000,30.0939,0.962467
ToothFairy3P_473_0000,27.7239,0.939428
ToothFairy3S_0017_0000,33.1071,0.973893
ToothFairy3S_0043_0000,29.3571,0.959971
ToothFairy3F_046_0000,27.4166,0.910158
ToothFairy3P_493_0000,31.7956,0.965362
ToothFairy3P_451_0000,32.0772,0.966162
