ct_path,psnr_db,ssim
ToothFairy3S_0049_0000,28.4650,0.938137
ToothFairy3F_051_0000,23.8718,0.829306
ToothFairy3P_216_0000,27.8298,0.938929
ToothFairy3P_331_0000,27.3046,0.899080
ToothFairy3P_523_0000,28.6472,0.944858
ToothFairy3P_010_0000,27.7399,0.911074
ToothFairy3P_470_0000,28.3810,0.940917
ToothFairy3P_064_0000,27.6364,0.927719
ToothFairy3P_054_0000,29.0147,0.942197
ToothFairy3P_343_0000,29.6401,0.951152
ToothFairy3S_0040_0000,28.0094,0.941221
ToothFairy3F_036_0000,24.1675,0.824586
ToothFairy3P_509_0000,29.6657,0.946181
ToothFairy3P_415_0000,28.6340,0.922064
ToothFairy3P_114_0000,27.3944,0.926324
ToothFairy3P_429_0000,29.0718,0.944452
ToothFairy3P_066_0000,27.9340,0.938440
ToothFairy3P_118_0000,27.6391,0.913079
ToothFairy3P_508_0000,29.3282,0.947595
ToothFairy3P_485_0000,28.9737,0.942471
ToothFairy3P_249_0000,28.9164,0.947934
ToothFairy3P_366_0000,29.9855,0.951077
ToothFairy3F_001_0000,23.4559,0.713789
ToothFairy3P_373_0000,28.8419,0.945288
ToothFairy3P_397_0000,29.6879,0.949741
ToothFairy3P_459_0000,29.7436,0.948592
ToothFairy3P_482_0000,28.4260,0.941928
ToothFairy3P_419_0000,28.2651,0.945368
ToothFairy3P_190_0000,29.7445,0.946012
ToothFairy3S_0050_0000,29.8440,0.940800
ToothFairy3P_424_0000,27.8644,0.929168
ToothFairy3F_052_0000,24.5483,0.830982
ToothFairy3F_008_0000,24.4674,0.828395
ToothFairy3P_536_0000,28.7320,0.939402
ToothFairy3P_333_0000,26.7842,0.901709
ToothFairy3P_538_0000,28.8225,0.939872
ToothFairy3P_471_0000,29.2187,0.947860
ToothFairy3F_034_0000,23.8417,0.819949
ToothFairy3P_081_0000,26.9880,0.933273
ToothFairy3P_507_0000,30.1121,0.949995
ToothFairy3P_213_0000,29.6130,0.947950
ToothFairy3P_241_0000,30.5870,0.954680
ToothFairy3P_335_0000,29.0034,0.938984
ToothFairy3S_0014_0000,30.1206,0.945383
ToothFairy3P_042_0000,28.4992,0.915860
ToothFairy3P_535_0000,28.4875,0.943321
ToothFairy3P_382_0000,28.5573,0.935173
ToothFairy3P_365_0000,28.6968,0.937173
ToothFairy3P_109_0000,29.5722,0.945290
ToothFairy3P_209_0000,29.5869,0.946181
ToothFairy3P_129_0000,29.5365,0.948036
ToothFairy3F_056_0000,23.9922,0.822730
ToothFairy3P_339_0000,29.3034,0.948142
ToothFairy3P_238_0000,28.2195,0.909732
ToothFairy3P_405_0000,30.2614,0.953970
ToothFairy3P_499_0000,30.1374,0.948927
ToothFairy3P_526_0000,28.5761,0.915028
ToothFairy3P_013_0000,30.0504,0.959822
ToothFairy3P_039_0000,29.2898,0.944569
ToothFairy3P_370_0000,29.0458,0.927391
ToothFairy3P_098_0000,28.8392,0.948028
ToothFairy3P_253_0000,28.7253,0.939716
ToothFairy3P_035_0000,29.0990,0.945996
ToothFairy3P_091_0000,28.6274,0.941140
ToothFairy3P_341_0000,29.3119,0.946005
ToothFairy3P_090_0000,29.3202,0.946706
ToothFairy3S_0036_0000,28.0092,0.912859
ToothFairy3P_210_0000,28.2156,0.935195
ToothFairy3P_422_0000,27.7517,0.937382
ToothFairy3S_0008_0000,30.6216,0.943466
ToothFairy3P_363_0000,28.8248,0.948239
ToothFairy3P_473_0000,27.0023,0.921445
ToothFairy3S_0017_0000,30.4315,0.957111
ToothFairy3S_0043_0000,28.1296,0.940893
ToothFairy3F_046_0000,24.2132,0.821332
ToothFairy3P_493_0000,29.9249,0.946562
ToothFairy3P_451_0000,29.2104,0.945928
