ct_path,psnr_db,ssim
ToothFairy3S_0049_0000,24.2583,0.854410
ToothFairy3F_051_0000,21.8971,0.704644
ToothFairy3P_216_0000,23.8565,0.798484
ToothFairy3P_331_0000,20.7275,0.838338
ToothFairy3P_523_0000,25.0775,0.834055
ToothFairy3P_010_0000,25.0077,0.851496
ToothFairy3P_470_0000,24.0259,0.800511
ToothFairy3P_064_0000,24.3732,0.813964
ToothFairy3P_054_0000,25.6791,0.848171
ToothFairy3P_343_0000,25.7197,0.841111
ToothFairy3S_0040_0000,25.0819,0.865500
ToothFairy3F_036_0000,21.9799,0.710333
ToothFairy3P_509_0000,25.1947,0.841597
ToothFairy3P_415_0000,25.4473,0.850882
ToothFairy3P_114_0000,24.4574,0.826041
ToothFairy3P_429_0000,25.5091,0.825910
ToothFairy3P_066_0000,24.7025,0.813655
ToothFairy3P_118_0000,25.3844,0.863368
ToothFairy3P_508_0000,25.9183,0.877823
ToothFairy3P_485_0000,24.4075,0.803525
ToothFairy3P_249_0000,25.2306,0.840808
ToothFairy3P_366_0000,25.8485,0.851848
ToothFairy3F_001_0000,19.0260,0.733556
ToothFairy3P_373_0000,25.6119,0.841215
ToothFairy3P_397_0000,25.5873,0.835515
ToothFairy3P_459_0000,25.6947,0.838003
ToothFairy3P_482_0000,24.3291,0.802888
ToothFairy3P_419_0000,25.2929,0.859615
ToothFairy3P_190_0000,25.7103,0.858160
ToothFairy3S_0050_0000,25.7964,0.858447
ToothFairy3P_424_0000,24.2797,0.830107
ToothFairy3F_052_0000,22.3903,0.721487
ToothFairy3F_008_0000,21.3873,0.711246
ToothFairy3P_536_0000,25.0648,0.830269
ToothFairy3P_333_0000,23.9299,0.841498
ToothFairy3P_538_0000,24.7190,0.808840
ToothFairy3P_471_0000,25.6446,0.853635
ToothFairy3F_034_0000,21.5960,0.712863
ToothFairy3P_081_0000,23.2215,0.795458
ToothFairy3P_507_0000,25.9500,0.853408
ToothFairy3P_213_0000,25.5792,0.836207
ToothFairy3P_241_0000,25.6650,0.836413
ToothFairy3P_335_0000,25.0179,0.814352
ToothFairy3S_0014_0000,25.6978,0.842952
ToothFairy3P_042_0000,25.3251,0.843148
ToothFairy3P_535_0000,24.9759,0.846120
ToothFairy3P_382_0000,25.3206,0.842597
ToothFairy3P_365_0000,24.9453,0.824306
ToothFairy3P_109_0000,25.6766,0.846697
ToothFairy3P_209_0000,25.1134,0.822649
ToothFairy3P_129_0000,25.6085,0.840585
ToothFairy3F_056_0000,22.0171,0.708638
ToothFairy3P_339_0000,25.5194,0.857416
ToothFairy3P_238_0000,24.9673,0.846770
ToothFairy3P_405_0000,26.0168,0.853335
ToothFairy3P_499_0000,25.9234,0.855186
ToothFairy3P_526_0000,25.4891,0.850818
ToothFairy3P_013_0000,26.1500,0.868728
ToothFairy3P_039_0000,25.0632,0.820695
ToothFairy3P_370_0000,25.7392,0.861452
ToothFairy3P_098_0000,25.7313,0.854339
ToothFairy3P_253_0000,24.7834,0.815274
ToothFairy3P_035_0000,25.4087,0.834547
ToothFairy3P_091_0000,24.8175,0.814985
ToothFairy3P_341_0000,25.6577,0.870673
ToothFairy3P_090_0000,25.0667,0.816095
ToothFairy3S_0036_0000,25.4636,0.873079
ToothFairy3P_210_0000,24.9579,0.834155
ToothFairy3P_422_0000,24.1169,0.804748
ToothFairy3S_0008_0000,25.8962,0.866898
ToothFairy3P_363_0000,25.6718,0.852309
ToothFairy3P_473_0000,24.4207,0.794748
ToothFairy3S_0017_0000,26.2122,0.880597
ToothFairy3S_0043_0000,25.0577,0.865961
ToothFairy3F_046_0000,22.0250,0.709962
ToothFairy3P_493_0000,25.5396,0.839978
ToothFairy3P_451_0000,25.5192,0.844120
