ct_path,psnr_db,ssim
ToothFairy3S_0049_0000,32.6055,0.972487
ToothFairy3F_051_0000,29.1879,0.925401
ToothFairy3P_216_0000,31.8212,0.964992
ToothFairy3P_331_0000,33.1792,0.951439
ToothFairy3P_523_0000,30.4565,0.958861
ToothFairy3P_010_0000,31.0374,0.950951
ToothFairy3P_470_0000,31.8069,0.965074
ToothFairy3P_064_0000,29.7653,0.950172
ToothFairy3P_054_0000,32.5254,0.964539
ToothFairy3P_343_0000,33.1035,0.972743
ToothFairy3S_0040_0000,31.7286,0.969862
ToothFairy3F_036_0000,29.2894,0.925880
ToothFairy3P_509_0000,33.6843,0.970308
ToothFairy3P_415_0000,31.7474,0.955022
ToothFairy3P_114_0000,29.7899,0.952553
ToothFairy3P_429_0000,31.5464,0.964779
ToothFairy3P_066_0000,31.4128,0.964501
ToothFairy3P_118_0000,30.6499,0.951048
ToothFairy3P_508_0000,32.1419,0.966810
ToothFairy3P_485_0000,32.7438,0.967573
ToothFairy3P_249_0000,32.8743,0.968958
ToothFairy3P_366_0000,32.5991,0.967825
ToothFairy3F_001_0000,26.2501,0.826112
ToothFairy3P_373_0000,32.6399,0.968013
ToothFairy3P_397_0000,33.1590,0.969826
ToothFairy3P_459_0000,32.4187,0.966879
ToothFairy3P_482_0000,31.7878,0.965259
ToothFairy3P_419_0000,31.7881,0.968305
ToothFairy3P_190_0000,32.2239,0.963185
ToothFairy3S_0050_0000,31.7885,0.970786
ToothFairy3P_424_0000,31.8628,0.957868
ToothFairy3F_052_0000,28.2660,0.918517
ToothFairy3F_008_0000,28.0811,0.920233
ToothFairy3P_536_0000,31.3024,0.957907
ToothFairy3P_333_0000,31.2966,0.956836
ToothFairy3P_538_0000,31.3535,0.963395
ToothFairy3P_471_0000,31.5665,0.964051
ToothFairy3F_034_0000,28.4880,0.919680
ToothFairy3P_081_0000,30.6172,0.959767
ToothFairy3P_507_0000,34.0539,0.974070
ToothFairy3P_213_0000,32.0694,0.965567
ToothFairy3P_241_0000,33.9825,0.971209
ToothFairy3P_335_0000,31.6172,0.961130
ToothFairy3S_0014_0000,32.8458,0.970671
ToothFairy3P_042_0000,30.2405,0.946424
ToothFairy3P_535_0000,32.0819,0.968532
ToothFairy3P_382_0000,31.3911,0.953777
ToothFairy3P_365_0000,32.1810,0.965147
ToothFairy3P_109_0000,32.0228,0.964472
ToothFairy3P_209_0000,32.9140,0.967907
ToothFairy3P_129_0000,32.6233,0.967452
ToothFairy3F_056_0000,28.5407,0.915780
ToothFairy3P_339_0000,31.6248,0.964567
ToothFairy3P_238_0000,29.4967,0.938115
ToothFairy3P_405_0000,33.5294,0.971178
ToothFairy3P_499_0000,34.2105,0.971822
ToothFairy3P_526_0000,30.8536,0.953312
ToothFairy3P_013_0000,34.1766,0.979038
ToothFairy3P_039_0000,32.1717,0.965881
ToothFairy3P_370_0000,31.5330,0.959355
ToothFairy3P_098_0000,31.4643,0.964963
ToothFairy3P_253_0000,31.9525,0.964110
ToothFairy3P_035_0000,32.0601,0.966574
ToothFairy3P_091_0000,32.0124,0.965739
ToothFairy3P_341_0000,31.8869,0.963074
ToothFairy3P_090_0000,32.2978,0.966980
ToothFairy3S_0036_0000,31.3923,0.960588
ToothFairy3P_210_0000,30.3576,0.954828
ToothFairy3P_422_0000,31.2963,0.963024
ToothFairy3S_0008_0000,33.6706,0.976145
ToothFairy3P_363_0000,31.0724,0.966410
ToothFairy3P_473_0000,30.1229,0.950572
ToothFairy3S_0017_0000,34.2571,0.979427
ToothFairy3S_0043_0000,30.3111,0.967052
ToothFairy3F_046_0000,28.5570,0.918436
ToothFairy3P_493_0000,32.9243,0.969937
ToothFairy3P_451_0000,33.0259,0.970993
