ct_path,psnr_db,ssim
ToothFairy3S_0049_0000,27.8582,0.918368
ToothFairy3F_051_0000,25.9026,0.861318
ToothFairy3P_216_0000,27.2307,0.905190
ToothFairy3P_331_0000,27.7515,0.895076
ToothFairy3P_523_0000,26.8795,0.904083
ToothFairy3P_010_0000,27.6933,0.897694
ToothFairy3P_470_0000,27.4647,0.906283
ToothFairy3P_064_0000,26.4352,0.892222
ToothFairy3P_054_0000,27.7536,0.907645
ToothFairy3P_343_0000,27.8411,0.914565
ToothFairy3S_0040_0000,27.2812,0.911554
ToothFairy3F_036_0000,26.0837,0.862823
ToothFairy3P_509_0000,28.0193,0.911730
ToothFairy3P_415_0000,27.7388,0.898189
ToothFairy3P_114_0000,26.6831,0.899523
ToothFairy3P_429_0000,27.5538,0.909840
ToothFairy3P_066_0000,26.9833,0.903043
ToothFairy3P_118_0000,27.2333,0.896673
ToothFairy3P_508_0000,27.6922,0.910298
ToothFairy3P_485_0000,27.6071,0.907597
ToothFairy3P_249_0000,27.9672,0.916649
ToothFairy3P_366_0000,27.6033,0.908121
ToothFairy3F_001_0000,24.8453,0.807669
ToothFairy3P_373_0000,27.9719,0.912082
ToothFairy3P_397_0000,28.0357,0.913277
ToothFairy3P_459_0000,27.7886,0.911917
ToothFairy3P_482_0000,27.6198,0.908106
ToothFairy3P_419_0000,27.2939,0.911151
ToothFairy3P_190_0000,27.5424,0.905781
ToothFairy3S_0050_0000,27.3104,0.915119
ToothFairy3P_424_0000,27.5696,0.902022
ToothFairy3F_052_0000,25.6101,0.855191
ToothFairy3F_008_0000,25.1532,0.856419
ToothFairy3P_536_0000,26.9220,0.896592
ToothFairy3P_333_0000,27.4059,0.901163
ToothFairy3P_538_0000,27.0588,0.901072
ToothFairy3P_471_0000,27.0663,0.904515
ToothFairy3F_034_0000,25.7882,0.858544
ToothFairy3P_081_0000,27.1397,0.901381
ToothFairy3P_507_0000,28.0932,0.912740
ToothFairy3P_213_0000,27.1153,0.906006
ToothFairy3P_241_0000,27.6948,0.911693
ToothFairy3P_335_0000,27.5067,0.903395
ToothFairy3S_0014_0000,27.4190,0.911207
ToothFairy3P_042_0000,27.4327,0.890358
ToothFairy3P_535_0000,27.4901,0.911867
ToothFairy3P_382_0000,27.0133,0.894213
ToothFairy3P_365_0000,27.3670,0.906670
ToothFairy3P_109_0000,27.1874,0.905979
ToothFairy3P_209_0000,27.8352,0.911881
ToothFairy3P_129_0000,27.8188,0.912589
ToothFairy3F_056_0000,25.6280,0.848941
ToothFairy3P_339_0000,27.2084,0.905861
ToothFairy3P_238_0000,26.9133,0.880215
ToothFairy3P_405_0000,27.9683,0.911969
ToothFairy3P_499_0000,28.1274,0.912601
ToothFairy3P_526_0000,28.0300,0.901448
ToothFairy3P_013_0000,28.0435,0.921485
ToothFairy3P_039_0000,27.4919,0.908492
ToothFairy3P_370_0000,28.0405,0.905643
ToothFairy3P_098_0000,27.2287,0.908559
ToothFairy3P_253_0000,27.3536,0.906000
ToothFairy3P_035_0000,27.5372,0.909099
ToothFairy3P_091_0000,27.3389,0.907393
ToothFairy3P_341_0000,27.4882,0.903856
ToothFairy3P_090_0000,27.6457,0.907420
ToothFairy3S_0036_0000,27.6385,0.904025
ToothFairy3P_210_0000,26.7250,0.894545
ToothFairy3P_422_0000,27.2087,0.903665
ToothFairy3S_0008_0000,27.8574,0.918506
ToothFairy3P_363_0000,27.5006,0.911665
ToothFairy3P_473_0000,26.5242,0.893313
ToothFairy3S_0017_0000,27.9838,0.922166
ToothFairy3S_0043_0000,26.8955,0.909413
ToothFairy3F_046_0000,25.5806,0.851435
ToothFairy3P_493_0000,27.7013,0.911957
ToothFairy3P_451_0000,28.0481,0.915168
