ct_path,psnr_db,ssim
s0013,23.5659,0.725159
s0029,22.7220,0.646478
s0038,23.8584,0.658763
s0040,22.8342,0.587048
s0119,22.9019,0.637512
s0230,22.2840,0.739970
s0235,24.1895,0.798120
s0236,22.6152,0.669381
s0244,22.3167,0.609930
s0291,23.9499,0.700167
s0295,23.4945,0.765085
s0308,24.0440,0.753044
s0311,23.9204,0.731217
s0423,21.8479,0.576287
s0440,23.3564,0.619700
s0441,23.4015,0.675237
s0450,24.0649,0.748358
s0459,22.2744,0.678393
s0468,22.3784,0.589680
s0470,22.3069,0.654349
s0482,20.5334,0.517028
s0499,23.0546,0.629319
s0505,20.8019,0.641491
s0543,22.1081,0.670354
s0561,23.6624,0.747247
s0667,22.0127,0.561628
s0673,23.6860,0.751405
s0684,22.8450,0.716642
s0687,22.4814,0.695523
s0735,21.8892,0.760336
s0753,23.2416,0.721416
s0802,23.2933,0.796648
s0829,23.2561,0.764179
s0907,22.2033,0.603188
s0923,23.3733,0.666457
s0933,21.0832,0.572257
s0951,23.6291,0.676679
s0994,22.9836,0.625277
s1051,24.5908,0.809198
s1057,23.6807,0.712449
s1075,22.9987,0.783609
s1094,23.1757,0.737193
s1096,20.7715,0.714272
s1112,22.9677,0.688451
s1119,22.1793,0.614381
s1121,21.8243,0.533726
s1152,19.3451,0.532249
s1174,23.2115,0.704466
s1176,22.6158,0.716750
s1184,22.4431,0.714329
s1192,22.1629,0.647557
s1195,23.7278,0.801443
s1212,22.7682,0.628479
s1240,23.2867,0.667234
s1248,23.6882,0.790531
s1249,20.2767,0.547511
s1276,22.7985,0.741808
s1322,23.4715,0.693256
s1323,22.4168,0.689208
s1347,22.3384,0.616393
s1355,23.9593,0.676500
s1357,21.9437,0.624933
s1377,21.6959,0.573233
s1386,23.5216,0.620755
s1411,23.6684,0.625925
s1412,23.3073,0.644073
s1413,21.4202,0.583357
s1414,23.3542,0.688011
s1415,22.4594,0.613668
s1418,23.2710,0.663893
s1420,21.3940,0.599754
s1421,19.7661,0.562857
s1422,22.3095,0.652961
s1423,22.2107,0.656881
s1424,21.3784,0.601940
s1425,23.9430,0.744757
s1426,25.1467,0.822558
s1427,23.5742,0.746052
s1428,23.0596,0.723283
