ct_path,psnr_db,ssim
s0013,30.2857,0.890494
s0029,29.4538,0.880866
s0038,31.6430,0.906028
s0040,29.8935,0.875594
s0119,30.5562,0.882017
s0230,25.8856,0.852906
s0235,31.1933,0.912880
s0236,28.7021,0.859469
s0244,29.1545,0.869851
s0291,31.5179,0.892279
s0295,33.2595,0.959265
s0308,30.8321,0.883332
s0311,31.6500,0.900044
s0423,27.9752,0.840118
s0440,30.9319,0.896644
s0441,29.9025,0.868758
s0450,32.2874,0.905011
s0459,28.1176,0.873620
s0468,29.9496,0.914117
s0470,27.7042,0.856016
s0482,26.3405,0.819557
s0499,30.1063,0.887395
s0505,27.6646,0.825383
s0543,29.8942,0.862785
s0561,30.6171,0.888572
s0667,27.8047,0.856274
s0673,30.0702,0.880443
s0684,31.1870,0.929311
s0687,28.7084,0.884115
s0735,27.3962,0.867848
s0753,28.2443,0.858813
s0802,28.1959,0.875952
s0829,29.1047,0.879238
s0907,28.6505,0.846191
s0923,30.6033,0.891621
s0933,28.1550,0.840693
s0951,30.6534,0.898634
s0994,29.4751,0.844140
s1051,32.0755,0.941620
s1057,29.7127,0.870418
s1075,30.0406,0.920985
s1094,28.2861,0.876743
s1096,24.9356,0.879412
s1112,30.0436,0.907156
s1119,27.7051,0.819062
s1121,29.8806,0.903824
s1152,25.3373,0.783826
s1174,30.6972,0.889942
s1176,29.6646,0.891880
s1184,27.9621,0.885219
s1192,27.9502,0.866353
s1195,31.8801,0.937556
s1212,28.4523,0.859348
s1240,29.9789,0.872893
s1248,29.1397,0.869736
s1249,26.6351,0.816635
s1276,30.9264,0.893300
s1322,31.5216,0.889055
s1323,27.0698,0.852964
s1347,29.3787,0.866680
s1355,31.8095,0.911242
s1357,28.6566,0.870779
s1377,26.7456,0.806883
s1386,30.5717,0.869786
s1411,29.8304,0.853704
s1412,28.8492,0.818236
s1413,27.0717,0.864577
s1414,29.4453,0.871595
s1415,28.9104,0.844359
s1418,30.3123,0.884116
s1420,27.5988,0.847615
s1421,26.2316,0.806924
s1422,28.5558,0.850921
s1423,30.2069,0.883469
s1424,26.8948,0.829675
s1425,30.8441,0.895986
s1426,31.8935,0.910331
s1427,31.2734,0.903222
s1428,31.4568,0.916206
