ct_path,psnr_db,ssim
s0013,25.4395,0.753211
s0029,24.8827,0.743703
s0038,26.0750,0.742744
s0040,25.3122,0.719265
s0119,25.7662,0.764818
s0230,23.7603,0.721581
s0235,26.4419,0.793751
s0236,24.9718,0.728052
s0244,24.9234,0.743761
s0291,25.7292,0.737321
s0295,25.8506,0.575211
s0308,26.2437,0.773200
s0311,26.5182,0.771350
s0423,24.3241,0.696058
s0440,25.6366,0.738532
s0441,25.7723,0.728119
s0450,25.9925,0.763529
s0459,24.6201,0.740361
s0468,24.3230,0.712889
s0470,24.0941,0.717771
s0482,23.1174,0.664367
s0499,25.7216,0.737071
s0505,23.9365,0.719031
s0543,25.4955,0.756442
s0561,26.0216,0.762441
s0667,24.6310,0.725447
s0673,25.5326,0.760128
s0684,25.5114,0.561018
s0687,24.9557,0.753934
s0735,24.6576,0.758029
s0753,25.0302,0.734891
s0802,24.7540,0.749975
s0829,25.3298,0.756242
s0907,23.8575,0.725588
s0923,25.4772,0.765626
s0933,23.7616,0.690601
s0951,25.5914,0.774603
s0994,24.8772,0.692127
s1051,25.8551,0.672044
s1057,25.1518,0.743504
s1075,25.4122,0.793964
s1094,24.9949,0.758986
s1096,21.8004,0.530154
s1112,25.1045,0.753119
s1119,23.5797,0.675223
s1121,24.1248,0.698095
s1152,21.5971,0.650712
s1174,25.8761,0.758301
s1176,24.9538,0.758478
s1184,24.2841,0.762529
s1192,24.2545,0.741818
s1195,26.4230,0.784037
s1212,24.2906,0.710423
s1240,25.3412,0.734064
s1248,25.5114,0.766109
s1249,22.9849,0.652641
s1276,25.4629,0.771550
s1322,26.3420,0.759700
s1323,24.0810,0.721111
s1347,24.7274,0.720247
s1355,26.3743,0.769809
s1357,23.7730,0.723825
s1377,23.5541,0.663046
s1386,25.9450,0.717311
s1411,25.6131,0.719479
s1412,24.9956,0.698930
s1413,24.0588,0.732170
s1414,25.4171,0.753822
s1415,25.1045,0.716211
s1418,25.0055,0.730919
s1420,23.4079,0.691680
s1421,22.7589,0.684287
s1422,24.6500,0.725897
s1423,25.2620,0.764126
s1424,23.4434,0.715669
s1425,25.9734,0.756816
s1426,26.3851,0.685364
s1427,25.8702,0.744654
s1428,24.8531,0.751146
