ct_path,psnr_db,ssim
s0013,27.6747,0.810669
s0029,27.3028,0.756299
s0038,28.9520,0.762105
s0040,27.1186,0.699496
s0119,27.4610,0.746189
s0230,25.9622,0.836063
s0235,29.1361,0.872233
s0236,26.8270,0.774092
s0244,26.7836,0.735064
s0291,28.1613,0.796998
s0295,29.1692,0.947414
s0308,28.5059,0.824213
s0311,28.8879,0.822907
s0423,25.8954,0.689142
s0440,28.4238,0.733751
s0441,27.7432,0.783917
s0450,28.7869,0.830917
s0459,25.5096,0.762020
s0468,25.8704,0.712736
s0470,25.5869,0.752348
s0482,23.5802,0.647865
s0499,27.6014,0.748645
s0505,24.8272,0.740873
s0543,26.3457,0.771330
s0561,28.1255,0.836225
s0667,26.0621,0.673743
s0673,27.8426,0.833684
s0684,27.3114,0.906140
s0687,27.0659,0.797257
s0735,26.4859,0.839788
s0753,26.0325,0.794864
s0802,25.9680,0.848631
s0829,26.1911,0.828477
s0907,25.8033,0.714795
s0923,27.9936,0.769789
s0933,24.8107,0.697762
s0951,27.7394,0.789435
s0994,26.2777,0.743121
s1051,27.7910,0.900430
s1057,26.7105,0.803335
s1075,27.0140,0.853880
s1094,26.2517,0.819392
s1096,24.1115,0.843134
s1112,26.7201,0.773619
s1119,25.3614,0.738218
s1121,25.6994,0.656552
s1152,22.5121,0.651477
s1174,28.2796,0.802924
s1176,26.4039,0.827834
s1184,25.3911,0.787458
s1192,26.0760,0.741456
s1195,27.9756,0.870655
s1212,26.4566,0.735104
s1240,27.2838,0.780769
s1248,27.3818,0.847178
s1249,24.1303,0.667200
s1276,26.3778,0.810082
s1322,28.0764,0.811695
s1323,24.9945,0.767542
s1347,26.0908,0.715635
s1355,29.2902,0.781017
s1357,25.8150,0.742322
s1377,25.4088,0.692348
s1386,28.0335,0.722705
s1411,27.9213,0.724887
s1412,26.7028,0.735314
s1413,25.4014,0.706821
s1414,28.0939,0.791218
s1415,26.4512,0.732696
s1418,26.6842,0.767641
s1420,25.1026,0.726180
s1421,24.1553,0.699210
s1422,25.4363,0.722265
s1423,27.2317,0.760161
s1424,25.1499,0.716399
s1425,27.3829,0.825326
s1426,27.0854,0.867298
s1427,27.2452,0.843847
s1428,25.2774,0.782931
