ct_path,psnr_db,ssim
s0013,25.3030,0.765210
s0029,24.6841,0.746381
s0038,25.6929,0.781319
s0040,24.4768,0.727044
s0119,24.8044,0.779500
s0230,24.3666,0.798214
s0235,26.1208,0.825383
s0236,24.6504,0.752066
s0244,24.3013,0.739832
s0291,25.1720,0.755139
s0295,26.8148,0.868034
s0308,25.7859,0.803259
s0311,26.0162,0.793074
s0423,23.0889,0.688395
s0440,24.8744,0.754540
s0441,25.4607,0.807873
s0450,25.9259,0.805943
s0459,24.1495,0.756489
s0468,23.9090,0.751137
s0470,23.7034,0.724265
s0482,22.7661,0.640249
s0499,24.8046,0.745555
s0505,23.2223,0.727783
s0543,24.1080,0.762106
s0561,25.5565,0.793280
s0667,23.8288,0.756158
s0673,24.6861,0.760660
s0684,25.6743,0.845876
s0687,24.2663,0.764788
s0735,24.9000,0.795026
s0753,24.2357,0.746682
s0802,24.7043,0.806661
s0829,24.7506,0.791887
s0907,24.1489,0.749422
s0923,24.9714,0.778870
s0933,22.9535,0.700288
s0951,24.9213,0.733942
s0994,24.4523,0.677987
s1051,26.0629,0.851345
s1057,24.8122,0.774439
s1075,25.1168,0.810363
s1094,24.3925,0.769879
s1096,23.5437,0.801600
s1112,24.8067,0.757308
s1119,23.0620,0.704351
s1121,23.4861,0.741761
s1152,21.3499,0.657820
s1174,25.5799,0.785007
s1176,24.6604,0.814768
s1184,23.9396,0.761295
s1192,23.9879,0.726260
s1195,25.8590,0.821771
s1212,24.1776,0.727552
s1240,24.6750,0.784156
s1248,25.3901,0.831979
s1249,22.5540,0.680018
s1276,24.5334,0.780926
s1322,24.8787,0.807573
s1323,23.7696,0.726702
s1347,23.8835,0.733539
s1355,25.4458,0.771976
s1357,23.8413,0.745926
s1377,23.3605,0.689598
s1386,25.2749,0.715492
s1411,25.2503,0.736715
s1412,24.8909,0.725785
s1413,23.3693,0.707862
s1414,25.4112,0.776234
s1415,24.2691,0.734558
s1418,24.6145,0.700463
s1420,23.6614,0.719326
s1421,22.0363,0.678294
s1422,23.6885,0.730693
s1423,24.2225,0.768275
s1424,22.9184,0.708261
s1425,25.2951,0.790199
s1426,25.9212,0.849798
s1427,25.3058,0.744146
s1428,23.9023,0.783108
