ct_path,psnr_db,ssim
s0013,29.3791,0.864983
s0029,29.0644,0.800932
s0038,30.4335,0.815918
s0040,28.9021,0.759648
s0119,29.5453,0.849595
s0230,27.6501,0.874385
s0235,30.8917,0.909119
s0236,28.2862,0.818130
s0244,28.6526,0.806281
s0291,30.4887,0.851176
s0295,32.6515,0.972467
s0308,30.0791,0.866822
s0311,30.1129,0.853371
s0423,27.7984,0.749759
s0440,29.9661,0.789903
s0441,28.7258,0.864809
s0450,30.8323,0.878879
s0459,27.3725,0.823035
s0468,28.8094,0.776716
s0470,27.2206,0.833014
s0482,26.1706,0.767841
s0499,29.5422,0.802598
s0505,27.7647,0.797261
s0543,29.3000,0.830312
s0561,29.8522,0.878561
s0667,27.7408,0.815337
s0673,29.0514,0.870707
s0684,30.3299,0.936133
s0687,28.0685,0.824936
s0735,28.2905,0.879631
s0753,28.1942,0.850889
s0802,28.0943,0.885546
s0829,28.7994,0.874797
s0907,28.3289,0.829745
s0923,30.2532,0.822453
s0933,26.6048,0.760483
s0951,29.7388,0.873753
s0994,28.7145,0.817492
s1051,31.1800,0.927940
s1057,28.5930,0.873881
s1075,29.0220,0.884229
s1094,28.6341,0.865231
s1096,27.4519,0.899898
s1112,28.7161,0.807261
s1119,26.8150,0.803576
s1121,28.1109,0.745363
s1152,24.8128,0.749658
s1174,29.7447,0.853222
s1176,28.0992,0.867679
s1184,27.2224,0.863931
s1192,27.8614,0.838628
s1195,30.8441,0.898601
s1212,28.4336,0.788139
s1240,28.9432,0.855840
s1248,29.5039,0.890998
s1249,26.1172,0.748791
s1276,29.6469,0.883655
s1322,29.9040,0.878291
s1323,26.9491,0.833472
s1347,28.1775,0.802907
s1355,31.0646,0.817042
s1357,28.0823,0.817362
s1377,26.7625,0.739566
s1386,29.5077,0.757182
s1411,29.7017,0.775295
s1412,28.6038,0.782366
s1413,27.1036,0.766355
s1414,29.4422,0.821923
s1415,28.2221,0.799987
s1418,29.0333,0.849373
s1420,27.0722,0.789285
s1421,26.1552,0.786670
s1422,27.9259,0.808513
s1423,29.5491,0.837584
s1424,27.3370,0.787076
s1425,29.7151,0.865742
s1426,31.3464,0.909521
s1427,29.9162,0.881661
s1428,28.9023,0.850417
