ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,20.3502,0.602404,20.3210,0.598008
sub-verse755_ct_0000,22.4243,0.668364,22.3658,0.663290
sub-verse586_dir-iso_ct_0000,21.2012,0.528058,21.1599,0.515464
sub-verse650_dir-iso_ct_0000,21.4406,0.661528,21.3709,0.643876
sub-verse815_ct_0000,22.7350,0.628911,22.6830,0.621238
sub-verse081_ct_0000,25.7379,0.937571,25.6849,0.936911
sub-verse095_ct_0000,24.3155,0.834782,24.2007,0.824924
sub-verse559_ct_0000,23.4991,0.705088,23.4490,0.707397
sub-verse085_ct_0000,25.0070,0.903901,24.9571,0.903773
sub-verse648_dir-iso_ct_0000,21.3919,0.649600,21.3311,0.631517
sub-verse835_dir-iso_ct_0000,21.3094,0.565798,21.2757,0.554997
sub-verse082_ct_0000,21.3761,0.509722,21.3314,0.495225
sub-verse509_dir-iso_ct_0000,21.6052,0.509668,21.5412,0.486868
sub-verse534_dir-iso_ct_0000,21.2308,0.509991,21.2000,0.496916
sub-verse257_ct_0000,24.2384,0.912301,24.1758,0.912850
sub-verse511_dir-ax_ct_0000,21.8384,0.527103,21.7858,0.507474
sub-verse264_ct_0000,20.5457,0.355706,20.4607,0.307256
sub-verse816_ct_0000,22.3195,0.522543,22.2906,0.517783
sub-verse097_ct_0000,21.3698,0.386919,21.2933,0.363538
sub-verse113_ct_0000,24.4647,0.905766,24.4265,0.905735
sub-verse649_dir-sag_ct_0000,22.8358,0.670516,22.7915,0.669216
sub-verse539_dir-ax_ct_0000,20.3739,0.525630,20.3480,0.512845
sub-verse604_dir-iso_ct_0000,22.0000,0.531692,21.9647,0.523872
sub-verse823_dir-iso_ct_0000,20.8021,0.453348,20.7707,0.444547
sub-verse529_ct_0000,19.5941,0.523311,19.5493,0.506276
sub-verse764_dir-iso_ct_0000,22.3898,0.710231,22.3466,0.708105
sub-verse703_ct_0000,23.2272,0.707017,23.1778,0.703712
sub-verse008_ct_0000,24.1922,0.916768,24.1431,0.916456
sub-verse556_dir-ax_ct_0000,21.0159,0.544453,20.9857,0.533645
sub-verse717_ct_0000,21.9248,0.627913,21.8724,0.620678
sub-verse254_ct_0000,24.0771,0.890777,24.0119,0.891261
sub-verse563_dir-iso_ct_0000,21.0915,0.476072,21.0460,0.468962
sub-verse561_dir-sag_ct_0000,22.4575,0.753541,22.3830,0.744778
sub-verse766_dir-ax_ct_0000,21.4790,0.628929,21.4283,0.624514
sub-verse524_dir-iso_ct_0000,20.8862,0.496401,20.8302,0.478609
sub-verse033_ct_0000,23.7192,0.844936,23.6463,0.841965
sub-verse591_dir-iso_ct_0000,21.9669,0.508927,21.9137,0.493808
sub-verse135_ct_0000,21.5103,0.585364,21.4777,0.582253
sub-verse807_dir-ax_ct_0000,20.7363,0.542872,20.7080,0.536840
sub-verse054_ct_0000,25.7015,0.944256,25.6500,0.944253
sub-verse076_ct_0000,25.2783,0.910903,25.2214,0.911179
sub-verse514_dir-ax_ct_0000,22.5298,0.570019,22.4739,0.561920
sub-gl428_dir-ax_ct_0000,23.5180,0.892623,23.4688,0.892136
sub-verse612_ct_0000,21.9950,0.580628,21.9520,0.574811
sub-verse527_dir-ax_ct_0000,21.0605,0.476445,21.0154,0.461743
sub-verse569_ct_0000,21.9821,0.583812,21.9307,0.570756
sub-verse549_ct_0000,20.9135,0.527524,20.8895,0.523935
sub-verse067_ct_0000,23.8991,0.876142,23.8222,0.874758
sub-verse138_ct_0000,20.9694,0.443007,20.9206,0.429607
sub-verse053_ct_0000,24.4074,0.903847,24.3575,0.903916
