ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,20.3694,0.573085,20.3515,0.569540
sub-verse755_ct_0000,21.8283,0.645709,21.7966,0.639999
sub-verse586_dir-iso_ct_0000,20.7902,0.513569,20.7564,0.493896
sub-verse650_dir-iso_ct_0000,21.1875,0.637075,21.1568,0.625784
sub-verse815_ct_0000,22.5520,0.615844,22.5256,0.612140
sub-verse081_ct_0000,25.3272,0.752503,25.3434,0.783517
sub-verse095_ct_0000,23.4805,0.800237,23.4416,0.800351
sub-verse559_ct_0000,23.2985,0.703161,23.2712,0.704114
sub-verse085_ct_0000,24.6017,0.787242,24.5955,0.807836
sub-verse648_dir-iso_ct_0000,21.4767,0.607230,21.4477,0.603513
sub-verse835_dir-iso_ct_0000,21.2213,0.554051,21.1970,0.546193
sub-verse082_ct_0000,20.9515,0.486854,20.9263,0.472713
sub-verse509_dir-iso_ct_0000,20.9465,0.497572,20.9173,0.475639
sub-verse534_dir-iso_ct_0000,20.7350,0.491094,20.7109,0.481524
sub-verse257_ct_0000,22.2750,0.839941,22.2687,0.851166
sub-verse511_dir-ax_ct_0000,21.3390,0.519035,21.3134,0.504961
sub-verse264_ct_0000,20.1634,0.411009,20.1105,0.368046
sub-verse816_ct_0000,22.0115,0.516741,21.9849,0.504854
sub-verse097_ct_0000,21.2127,0.450483,21.1530,0.411684
sub-verse113_ct_0000,23.9773,0.749226,23.9793,0.776004
sub-verse649_dir-sag_ct_0000,22.7410,0.660465,22.7200,0.659940
sub-verse539_dir-ax_ct_0000,19.9065,0.510999,19.8833,0.501034
sub-verse604_dir-iso_ct_0000,21.8308,0.534165,21.8049,0.522888
sub-verse823_dir-iso_ct_0000,20.4217,0.461308,20.3998,0.443539
sub-verse529_ct_0000,19.1066,0.522695,19.0825,0.503879
sub-verse764_dir-iso_ct_0000,22.1405,0.669228,22.1165,0.672632
sub-verse703_ct_0000,22.5960,0.691334,22.5818,0.687473
sub-verse008_ct_0000,24.5682,0.834488,24.5612,0.851992
sub-verse556_dir-ax_ct_0000,20.8337,0.536899,20.8112,0.525482
sub-verse717_ct_0000,21.4201,0.603984,21.4017,0.599978
sub-verse254_ct_0000,23.0682,0.806852,23.0584,0.821493
sub-verse563_dir-iso_ct_0000,20.9134,0.488792,20.8868,0.481499
sub-verse561_dir-sag_ct_0000,21.9484,0.732543,21.9168,0.731772
sub-verse766_dir-ax_ct_0000,20.7044,0.602356,20.6860,0.599241
sub-verse524_dir-iso_ct_0000,20.7097,0.482503,20.6399,0.461135
sub-verse033_ct_0000,22.9312,0.802530,22.9034,0.807059
sub-verse591_dir-iso_ct_0000,21.1381,0.499426,21.1150,0.485119
sub-verse135_ct_0000,20.8946,0.566140,20.8724,0.562007
sub-verse807_dir-ax_ct_0000,20.4119,0.533822,20.3786,0.523811
sub-verse054_ct_0000,25.3252,0.835106,25.3372,0.859350
sub-verse076_ct_0000,24.9307,0.822505,24.9204,0.837264
sub-verse514_dir-ax_ct_0000,21.7046,0.542191,21.6853,0.537115
sub-gl428_dir-ax_ct_0000,23.1654,0.825227,23.1529,0.838394
sub-verse612_ct_0000,21.2500,0.557689,21.2238,0.550436
sub-verse527_dir-ax_ct_0000,20.9637,0.473031,20.9325,0.456606
sub-verse569_ct_0000,21.3982,0.558921,21.3682,0.545074
sub-verse549_ct_0000,21.0797,0.534030,21.0310,0.522181
sub-verse067_ct_0000,23.5047,0.821684,23.4907,0.835216
sub-verse138_ct_0000,20.4514,0.434432,20.4226,0.417733
sub-verse053_ct_0000,24.5711,0.820255,24.5581,0.835849
