ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,20.7263,0.533607,20.6813,0.563855
sub-verse755_ct_0000,21.7919,0.621135,21.6991,0.637741
sub-verse586_dir-iso_ct_0000,21.1052,0.609700,21.0025,0.495239
sub-verse650_dir-iso_ct_0000,21.2395,0.516518,21.1825,0.562629
sub-verse815_ct_0000,23.3131,0.649351,23.1851,0.617814
sub-verse081_ct_0000,25.0311,0.262467,25.1573,0.422196
sub-verse095_ct_0000,23.4231,0.565785,23.3250,0.720423
sub-verse559_ct_0000,23.4107,0.603245,23.2729,0.696529
sub-verse085_ct_0000,24.7165,0.401305,24.7528,0.602780
sub-verse648_dir-iso_ct_0000,21.0472,0.405449,21.0153,0.400785
sub-verse835_dir-iso_ct_0000,21.8413,0.650746,21.7640,0.560618
sub-verse082_ct_0000,21.3661,0.615183,21.2389,0.484980
sub-verse509_dir-iso_ct_0000,21.0574,0.608377,20.9444,0.474210
sub-verse534_dir-iso_ct_0000,21.1972,0.599082,21.1178,0.500340
sub-verse257_ct_0000,24.0153,0.418807,24.0502,0.642923
sub-verse511_dir-ax_ct_0000,21.5551,0.629096,21.4633,0.504921
sub-verse264_ct_0000,20.4556,0.520233,20.3283,0.437267
sub-verse816_ct_0000,22.6667,0.625583,22.5184,0.509180
sub-verse097_ct_0000,21.2245,0.525524,21.0375,0.400692
sub-verse113_ct_0000,24.2047,0.355151,24.2666,0.542386
sub-verse649_dir-sag_ct_0000,22.7700,0.598891,22.6578,0.641099
sub-verse539_dir-ax_ct_0000,20.0490,0.568518,19.9922,0.510892
sub-verse604_dir-iso_ct_0000,22.3042,0.638285,22.1906,0.535989
sub-verse823_dir-iso_ct_0000,20.7911,0.526197,20.6741,0.431655
sub-verse529_ct_0000,19.0025,0.545320,18.9357,0.490589
sub-verse764_dir-iso_ct_0000,22.2197,0.452660,22.1753,0.544816
sub-verse703_ct_0000,23.2042,0.656413,23.1079,0.679111
sub-verse008_ct_0000,24.6307,0.366216,24.7030,0.571030
sub-verse556_dir-ax_ct_0000,21.0015,0.623071,20.9156,0.525996
sub-verse717_ct_0000,21.2424,0.617734,21.1690,0.594296
sub-verse254_ct_0000,23.6699,0.479788,23.6521,0.689119
sub-verse563_dir-iso_ct_0000,20.8602,0.480666,20.7562,0.491189
sub-verse561_dir-sag_ct_0000,21.7837,0.578394,21.6989,0.697805
sub-verse766_dir-ax_ct_0000,21.0077,0.583023,20.9386,0.603539
sub-verse524_dir-iso_ct_0000,20.9656,0.585018,20.8382,0.501902
sub-verse033_ct_0000,23.1835,0.571492,23.1051,0.722911
sub-verse591_dir-iso_ct_0000,21.5076,0.625342,21.3972,0.492837
sub-verse135_ct_0000,21.2240,0.616809,21.1419,0.567282
sub-verse807_dir-ax_ct_0000,21.0329,0.611023,20.9174,0.528539
sub-verse054_ct_0000,24.3642,0.258723,24.4878,0.426497
sub-verse076_ct_0000,25.2372,0.431563,25.2877,0.629238
sub-verse514_dir-ax_ct_0000,21.7519,0.623873,21.6527,0.535202
sub-gl428_dir-ax_ct_0000,22.7946,0.310841,22.8389,0.502047
sub-verse612_ct_0000,21.9093,0.650246,21.7797,0.562347
sub-verse527_dir-ax_ct_0000,21.3288,0.606289,21.2147,0.475559
sub-verse569_ct_0000,21.6518,0.634490,21.5705,0.562860
sub-verse549_ct_0000,21.3732,0.622402,21.2267,0.534078
sub-verse067_ct_0000,24.3804,0.517057,24.3340,0.714116
sub-verse138_ct_0000,20.5096,0.488408,20.3940,0.414668
sub-verse053_ct_0000,24.5559,0.423677,24.5805,0.635626
