ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,22.4423,0.709268,22.3942,0.688745
sub-verse755_ct_0000,25.2266,0.750514,25.1285,0.726132
sub-verse586_dir-iso_ct_0000,23.2356,0.685985,23.1766,0.628748
sub-verse650_dir-iso_ct_0000,23.5832,0.764779,23.4981,0.705385
sub-verse815_ct_0000,26.3013,0.744836,26.2489,0.722505
sub-verse081_ct_0000,33.1065,0.966462,33.0818,0.965457
sub-verse095_ct_0000,28.6931,0.893139,28.6132,0.878000
sub-verse559_ct_0000,26.7233,0.793922,26.6462,0.784343
sub-verse085_ct_0000,30.5427,0.938613,30.5182,0.937707
sub-verse648_dir-iso_ct_0000,24.5695,0.811363,24.4998,0.721127
sub-verse835_dir-iso_ct_0000,24.5046,0.704808,24.4684,0.669383
sub-verse082_ct_0000,24.2940,0.662326,24.2031,0.583625
sub-verse509_dir-iso_ct_0000,23.1003,0.727760,23.0127,0.569866
sub-verse534_dir-iso_ct_0000,24.3104,0.712230,24.2341,0.611690
sub-verse257_ct_0000,30.1282,0.950979,30.0990,0.950630
sub-verse511_dir-ax_ct_0000,24.8542,0.724223,24.7785,0.625311
sub-verse264_ct_0000,22.9874,0.644051,22.8435,0.522868
sub-verse816_ct_0000,25.7068,0.721821,25.5608,0.595149
sub-verse097_ct_0000,22.8283,0.615983,22.7053,0.505306
sub-verse113_ct_0000,29.5529,0.944611,29.5143,0.944312
sub-verse649_dir-sag_ct_0000,25.7905,0.774613,25.7108,0.750272
sub-verse539_dir-ax_ct_0000,22.6873,0.675764,22.6500,0.630194
sub-verse604_dir-iso_ct_0000,24.5540,0.732237,24.4529,0.632213
sub-verse823_dir-iso_ct_0000,23.1866,0.634100,23.0983,0.537459
sub-verse529_ct_0000,20.8811,0.665860,20.8337,0.594448
sub-verse764_dir-iso_ct_0000,25.1438,0.799573,25.0973,0.771282
sub-verse703_ct_0000,25.9832,0.819428,25.9321,0.764185
sub-verse008_ct_0000,30.0635,0.956500,30.0334,0.953935
sub-verse556_dir-ax_ct_0000,23.0475,0.723138,22.9976,0.651589
sub-verse717_ct_0000,24.5627,0.732693,24.5115,0.699414
sub-verse254_ct_0000,28.7192,0.933186,28.6945,0.932704
sub-verse563_dir-iso_ct_0000,22.5958,0.598622,22.5507,0.580654
sub-verse561_dir-sag_ct_0000,24.7470,0.830715,24.6750,0.811397
sub-verse766_dir-ax_ct_0000,23.2498,0.716724,23.2030,0.689627
sub-verse524_dir-iso_ct_0000,23.1028,0.654330,23.0229,0.592094
sub-verse033_ct_0000,27.3537,0.902802,27.2931,0.889083
sub-verse591_dir-iso_ct_0000,24.1399,0.718930,24.0575,0.597684
sub-verse135_ct_0000,23.4072,0.702513,23.3691,0.652514
sub-verse807_dir-ax_ct_0000,23.1623,0.667885,23.1001,0.621043
sub-verse054_ct_0000,32.7228,0.969550,32.7082,0.971027
sub-verse076_ct_0000,31.1270,0.947070,31.0963,0.947111
sub-verse514_dir-ax_ct_0000,25.0916,0.734688,25.0187,0.664463
sub-gl428_dir-ax_ct_0000,26.4966,0.922476,26.4511,0.923832
sub-verse612_ct_0000,24.5891,0.724265,24.5229,0.658206
sub-verse527_dir-ax_ct_0000,22.9098,0.670071,22.8158,0.546885
sub-verse569_ct_0000,25.3308,0.756096,25.2645,0.688828
sub-verse549_ct_0000,23.7407,0.686341,23.6612,0.625935
sub-verse067_ct_0000,28.1812,0.917633,28.1359,0.914877
sub-verse138_ct_0000,23.1641,0.646569,23.0609,0.544871
sub-verse053_ct_0000,30.2169,0.944940,30.1600,0.945573
