ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,21.9534,0.664122,21.9152,0.645029
sub-verse755_ct_0000,24.0333,0.709744,23.9366,0.668471
sub-verse586_dir-iso_ct_0000,22.7200,0.680066,22.6397,0.575386
sub-verse650_dir-iso_ct_0000,22.7470,0.730854,22.6570,0.647296
sub-verse815_ct_0000,24.8172,0.728684,24.7492,0.661098
sub-verse081_ct_0000,28.3659,0.906348,28.3611,0.914022
sub-verse095_ct_0000,26.3367,0.820015,26.2845,0.819254
sub-verse559_ct_0000,25.0331,0.713007,24.9595,0.723748
sub-verse085_ct_0000,27.0458,0.867249,27.0374,0.880660
sub-verse648_dir-iso_ct_0000,23.0898,0.783152,23.0129,0.665766
sub-verse835_dir-iso_ct_0000,23.3109,0.714154,23.2641,0.619347
sub-verse082_ct_0000,23.7653,0.667666,23.6632,0.548845
sub-verse509_dir-iso_ct_0000,22.7245,0.693610,22.6317,0.521724
sub-verse534_dir-iso_ct_0000,23.4390,0.699518,23.3498,0.567522
sub-verse257_ct_0000,27.1050,0.880103,27.0905,0.894066
sub-verse511_dir-ax_ct_0000,23.8753,0.722699,23.7808,0.567228
sub-verse264_ct_0000,22.3268,0.585333,22.1439,0.435816
sub-verse816_ct_0000,24.1805,0.667672,24.0874,0.549316
sub-verse097_ct_0000,22.1735,0.558481,22.0288,0.427994
sub-verse113_ct_0000,26.3908,0.876653,26.3809,0.886708
sub-verse649_dir-sag_ct_0000,24.7264,0.719048,24.6510,0.700603
sub-verse539_dir-ax_ct_0000,22.0897,0.681790,22.0306,0.586208
sub-verse604_dir-iso_ct_0000,23.6576,0.706293,23.5636,0.587936
sub-verse823_dir-iso_ct_0000,22.6022,0.588476,22.5213,0.487697
sub-verse529_ct_0000,20.8617,0.648039,20.8103,0.553870
sub-verse764_dir-iso_ct_0000,23.8761,0.734330,23.8185,0.714062
sub-verse703_ct_0000,24.9596,0.755457,24.9180,0.713830
sub-verse008_ct_0000,26.8180,0.887134,26.7949,0.895501
sub-verse556_dir-ax_ct_0000,23.0097,0.713975,22.9384,0.619897
sub-verse717_ct_0000,23.7627,0.718015,23.7148,0.660374
sub-verse254_ct_0000,26.0929,0.865798,26.0748,0.877259
sub-verse563_dir-iso_ct_0000,22.0962,0.541615,22.0220,0.519619
sub-verse561_dir-sag_ct_0000,23.9902,0.771008,23.9128,0.753991
sub-verse766_dir-ax_ct_0000,22.5958,0.659186,22.5406,0.633235
sub-verse524_dir-iso_ct_0000,22.5555,0.637222,22.4651,0.563550
sub-verse033_ct_0000,25.3998,0.836343,25.3533,0.833616
sub-verse591_dir-iso_ct_0000,23.2798,0.714053,23.1783,0.542866
sub-verse135_ct_0000,23.2442,0.693327,23.2014,0.610053
sub-verse807_dir-ax_ct_0000,22.4388,0.660486,22.3738,0.592685
sub-verse054_ct_0000,28.2606,0.910672,28.2497,0.919736
sub-verse076_ct_0000,27.4485,0.882516,27.4396,0.893408
sub-verse514_dir-ax_ct_0000,23.8136,0.731437,23.7314,0.612703
sub-gl428_dir-ax_ct_0000,24.6302,0.864165,24.5857,0.871954
sub-verse612_ct_0000,23.7099,0.723388,23.6319,0.615818
sub-verse527_dir-ax_ct_0000,22.6062,0.653933,22.5057,0.506453
sub-verse569_ct_0000,24.0444,0.742385,23.9608,0.628621
sub-verse549_ct_0000,22.5720,0.659440,22.4866,0.579713
sub-verse067_ct_0000,26.2638,0.841005,26.2411,0.859281
sub-verse138_ct_0000,22.5562,0.583723,22.4484,0.474202
sub-verse053_ct_0000,26.7716,0.873746,26.7563,0.887226
