ct_path,psnr_db,ssim
sub-verse100_ct_0000,21.7835,0.644328
sub-verse755_ct_0000,24.0069,0.717584
sub-verse586_dir-iso_ct_0000,22.6558,0.589588
sub-verse650_dir-iso_ct_0000,22.6001,0.695708
sub-verse815_ct_0000,24.6106,0.678590
sub-verse081_ct_0000,26.3421,0.940271
sub-verse095_ct_0000,24.8484,0.845305
sub-verse559_ct_0000,24.7692,0.737710
sub-verse085_ct_0000,25.6161,0.908579
sub-verse648_dir-iso_ct_0000,22.6620,0.663263
sub-verse835_dir-iso_ct_0000,22.9734,0.615244
sub-verse082_ct_0000,23.1744,0.567966
sub-verse509_dir-iso_ct_0000,22.6063,0.544677
sub-verse534_dir-iso_ct_0000,22.4045,0.547023
sub-verse257_ct_0000,25.0269,0.922465
sub-verse511_dir-ax_ct_0000,23.0217,0.559917
sub-verse264_ct_0000,21.5028,0.447690
sub-verse816_ct_0000,23.9727,0.575720
sub-verse097_ct_0000,22.2014,0.473078
sub-verse113_ct_0000,25.0941,0.910599
sub-verse649_dir-sag_ct_0000,24.2111,0.708107
sub-verse539_dir-ax_ct_0000,21.6259,0.573073
sub-verse604_dir-iso_ct_0000,23.4815,0.586033
sub-verse823_dir-iso_ct_0000,22.5889,0.534830
sub-verse529_ct_0000,21.0951,0.574160
sub-verse764_dir-iso_ct_0000,23.1483,0.741251
sub-verse703_ct_0000,24.7651,0.745779
sub-verse008_ct_0000,25.4003,0.926170
sub-verse556_dir-ax_ct_0000,22.4504,0.587349
sub-verse717_ct_0000,23.3124,0.681785
sub-verse254_ct_0000,24.7803,0.901487
sub-verse563_dir-iso_ct_0000,22.1764,0.539730
sub-verse561_dir-sag_ct_0000,23.4690,0.785511
sub-verse766_dir-ax_ct_0000,23.2128,0.688938
sub-verse524_dir-iso_ct_0000,22.3381,0.548374
sub-verse033_ct_0000,24.7492,0.862344
sub-verse591_dir-iso_ct_0000,23.1668,0.559699
sub-verse135_ct_0000,22.8543,0.628631
sub-verse807_dir-ax_ct_0000,22.8699,0.598894
sub-verse054_ct_0000,26.0395,0.947268
sub-verse076_ct_0000,25.6555,0.914349
sub-verse514_dir-ax_ct_0000,23.6433,0.603796
sub-gl428_dir-ax_ct_0000,24.7357,0.914615
sub-verse612_ct_0000,23.6613,0.631794
sub-verse527_dir-ax_ct_0000,22.7375,0.543972
sub-verse569_ct_0000,23.2877,0.625053
sub-verse549_ct_0000,22.8702,0.573231
sub-verse067_ct_0000,25.1845,0.889510
sub-verse138_ct_0000,22.3335,0.517649
sub-verse053_ct_0000,25.3002,0.913718
