ct_path,psnr_db,ssim
sub-verse100_ct_0000,26.2702,0.791160
sub-verse755_ct_0000,27.2004,0.808383
sub-verse586_dir-iso_ct_0000,25.8265,0.739711
sub-verse650_dir-iso_ct_0000,25.7886,0.788596
sub-verse815_ct_0000,28.5879,0.776407
sub-verse081_ct_0000,32.2868,0.967327
sub-verse095_ct_0000,29.0846,0.898097
sub-verse559_ct_0000,28.1267,0.810617
sub-verse085_ct_0000,30.5284,0.940095
sub-verse648_dir-iso_ct_0000,26.4555,0.810373
sub-verse835_dir-iso_ct_0000,27.5098,0.761502
sub-verse082_ct_0000,26.4593,0.707379
sub-verse509_dir-iso_ct_0000,25.3775,0.755566
sub-verse534_dir-iso_ct_0000,26.9671,0.746843
sub-verse257_ct_0000,30.2421,0.956281
sub-verse511_dir-ax_ct_0000,26.7884,0.733962
sub-verse264_ct_0000,25.2912,0.708563
sub-verse816_ct_0000,27.8417,0.742543
sub-verse097_ct_0000,24.6226,0.668207
sub-verse113_ct_0000,29.4356,0.946428
sub-verse649_dir-sag_ct_0000,27.5197,0.804042
sub-verse539_dir-ax_ct_0000,25.4800,0.729051
sub-verse604_dir-iso_ct_0000,27.0184,0.761572
sub-verse823_dir-iso_ct_0000,25.5958,0.676537
sub-verse529_ct_0000,23.3188,0.718707
sub-verse764_dir-iso_ct_0000,26.2735,0.836900
sub-verse703_ct_0000,27.3754,0.863386
sub-verse008_ct_0000,30.6057,0.959635
sub-verse556_dir-ax_ct_0000,25.7849,0.763497
sub-verse717_ct_0000,26.8262,0.796540
sub-verse254_ct_0000,28.6896,0.934647
sub-verse563_dir-iso_ct_0000,24.6703,0.636861
sub-verse561_dir-sag_ct_0000,25.4568,0.844255
sub-verse766_dir-ax_ct_0000,25.6794,0.783700
sub-verse524_dir-iso_ct_0000,25.2092,0.722180
sub-verse033_ct_0000,28.6278,0.911850
sub-verse591_dir-iso_ct_0000,25.9283,0.725877
sub-verse135_ct_0000,25.8702,0.736958
sub-verse807_dir-ax_ct_0000,26.3117,0.742585
sub-verse054_ct_0000,32.1460,0.971781
sub-verse076_ct_0000,30.9812,0.949668
sub-verse514_dir-ax_ct_0000,27.1128,0.752663
sub-gl428_dir-ax_ct_0000,28.8955,0.943256
sub-verse612_ct_0000,26.5923,0.732202
sub-verse527_dir-ax_ct_0000,25.4965,0.724811
sub-verse569_ct_0000,27.3356,0.779147
sub-verse549_ct_0000,26.5804,0.736098
sub-verse067_ct_0000,29.5379,0.927262
sub-verse138_ct_0000,25.3845,0.679198
sub-verse053_ct_0000,30.1471,0.947698
