ct_path,psnr_db,ssim,psnr_db_floor,ssim_floor
sub-verse100_ct_0000,28.6435,0.863506,28.4613,0.803683
sub-verse755_ct_0000,29.2827,0.858838,29.1717,0.822305
sub-verse586_dir-iso_ct_0000,27.5416,0.842733,27.2432,0.683366
sub-verse650_dir-iso_ct_0000,27.8526,0.860669,27.5976,0.750771
sub-verse815_ct_0000,30.6289,0.872930,30.3145,0.781439
sub-verse081_ct_0000,36.0038,0.932712,35.9521,0.973805
sub-verse095_ct_0000,32.0699,0.926938,31.8740,0.911766
sub-verse559_ct_0000,30.0077,0.854007,29.8599,0.848220
sub-verse085_ct_0000,33.2548,0.943188,33.1590,0.951568
sub-verse648_dir-iso_ct_0000,27.7525,0.887312,27.4698,0.737024
sub-verse835_dir-iso_ct_0000,29.8657,0.882031,29.5839,0.748957
sub-verse082_ct_0000,28.1756,0.818331,27.8154,0.643528
sub-verse509_dir-iso_ct_0000,27.0003,0.833560,26.7187,0.632335
sub-verse534_dir-iso_ct_0000,28.4116,0.850296,28.0479,0.665826
sub-verse257_ct_0000,34.4390,0.960489,34.3801,0.968523
sub-verse511_dir-ax_ct_0000,29.1538,0.867025,28.7213,0.667146
sub-verse264_ct_0000,25.9131,0.736856,25.4700,0.541332
sub-verse816_ct_0000,29.4908,0.820831,29.0799,0.659482
sub-verse097_ct_0000,26.0162,0.715896,25.7320,0.581803
sub-verse113_ct_0000,32.7325,0.932834,32.6768,0.956806
sub-verse649_dir-sag_ct_0000,28.7293,0.849996,28.5808,0.817432
sub-verse539_dir-ax_ct_0000,26.6660,0.826440,26.4452,0.688330
sub-verse604_dir-iso_ct_0000,29.0710,0.861289,28.6669,0.700855
sub-verse823_dir-iso_ct_0000,27.4961,0.762259,27.2164,0.633521
sub-verse529_ct_0000,24.5423,0.800077,24.3808,0.670248
sub-verse764_dir-iso_ct_0000,27.8312,0.850770,27.7369,0.826463
sub-verse703_ct_0000,30.0205,0.883049,29.8108,0.817442
sub-verse008_ct_0000,33.8929,0.957925,33.7565,0.968507
sub-verse556_dir-ax_ct_0000,28.2904,0.855210,28.0443,0.727977
sub-verse717_ct_0000,28.7648,0.863839,28.5729,0.778239
sub-verse254_ct_0000,32.3768,0.946282,32.3306,0.952091
sub-verse563_dir-iso_ct_0000,26.2285,0.740238,26.0739,0.692600
sub-verse561_dir-sag_ct_0000,29.0175,0.878656,28.8768,0.870872
sub-verse766_dir-ax_ct_0000,27.5000,0.828949,27.3740,0.778431
sub-verse524_dir-iso_ct_0000,25.8020,0.759454,25.6599,0.669055
sub-verse033_ct_0000,31.4692,0.933768,31.3367,0.921174
sub-verse591_dir-iso_ct_0000,27.7596,0.849788,27.4513,0.651939
sub-verse135_ct_0000,26.6693,0.829895,26.5496,0.717523
sub-verse807_dir-ax_ct_0000,28.5194,0.822331,28.3076,0.735089
sub-verse054_ct_0000,36.3586,0.948092,36.3197,0.982193
sub-verse076_ct_0000,34.5729,0.954955,34.4676,0.962291
sub-verse514_dir-ax_ct_0000,28.6443,0.872389,28.3328,0.719672
sub-gl428_dir-ax_ct_0000,31.6911,0.931741,31.6446,0.957738
sub-verse612_ct_0000,28.8140,0.859978,28.4353,0.702276
sub-verse527_dir-ax_ct_0000,27.3857,0.829903,27.0471,0.637997
sub-verse569_ct_0000,29.6379,0.885535,29.2348,0.735564
sub-verse549_ct_0000,28.3722,0.815471,28.2270,0.730785
sub-verse067_ct_0000,32.4223,0.936811,32.3585,0.941941
sub-verse138_ct_0000,27.2001,0.765337,26.7592,0.608211
sub-verse053_ct_0000,33.7800,0.952424,33.6832,0.964491
