ct_path,psnr_db,ssim
sub-verse100_ct_0000,24.9816,0.767036
sub-verse755_ct_0000,25.9814,0.770196
sub-verse586_dir-iso_ct_0000,24.9568,0.767295
sub-verse650_dir-iso_ct_0000,24.5742,0.761040
sub-verse815_ct_0000,26.7708,0.784367
sub-verse081_ct_0000,28.7402,0.876107
sub-verse095_ct_0000,27.1890,0.823422
sub-verse559_ct_0000,26.5393,0.759811
sub-verse085_ct_0000,27.4798,0.848101
sub-verse648_dir-iso_ct_0000,25.3619,0.814757
sub-verse835_dir-iso_ct_0000,26.2211,0.798830
sub-verse082_ct_0000,25.7935,0.750041
sub-verse509_dir-iso_ct_0000,24.5512,0.753386
sub-verse534_dir-iso_ct_0000,25.4039,0.774668
sub-verse257_ct_0000,27.5499,0.862783
sub-verse511_dir-ax_ct_0000,25.5103,0.786679
sub-verse264_ct_0000,24.0984,0.679531
sub-verse816_ct_0000,26.3317,0.734688
sub-verse097_ct_0000,23.6493,0.632242
sub-verse113_ct_0000,26.8635,0.849382
sub-verse649_dir-sag_ct_0000,26.1698,0.764065
sub-verse539_dir-ax_ct_0000,24.2671,0.750762
sub-verse604_dir-iso_ct_0000,25.7902,0.775052
sub-verse823_dir-iso_ct_0000,24.2622,0.652989
sub-verse529_ct_0000,23.0279,0.721681
sub-verse764_dir-iso_ct_0000,25.1370,0.759904
sub-verse703_ct_0000,26.5994,0.813971
sub-verse008_ct_0000,27.6197,0.866844
sub-verse556_dir-ax_ct_0000,25.0031,0.790539
sub-verse717_ct_0000,25.9489,0.782893
sub-verse254_ct_0000,27.4256,0.851510
sub-verse563_dir-iso_ct_0000,23.7958,0.620691
sub-verse561_dir-sag_ct_0000,25.0281,0.779813
sub-verse766_dir-ax_ct_0000,24.9270,0.746952
sub-verse524_dir-iso_ct_0000,24.5096,0.718945
sub-verse033_ct_0000,26.6989,0.838462
sub-verse591_dir-iso_ct_0000,24.8672,0.778909
sub-verse135_ct_0000,25.0790,0.760006
sub-verse807_dir-ax_ct_0000,25.3246,0.745819
sub-verse054_ct_0000,28.8892,0.882314
sub-verse076_ct_0000,27.8628,0.859859
sub-verse514_dir-ax_ct_0000,25.7212,0.788484
sub-gl428_dir-ax_ct_0000,26.9463,0.853704
sub-verse612_ct_0000,25.8839,0.781185
sub-verse527_dir-ax_ct_0000,24.8572,0.749257
sub-verse569_ct_0000,26.2358,0.808688
sub-verse549_ct_0000,25.5269,0.740790
sub-verse067_ct_0000,27.3266,0.838281
sub-verse138_ct_0000,24.4224,0.649763
sub-verse053_ct_0000,27.2531,0.855811
